Title,published_date,Views,Comments,Likes
Moving On,2024-04-22T10:00:19Z,7997,86,394
How Does ChatGPT Image Analysis Do on an IQ Test?,2023-11-30T12:00:22Z,2568,22,71
A Data Dream Come True,2023-11-17T12:00:28Z,2262,23,94
The Death of the Full-Time Job (Rise of the Contractor),2023-09-22T11:46:35Z,6159,77,410
How to Survive a Down Data Job Market,2023-09-05T10:50:39Z,17295,63,570
The Harsh Reality of the Data Job Market,2023-08-24T11:30:19Z,107846,290,2612
7 Industries AI will Aggressively Disrupt,2023-08-14T11:30:19Z,6375,41,245
What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07T17:57:05Z,4343,48,132
7 Enticing Jobs AI Will Create,2023-07-24T12:00:01Z,4789,37,200
The ChatGPT Code Interpreter is OVERRATED,2023-07-22T09:42:29Z,4156,31,144
Exciting Announcement!,2023-06-23T17:28:36Z,6680,50,297
AI: A Customer Service Revolution?,2023-05-26T12:00:21Z,3960,35,123
Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16T12:00:25Z,46588,59,1494
How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04T12:04:56Z,35117,77,1473
This AI question will determine our future,2023-04-06T13:00:32Z,4309,37,261
I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03T13:00:27Z,71420,78,833
Your current portfolio is actually hurting you #shorts,2023-03-30T13:00:37Z,8644,7,496
"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27T13:00:41Z,7686,2,411
you're job searching wrong. #shorts,2023-03-23T13:00:35Z,4471,3,266
The Economics of Data Roles #shorts,2023-03-21T13:00:15Z,10117,12,617
Why your phone knows everything you say #shorts,2023-03-18T13:00:42Z,3524,8,163
Read these for a successful career. #shorts,2023-03-16T01:19:35Z,3213,2,251
Is Your Phone Actually Listening to You? #shorts,2023-03-09T13:00:01Z,2804,5,53
How I Realized I Was a Bad Manager #shorts,2023-03-07T13:00:11Z,2934,1,140
How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03T13:00:07Z,20742,51,767
Why I Quit Data Science... and then crawled back #shorts,2023-03-01T13:00:17Z,8501,13,277
The Best Place to Look for Data Science Opportunities #shorts,2023-02-27T13:00:32Z,2789,2,170
Learning On the companies dime #shorts,2023-02-24T17:00:13Z,3248,1,178
The Best Way to Transition to Data Science? #shorts,2023-02-21T17:13:47Z,4481,6,279
Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17T13:00:03Z,7294,6,406
Don't Go into Data for the Money #shorts,2023-02-15T10:00:37Z,3814,12,221
First Data Science Project? Watch This.,2023-02-13T13:00:36Z,7814,24,377
How to Approach Applying for a Data Role #shorts,2023-02-08T13:00:39Z,3700,7,245
The Hard Reality of Data Science Work #shorts,2023-02-06T19:35:25Z,16855,17,896
How Much Money Does a Data Scientist Make? #shorts,2023-02-03T12:00:03Z,4887,6,197
These 3 Things Make Data Science Special #shorts,2023-02-01T12:00:12Z,4389,7,350
Will Data Science Be Automated? #shorts,2023-01-27T11:00:44Z,10378,9,433
Is Data Science A Good Fit For You? #shorts,2023-01-25T11:00:05Z,5196,11,296
5 Books I Wish I Read Earlier In My Career,2023-01-23T15:31:48Z,9661,50,523
How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19T07:00:06Z,9864,15,770
What Data Science Tool Would I Learn First? #shorts,2023-01-17T07:00:12Z,6362,10,478
How long does it take to become a Data Scientist? #shorts,2023-01-12T11:45:02Z,7341,6,511
Where & how to start your Data Science Journey #shorts,2023-01-09T00:35:13Z,7101,2,426
How I Would NOT Learn Data Science in 2023.,2023-01-03T13:00:34Z,128698,256,4201
The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14T13:00:23Z,4962,28,207
The Essential Programming Concepts For Learning Data Science,2022-11-14T13:00:02Z,20804,46,858
The Data Content House: What You Missed,2022-10-07T13:00:04Z,10584,49,348
Is Data Science A Good Career?,2022-09-29T20:40:31Z,63678,140,1974
IRON ANALYST (Teaser) #shorts,2022-09-27T17:21:13Z,5670,24,365
When a New Data Scientist Joins The Team,2022-08-29T13:00:01Z,16776,134,756
State of Data Science - Web Data,2022-08-05T20:20:04Z,10483,34,352
Data Science Town Hall - State of Data Science,2022-08-04T18:34:49Z,10014,37,367
The Programming Roadmap For Data Science,2022-07-29T14:31:33Z,28218,63,1318
5 Impactful Data Science Projects For Your Portfolio,2022-06-27T13:00:10Z,93831,94,3371
Can AI Fix my Baseball Swing?,2022-06-10T13:00:00Z,7869,68,344
Every Data Scientist... (funny!),2022-05-24T13:00:07Z,17564,146,856
State of Data Science (Town Hall) ft - Data Squad,2022-05-07T22:43:20Z,16013,64,425
