author,updated_at,like_count,text,public
@SumitKumar-uq3dg,2024-04-18T04:46:22Z,0,"But why would you change the random state value! If u have written the puthon code everytime it runs, the value will be the same rt!",True
@simonjak100,2024-01-26T02:15:47Z,0,I love you Krish Naik,True
@sanika6916,2023-11-22T02:39:48Z,0,Thankyou,True
@anirudhashukla1305,2023-11-13T15:57:08Z,0,Can some share the link of the project where he has used timeseries cross validation,True
@Funtoosh5395,2023-11-01T07:23:39Z,0,Please teach multivariate timeseries data for classification and clustering,True
@sivakumarprasadchebiyyam9444,2023-10-27T15:17:22Z,0,"Hi Krishna, nice video. Could you please let me know cross validation is applied on train data or total data?",True
@jamesmettle2,2023-10-25T21:20:57Z,0,❤❤❤🎉,True
@raj-nq8ke,2023-09-23T09:27:43Z,0,❌❌ K Fold cross validation explanation is WRONG❌❌  Each fold will have 200 data only not 1000.   Also k-1 fold will be used for training and 1 fold for validation.  And validating Folds will be changed not the datasets within the same fold. ❌❌,True
@ahsanraza4676,2023-08-23T10:44:09Z,0,why we use random_state=40 in k fold coss validation?,True
@manoranjanmartha24,2023-08-23T01:15:30Z,0,Teaching quality is good but voice is not audible plz use 🎙️,True
@mr_nb,2023-07-20T06:00:59Z,0,"Is it test set or validation set, i am confused ... 😕🤔🤔🤔",True
@yashub9580,2023-06-06T09:48:25Z,0,how we should decide the k value in k fold cv??,True
@cha5848,2023-05-28T18:00:41Z,0,I have my deep learning exam in few days ur lectures are really helpful for revision,True
@jasminejubbal5732,2023-04-22T07:55:10Z,0,Great videos Krish thank you so much for sharing,True
@aravindvasudev7921,2023-03-19T14:23:55Z,0,This video was very helpful. Thank You!,True
@manasranjansethi4372,2023-03-11T14:12:28Z,0,"In k-fold cross-validation, what happens if k does not evenly divide the number of samples? Kindly give the answer to it.",True
@samixwasup8561,2023-02-28T16:37:19Z,1,"this is very close to my university  course here in Canada, in fact, you have approached it in a simpler way, which is great",True
@tanishsharma5440,2023-02-25T20:44:37Z,0,Thankyou so much,True
@chiranjeevibelagur2275,2023-02-18T05:32:23Z,0,"Hi Krish, nice explanation on CV. But can you show in the codes where i find this accuracy for any kind of CV method. Because I'm a little confused about that part. Or please suggest the video if you have already done that",True
@tearistovic,2023-01-30T17:58:38Z,0,Thank youuu !!!! ❤,True
@MJXed,2023-01-09T19:27:44Z,0,"700k subscribers with a board, sir, you are a legend! ❤",True
@sonnix31,2022-12-15T04:47:09Z,0,You are the best. Thank you.,True
@baharylmaz9366,2022-12-07T15:41:22Z,0,This video is amazing thanx,True
@jayshreedonga2833,2022-12-03T02:44:38Z,0,thANKS SIR,True
@ge_song5,2022-11-01T02:33:01Z,0,"I am using k-fold cross-validation to train my ml model, where k=4, I understand that 4 models are trained with different subsets of input data. So out of the 4 models, which one is my final artifact? Did I misunderstand CV in general?",True
@mayurmayurll2098,2022-10-29T06:53:09Z,0,nice,True
@ruzanb433,2022-10-16T12:21:20Z,0,"You are Exceptionally good,  the clarity about the concept is on point ! Dam",True
