author,updated_at,like_count,text,public
@arbaazahaan2738,2023-12-08T07:35:18Z,1,"Hi Everyone the PyPDF2 has updated it's library  -> The new code will be as this  1:48 ### open the current file_pdf = PdfReader('Resume.pdf') ### object for pdf writter out_pdf = PdfWriter()  -> for the adding of the page 4:09 for i in range(len(file_pdf.pages)):     page_details = file_pdf.pages[i]     ### Add ti the output page     out_pdf.add_page(page_details)",True
@CenturyTrade,2022-09-22T17:10:46Z,1,can we set password to py file??,True
@flyeagle320,2022-09-19T14:26:00Z,0,of all the video this was very much fun to learn . Thank you,True
@supriyakare384,2022-09-02T11:08:00Z,1,How to create password protected excel file please guide,True
@Alive__000,2021-03-03T06:28:46Z,0,Boom,True
@epicstow6658,2021-02-14T12:31:59Z,1,Hi Krish!  Hopefully you will be fine from pandemic situation!  Actually its irrelevant Question to this video but I want to know .. Actually which techniques and ML Model YouTube used to generate copywrites on videos ??  Regards Epic Stow,True
@sivaramapandian3923,2021-02-14T09:58:58Z,1,ultimate 🔥,True
@manishbhatt1101,2021-02-14T03:46:35Z,2,How to get the auto complete feature on jupyter notebook?,True
@narsimharao8565,2021-02-13T17:11:44Z,1,Amazing video krish. Thank you soo much for sharing,True
@santoshhonnungar5543,2021-02-13T16:49:26Z,2,Nice Krish.. happy to see u as kannadiga..👍👍,True
@kashyappandu8487,2021-02-13T16:07:27Z,1,@Krish Naik Thank you sir. Please make a video on roadmap to Data science Principal?,True
@ShubhamRai06,2021-02-13T15:51:33Z,1,how to autogenerate password and send via mail to some specific persons...?,True
@JGyanRaj,2021-02-13T15:34:30Z,4,Krish bro please make a video on How to improve accuracy of Kaggle dataset... More than what kagglers achieved at that time,True
@dereckjos3513,2021-02-13T15:25:23Z,1,Really nice one Krish.,True
@tejanarora1221,2021-02-13T15:17:08Z,2,First view,True
