author,updated_at,like_count,text,public
@surkk2342,2024-03-13T16:07:38Z,0,I don't want to think about that,True
@TheGentleTotoro,2022-10-17T17:55:54Z,0,such a good boy!,True
@inrevenant,2021-11-01T02:35:15Z,4,"sincerely hope your good boy is still with with you - feel free to post more videos of him, or if someone new has been added to your pack! :)",True
@bnodtwari,2021-05-26T17:57:06Z,1,doge coin,True
@vaibhavkawade2014,2021-04-20T12:49:11Z,0,Wow! How sweet!,True
@sathyasubrahmanyam4166,2021-03-29T10:05:07Z,0,How is he now,True
@tilakmadichettitheappdeveloper,2020-08-02T15:48:29Z,0,hey there !is your dog alive ? how is he doing?,True
@kartikxramesh,2020-06-12T18:35:04Z,7,we need more of these <3 !,True
@stryderdominique4185,2020-05-12T07:16:03Z,5,Adorable <3,True
@bencraft4593,2020-01-08T22:25:43Z,5,i have watched pretty much all of your videos - however this is by far my favourite. great channel.,True
@ehsanahmadi8976,2019-10-15T19:31:31Z,3,Share more videos of your cute dog please.,True
@dangnhi1083,2019-07-29T16:49:22Z,6,I wonder what is happening with this dog nowsaday...,True
@haoyangrocks,2017-12-15T13:56:43Z,6,"haha, i like the way your awesome dog decided to take a break...so funny",True
@arpitj795,2016-10-22T05:38:49Z,13,he so determined to get the stick..you're lucky to have such dog.,True
@gab229,2016-09-04T18:08:25Z,0,So fucking cute,True
