author,updated_at,like_count,text,public
@krishnaik06,2022-05-11T12:00:31Z,3,Like and drop your comment...What all other videos you are expecting?,True
@godgdfhackergod3836,2023-07-15T06:06:05Z,0,link not work😂,True
@godgdfhackergod3836,2023-07-15T06:04:40Z,0,resume for freshers plzz,True
@ashutoshnayak6242,2022-06-06T05:04:14Z,0,How can a fresher write about his goal of the project? Please tell,True
@s.husain6125,2022-05-21T20:02:23Z,0,Sir i am following you long time just sad for your hairs 😊,True
@RanjithKumar-jo7xf,2022-05-21T02:43:00Z,0,"Thanks for your time,it was pretty elegant and helpful ❤️",True
@Santosh-yh6fp,2022-05-15T15:51:07Z,0,https://www.youtube.com/channel/UC9PPnZ68dvK-rBY0OmUBDnA?sub_confirmation=1,True
@rokrem30,2022-05-15T12:28:51Z,0,What i liked is that your cto has given you suggestion about improving your video look and feel.  Knowledge to badiya dete he ho .. abhi bcg bhi mast hai.,True
@ImranKhan-jn6zh,2022-05-12T03:56:52Z,1,"Hello Krish,  I thank you from the bottom of my heart ✨✨😇ur videos helped me alot to make transition from an accountant to Software Engineer.. i have cleared Machine learning interview and received offer letter yesterday.  Once again Thank you very much Sir ji❤️❤️",True
@visitorsvlog,2022-05-12T03:08:47Z,0,Thanks,True
@bhupeshmahara,2022-05-11T14:45:42Z,0,"Sir can u share some free resume templates links (which does not include watermarks or which doesn't require any login) . I never found any template which is free, all of them require either the login, or it has some premium ship or has some watermarks.",True
@osikoyaadeola2530,2022-05-11T13:26:37Z,1,"Hello Sir, please I have searching for deep learning lesson 5, has it been released or yet to be released. Thanks for all you do.",True
@elzashany6531,2022-05-11T12:58:31Z,1,"Thankyou Krish..for the informative video..as a suggestion..if possible can we have a live series sessions of projects..as your previous project videos (advanced house price prediction, flight price prediction, etc.) Has helped me to build up my knowledge, skills and confidence.",True
@rushikeshtapsale7399,2022-05-11T12:39:02Z,13,sir can you share a fresher resume link for reference,True
@rishichaitanya3081,2022-05-11T12:32:13Z,1,writing research papers (Article) on A.I & M.L will help in resume,True
@arojitroy4567,2022-05-11T12:31:04Z,1,"Very informative and helpful content , Sir.........Thanks a lot ,🤘👏👏👌👌👌👌👍👍👍👍🙏🙏",True
@pratikwaghmare6069,2022-05-11T12:12:03Z,3,Could you please tell when will the Day 5 of Live Deep Learning be released?,True
@JayPatel-wv4mz,2022-05-11T12:07:42Z,2,"Hello Krish,  Big fan But in all the discussion you assumed that person is already working as a data scientist or making a switch to data scientist from the similar profile. For the person who doesn't have background how that person mention the goal you talk about like revenue increase by x%. People who wants to make a switch they haven't work on real life project.",True
@manateluguabbaiinuk-mahanu761,2022-05-11T12:00:29Z,0,"Hello Krish, Please share the reference resume link",True
@kvashishth5760,2022-05-11T12:00:23Z,0,Can you tell if Google Coursera Or IBM would be good for Data Analytics course? Are they job oriented?,True
@shah._.roz.1,2022-05-11T11:55:48Z,0,❤️❤️,True
