author,updated_at,like_count,text,public
@nitinshinde1204,2021-10-10T18:35:42Z,0,"Hi Krish Sir,  I've a question - where I've a dataset in which the Dependent variable seems to be in range of (1-10). So considering it categorical. How to decide, which ML Algo to use to solve the case study.",True
@rizwana3572,2021-10-10T18:20:19Z,0,Sir cAn you please make a project on text and image summarization and text and image as output,True
@nemmanisumanth,2021-10-10T18:04:29Z,0,perfect procedure for doing real time projects on data science to impress in resume,True
@sushmafromu.p,2021-10-10T12:32:29Z,0,Sir I have done my bsc in physics can I able to do this data science,True
@PavanKumar26,2021-10-10T12:19:49Z,0,"1209 videos including this one,amazing krish",True
@ArvindTech2010,2021-10-10T11:41:47Z,0,If you want to sponsor your channel comment below,True
@sheejalvijaypal,2021-10-10T09:54:47Z,0,i am 2017 computer science engg graduate...and was software engineer in 2018 for 8months at Accenture .. since then i have a career gap till date. can i now get back to IT through this course?,True
@vikkyghale912,2021-10-10T07:51:55Z,0,"Sir, is it necessary to have strong hold over English language for a career in Business Analyst / Data Analyst?",True
@PavanKumar26,2021-10-10T06:27:34Z,0,Waiting for Data engineering playlist Krish,True
@niharranjan5626,2021-10-10T04:27:26Z,0,Sir mere paas ek shrif 4gb RAM waalaa ek i5 1st generation laptop hai Par data science sikhnaa chaahtaa hun Kyaa mai sikh saktaa hun aur unhe apply kar sakta hun ? 🙏🙏🙏,True
@increasinglevel5013,2021-10-09T23:01:50Z,1,Can give a only pure resources to learn data science and after completion I can be able to get into a MNCs ❤️❤️❤️,True
@nadiayoussef3044,2021-10-09T22:29:43Z,0,I have a question please  can we apply one hot and albel encoding on the same dataset? For example we apply label encoding on ordinal cariabels and one hot encoding on no ordinal variables?,True
@venkatakirran456,2021-10-09T16:54:33Z,0,Hi Krish....can I put ur projects (air quality index)  in my resume as a member,True
@yasarahmedshaik6623,2021-10-09T16:54:23Z,0,"Hi Krish sir, Iam actually working as assistant professor in engineering college Since 10 years But wants to get into IT industry Is it possible for me that I can a position as iam 33 years of age So please suggest me",True
@hssp1534,2021-10-09T15:35:07Z,0,Why do companies hesitate to take experienced candidates who have experience more than 10 yrs but in a different field..why is it difficult to transition into a different career at a later stage of life? how to overcome it,True
@yaminadjoudi4357,2021-10-09T15:32:26Z,0,"Can you make a video about modular neural networks, MNNs  please ? And how can us implement with tensorflow?",True
@adityamallik9874,2021-10-09T15:20:29Z,0,sir how to improve EDA skills,True
@nishankapoor3064,2021-10-09T15:14:39Z,0,"sir, request you to make a video on fuzzy algorithm",True
@sowmyabhat1297,2021-10-09T15:03:02Z,0,Hi Krish! could you please explain Drain parser algorithm implemented for parsing log files.,True
@kandanselvaraj4924,2021-10-09T14:46:07Z,0,Is it kk if I get opportunity to work in web scraping?  Can I work in web scraping and is there any  future ?,True
@priyankabarnwal1919,2021-10-09T14:45:33Z,0,Yes,True
@kandanselvaraj4924,2021-10-09T14:44:54Z,0,Is it kk if I get opportunity to work in web scraping?  Can I work in web scraping and is there any  future ?,True
@priyankabarnwal1919,2021-10-09T14:44:33Z,0,How can I write about my fake news detection project in resume,True
@mrrishiraj88,2021-10-09T14:41:20Z,0,🙏👍👍,True
@offenceministry1002,2021-10-09T14:34:21Z,0,Sir what is the meaning of full stack data science.As the stack word is used in development.pls reply,True
@anityagangurde5329,2021-10-09T14:31:03Z,0,"Hello sir, is an internship necessary for getting a job as a Data Scientist? Or can I directly apply for jobs if I have some good projects on my portfolio",True
@singhshivam9613,2021-10-09T14:31:02Z,0,"I am working on oracle apps (6 months) as support Engineer how it is beneficial for me to move into Data Science ,,,🙏🙏🙏❓❓❓❓",True
