author,updated_at,like_count,text,public
@arshalc.a729,2023-05-21T12:15:22Z,1,Scene broi🥳,True
@bennetbenny5203,2023-02-12T01:31:55Z,0,"Not gonna like the video, since its on 69 likes now. Legend.",True
@gustavom8726,2021-04-12T22:56:09Z,1,"python programming, introduction ✅",True
@jitheshrajm3091,2021-02-09T16:33:53Z,2,After 7 yrs,True
@aaryagosar5464,2021-01-18T16:39:31Z,1,Congrats on 1mil buddy!,True
@sharmeenkhanam3629,2020-12-16T18:58:27Z,4,Here we go🙌 Now I'll watch all python tutorials,True
@HarshRaj-fp6pv,2020-03-18T15:55:09Z,4,Youtube was introduced to Sentdex.... 'NAMASTE GURUJI',True
@THE-MNG,2020-02-28T22:55:14Z,1,Legend never die,True
@RandomGuy-hi2jm,2019-12-10T13:51:31Z,3,who is watching in 2030,True
@agentNirmites,2019-10-11T05:49:47Z,1,I have started watching your videos from here.,True
@Gandalfbaws,2019-08-28T15:34:50Z,3,Legend was born,True
@mikiyasayele3538,2019-08-21T19:53:48Z,1,"Was not expecting to find this, but im glad i did",True
@Leon-xg7zj,2019-08-19T07:43:43Z,11,starting from the first one,True
@mrpossible5696,2019-07-14T17:14:30Z,18,0:00 A Legend was Born 😍,True
@goat-7658-ru,2018-11-14T05:20:29Z,6,First video on the channel. *MY BRAIN IS MELTING*,True
@Gottii92,2018-08-15T08:31:55Z,2,what a legend xD,True
@JordanShackelford,2017-10-09T19:34:49Z,27,Oh that's why he's doing self driving GTA cars,True
@bryanpedrosa8061,2017-04-25T08:50:34Z,2,cool,True
@Nevcio1,2016-11-19T18:11:27Z,2,Savage!,True
@yuvrajrandhawa2996,2016-01-30T23:56:08Z,0,Nice video  <*(((>{ fish ( ^_^),True
