author,updated_at,like_count,text,public
@krishnaik06,2024-04-13T06:21:56Z,4,"Support me by joining membership so that I can upload these kind of videos https://www.youtube.com/channel/UCNU_lfiiWBdtULKOw6X0Dig/join",True
@shwetashah7666,2024-04-30T08:01:22Z,0,"The link to the colab notebook breaks when you try to open it. Is there a particular way to open it? It shows the following error:  ""There was an error loading this notebook. Ensure that the file is accessible and try again. Ensure that you have permission to view this notebook in GitHub and authorize Colab to use the GitHub API."" What does it imply????",True
@OdiaMadBiker,2024-04-27T08:46:45Z,0,Hi sir .. Great content .. Suppose we have a use case where we need to feed our product bussiness rules to the model and next time we upload a csv/xlsx file .. it gets validated with those rules .. how can i achieve this ?? Can you please help on this ?,True
@zacharypetschko8569,2024-04-18T22:14:14Z,0,"I really need someone to talk to about this and similar sort of topics, everyone I know are total jabronis, all they care about is McDonald's and sports, I have been using this since it came out and am eager to truly test each other's case usages, Mine apparently is of the unicorn nature and I am enthused to learn if there's anyone out there who could possibly match mine? Please see my page for email contact please.",True
@palashjain4203,2024-04-18T18:35:38Z,0,Please make video on using this for generating insights and infographics,True
@neverexcept6404,2024-04-18T18:12:08Z,0,"How to call Gemini 1.5 pro with system instructions on node js, pls help",True
@E90999,2024-04-17T14:07:05Z,0,Why u people r excited about this devil dont you think a  big storm of unemployment is going to open soon b/c of this AI???,True
@PavanSaiReddy-zv3di,2024-04-17T13:48:26Z,1,"sir, please make a video on fine-tuning the Gemini using its API in Google Colab.In the documentation, it says we need to set OAuth for our project even though I did it is full of errors please make a video as soon as possible",True
@shubharthaksangharsha6248,2024-04-16T20:03:43Z,0,how to use it in langchain ?,True
@urnakundu3157,2024-04-14T16:41:29Z,1,Just got started with LLM using this video of yours and thanks a lot for such contributions,True
@abdullahazeem113,2024-04-14T11:20:28Z,1,this is the worst,True
@datastudy50,2024-04-14T09:57:52Z,0,Great Video. Hope to see end to end project soon.❤,True
@mohsenghafari7652,2024-04-13T17:57:21Z,1,tanks krish! Why do not you help me?😢,True
@ernestoflores3873,2024-04-13T17:42:33Z,1,"Great video Krish! I have a question, how do you think larger context windows will affect RAG?",True
@anandshaw-ie3qk,2024-04-13T17:32:37Z,0,https://youtu.be/T6Cxuk7NWmk?si=xa7a6SVUpxC3bjiG in this given video real truth of data science role ??,True
@Glorytroly9092,2024-04-13T17:00:20Z,3,"Sir can u please guide. Took Bsc in Data Science from Osmania University. Regretting because it is a degree not Btech thought Bsc in DS is worth it ,  We didn't have 5% of lab work of Btech our lecturers themselves don't know subjects in DS and they admit  that they don't know I want to continue in DS tho. Got placed in Accenture only 3.4 LPA but not related to DS it normal IT role",True
@oxynofiring,2024-04-13T12:28:22Z,1,Bhai Bhai hair style🌡️🌡️🔥,True
@kamalpandey3132,2024-04-13T10:37:14Z,2,"Hello Kris , can't wait for e2e project on Gemini 1.5 pro. Thanks again",True
@thamilarasan4048,2024-04-13T10:00:01Z,1,Waiting for pdf query,True
@PrathameshShete-ik2xo,2024-04-13T08:50:04Z,1,Chunk process be like : acha chalt ta hu dua wo mai yad rakhna😂😂😂😂,True
@Alice8000,2024-04-13T08:27:19Z,1,Length doesn't matter!!!! 😔,True
@rishiraj2548,2024-04-13T08:22:07Z,1,🙏🙂❤️,True
@pineappleeeeeeee2920,2024-04-13T07:46:09Z,19,"With your evolving hairstyle over time, I understand the necessity of ""Hi my name is Krish Naik"" at the start of every video",True
@chandanmaji2502,2024-04-13T07:29:44Z,2,the rock is cooking 😂,True
@coolsai,2024-04-13T07:26:58Z,2,Great,True
@yogibruh9556,2024-04-13T07:04:40Z,3,"Looking great bro 👌  add french cut bread 👍🤝.  As always, nice content",True
@ajan4174,2024-04-13T06:53:48Z,1,"Hey Sir, can we use this with langchain and make RAGs ,if so can you include this in your current going on langchain series",True
@himanshuparate6513,2024-04-13T06:43:23Z,3,Do we have to paste the api key in MY_API_KEY?,True
@Rafian1924,2024-04-13T06:40:18Z,3,Please keep french beard.. you will kill it.❤❤,True
@naehalmulazim,2024-04-13T06:39:21Z,3,Thank you for discussing this Sir! Have you discussed tiny LLMs (that can run on low-spec PCs) in any video?,True
@curiousskeptic,2024-04-13T06:37:46Z,3,Please make a Tutorial video on the new Agent Builder in Google Cloud ❤,True
@matattz,2024-04-13T06:30:50Z,7,Yo you have the perfect head shape to rock the bald look! Looking great my brother,True
@danish5326,2024-04-13T06:28:01Z,6,Bro u look like Marlon Brando with the new haircut,True
@meetsingh4223,2024-04-13T06:23:43Z,3,Fig fan sir!,True
@dswithanand,2024-04-13T06:23:14Z,2,Hello krish.. Please make a video on how to integrate Langchain chat memory history with fastapi.,True
@Mr.Vercetti471,2024-04-13T06:20:47Z,3,Second,True
@vanshrewaskar5119,2024-04-13T06:18:37Z,4,First one to watch' 😅,True
