author,updated_at,like_count,text,public
@bidushofficial,2024-03-06T11:18:20Z,0,is it Block Hash Generator ? and how to run it ?,True
@pycat141,2023-12-12T12:54:28Z,0,3:43 Avalanche effect,True
@AshaAsha-du1iy,2023-10-01T11:59:41Z,0,Code no work,True
@dattajv,2022-12-20T12:31:28Z,1,my dear is it avalanche effect or alvanche effect you are pronouncing it?,True
@mohsinimam2048,2022-04-15T18:01:12Z,4,"The SHA256 algorithm generates a hexadecimal number of length 64, and each hexadecimal character is of 4 bits (NOT bytes), thus 64 * 4 = 256 bits.",True
@kishore3785,2021-03-28T17:50:37Z,0,A big Thank you to Krish from Hyderabad,True
@KanhaiyaKumar-ed2ti,2021-02-27T04:55:54Z,3,Sir can you confirm if each character in the hash value has size of 4 bits or 4 bytes,True
@Anujkumar-my1wi,2021-02-26T18:56:48Z,1,can you make a video explaining visual proof of universal approximation theorem?,True
@ravikirantuduru1061,2021-02-26T17:31:07Z,1,If i hash key is same for every string,True
@ravikirantuduru1061,2021-02-26T17:30:32Z,1,How to decode,True
@skviknesh,2021-02-26T16:26:12Z,18,"Krish! I have to Thank You so much🤩. I cracked an interview with Quantiphi! 😍. Seriously, I religiously followed your machine learning playlist🤓👨‍💻🙇‍♂️ for a month.  Surprisingly I was able to explain many concepts clearly to HR😊. Which made them hire me. Seriously You are the only reason for it 😍😘🥰😘😘😘!    Thank You a Ton!🙏🙏🙏🙏   You are really inspiring!  I will try to share knowledge the same way as you do...",True
@abhisekdatta8887,2021-02-26T15:54:29Z,1,sir any update on TFOD playlist??,True
@MmM-iu1sz,2021-02-26T15:45:08Z,1,Why we couldn't able to view the playlist??,True
@marmiksharma2573,2021-02-26T15:42:46Z,1,Thankyou!,True
@sonunagar7892,2021-02-26T15:36:22Z,2,And how i join in wp group?,True
@sonunagar7892,2021-02-26T15:35:40Z,2,@krish sir can you please make a video on how to upload large project folder more than 100MB in github..,True
@Ranvir_Singh18,2021-02-26T15:32:57Z,4,"Hii krish ,Thanks for sharing such a good content !!!",True
