author,updated_at,like_count,text,public
@VinayakamoorthiC,2024-04-03T14:11:02Z,0,good explanation,True
@w3r161,2024-03-25T00:28:17Z,0,"Thank you my friend, you are a great teacher!",True
@aayushsuman4592,2024-03-23T21:00:01Z,0,"Thank you so much, Krish!",True
@user-ec9he3nz7f,2024-03-17T14:38:27Z,1,really great explanation sir 😍,True
@user-ki9uz1wj5f,2024-02-03T18:48:52Z,0,the only video that made gradient descent so simple that even 2nd grade students woud understand,True
@123man123man1,2023-12-30T13:57:17Z,0,"Thank you for sharing this insightful video about linear regression. While I found it informative, I'm uncertain about how it addresses the challenge of avoiding local minima. I'd greatly appreciate it if you could provide some insights on this aspect as well.",True
@kits1111,2023-10-26T12:07:53Z,0,"as c and m both are changing , shouldn't covergence theorem have rate of change of c also ?",True
@dhruv1324,2023-08-03T16:19:21Z,0,never found a better explaination,True
@tarunsingh-yj9lz,2023-07-23T20:11:09Z,0,Best video on youtube to understand the intution and math(surface level) behind Linear regression. Thank you for such great content,True
@Karthik-wj5rs,2023-07-18T13:45:01Z,0,Finally I understood the perfect answer of gradient descent..,True
@debrupdey7948,2023-06-07T16:14:38Z,0,"great video sir, so lucid",True
@SanjeevKumar-dr6qj,2023-04-23T02:24:17Z,0,Great sir. Love this video,True
@vishnuppriya5263,2023-03-19T11:39:23Z,0,Really great sir. I very much thank you sir for this clear explanation,True
@avinashgote2770,2023-02-22T09:04:58Z,0,good expplanation now clear all queries,True
@dsc40sundar18,2023-02-11T21:06:23Z,0,H i sir great content and a big fan of your work let me ask a doubt in cost function many books or blogs takes the cost function as 1/NSUMATION( Y - Y^) BUT you used 1/2N SUMATION( Y - Y^) so i was bit confused in that part and tq u for wonderful content thnak you so much sir,True
@shadiyapp5552,2022-12-30T19:15:46Z,0,Thank you sir ♥️,True
@YoutuberEnjoy,2022-11-23T08:05:42Z,0,simply great,True
@salilmadhav9109,2022-10-15T12:03:59Z,0,@krish Naik What will happen if it is a local minima ( for different equation),True
@Aishwaryaa123,2022-10-15T06:44:39Z,0,please do a vedio on matrix method linear regression,True
@pradnyavk9673,2022-09-12T06:07:33Z,0,very well explained Thank you.,True
@ShadyPencil,2022-06-18T12:54:09Z,0,awesome!,True
@9902152322,2022-06-17T12:59:51Z,0,"god bless you too sir, explained very well. basics helps to grow high level understanding",True
@onelyfcode2442,2022-06-10T06:25:07Z,0,Nyc explained ❣️,True
@aritra8820,2022-06-06T04:40:13Z,0,when you are writing convergence theorm  it should be m - d(j(m))/dm * alpha,True
@tarunsachdeva3570,2022-06-04T09:26:13Z,0,Which tool u are using to draw ?,True
@nair12475,2022-05-22T01:48:49Z,0,when c=0 you are saying the pic will be in 3 D...WHY it is so,True
@ayurdubey4818,2022-05-19T13:18:54Z,7,"The video was really  great. But I would like to point out that the derivative that you took for convergence theorem,  there instead of (dm/dm) it should be derivative of cost function with respect to m . Also a little suggestion at the end it would have been helpful, if you mentioned what m was, total number of points or the slope of the best fit line. Apart from this the video helped me a lot hope you add a text somewhere in this video to help the others.",True
@guptarohyt,2022-05-16T17:05:14Z,0,"Great explanation, how to figure out which direction to move?",True
@AnjaliSingh-oe1mo,2022-05-03T10:58:39Z,0,Please always link the previous videos to help go through the topics in sequence,True
@anuradhamishra2139,2022-04-19T08:17:53Z,0,you are amazing,True
@anuragmukherjee1878,2022-04-11T12:31:41Z,27,For those who are confused. The convergence derivative will be dJ/dm.,True
@pearlbabbar7981,2022-03-24T09:10:57Z,0,"Amazing explanation! I have one question, from where did you study all of this? Some books or the net?",True
@navjotsingh8372,2022-03-22T01:25:57Z,2,"I have seen many teachers explaining the same concept, but your explainations are next level. Best teacher.",True
@tezzbhandari3725,2022-03-21T08:34:25Z,0,The graph of the cost function is not gradient descent. The automatic differentiation of cost function with respect to m is gradient decent which is used to update the m.,True
@Mars7822,2022-03-02T15:29:46Z,0,good,True
@soumikdutta77,2022-02-25T09:32:20Z,4,"Why am I not surprised with such a lucid and amazing explanation of cost function, gradient descent,Global minima, learning rate ...may be because watching you making complex things seems easy and normal has been one of my habit. Thank you SIR",True
@ganeshsubramanian6217,2022-02-20T03:30:27Z,0,You have used m for both for slope and #points.  That is bit confusing.,True
@divyatejadadi6898,2022-02-14T14:31:22Z,0,excellent explanation,True
@shailesh1981able,2022-02-11T04:25:12Z,0,Awesome!! Cleared all doubts seeing this video! Thanks alot Mr. Krish for creating indepth content on such subject!,True
@wellwhatdoyakno6251,2022-02-09T07:07:38Z,0,Whereis the link to the implementation?,True
@wellwhatdoyakno6251,2022-02-09T07:06:50Z,0,lovely! love it.,True
@meetbardoliya6645,2022-02-05T12:40:37Z,0,Value of the video is just undefinable! Thanks a lot :),True
@walidhossain3655,2022-02-01T14:53:14Z,0,14:11 Gradient Descent,True
@pavantripathi1890,2022-01-29T06:18:40Z,0,"sir, what if the intercept was not 0 ,how do we calculate it? would be grateful if you replied. Thanks for the great video",True
@jyotimalik8960,2022-01-25T06:50:28Z,0,bomb explanation,True
@TheBala7123,2022-01-23T03:00:10Z,0,"Excellent explanation sir. I have started following your videos for all the ML related topics its very interesting.  One doubt = In Gradient Descent, when slope is zero, M value will be considered as the slope of the best file line. I do not understand this. Can you please explain here? Thanks.",True
@RanjithKumar-jo7xf,2021-12-29T02:38:21Z,0,"Nice Explanation, I like this.",True
@welcome___4548,2021-12-26T11:10:34Z,0,Any one share the playlist of this tutorial link i can't see the whole tutorial,True
@ngarwailau2665,2021-12-26T07:33:24Z,0,Your explanations are the clearest!!!,True
@ngarwailau2665,2021-12-26T07:30:32Z,0,Can you please also show us Linear regression in matrix form?,True
@marwinsolomon9511,2021-12-07T07:58:22Z,0,"What is the significance of (1/2n), n is no. of data points in the cost function?",True
@AGhosh-sb8lf,2021-12-06T07:55:11Z,0,thank you sir thank you so much,True
@boredeggyolk7969,2021-12-03T02:37:49Z,0,hey guys can anyone help me to see the implementation video? i didn't see any link in the right top video. thanks,True
@boredeggyolk7969,2021-12-02T16:11:25Z,1,am i dumb or i’m the only who who doesn’t understand? 💀,True
@priyankachoubey4570,2021-12-01T03:15:52Z,0,As always Krish very well explained!!,True
@snehalhon,2021-11-19T09:44:35Z,0,Plz send me link where i can watch this tutorial completly plzz,True
@sanjug7317,2021-11-18T10:33:07Z,0,Very good and detailed explanation,True
@juozapasjurksa1400,2021-11-09T15:49:50Z,0,Thank you! This video was so good!,True
@nitishkeshri2378,2021-10-21T14:44:46Z,0,"Do we need to consider intercept value as zero initially, if not then how to proceed further.",True
@askshivansh,2021-10-12T09:21:26Z,0,"Sir, In most of the cases C will be not zero, then how will we find the value of C.  Will we find value of C using gradient Descent?",True
@ankitac4994,2021-10-08T05:18:29Z,0,Sab bouncer gaya🤔,True
@ajinkyadeshmukh9674,2021-10-06T08:05:15Z,0,"Hi Krish, That was an awesome explanation for the maths used for linear regression, especially for the cost function. Can you make a video on 5 assumptions of linear regression and also explain the assumptions in detail.",True
@pjanjanam,2021-10-04T04:56:16Z,1,"A small comment at 17:35. I guess it is Derivative of J(m) over m. In other words, the rate of change of J(m) over a minute change of m. That gives us the slope at instantaneous points, especially for non linear curves when slope is not constant. At each point of ""m, J(m)"", Gradient descent travels in the opposite direction of slope to find the Global minima, with the smaller learning rate. Please correct me if I am missing something.  Thanks for a wonderful  video on this concept @Krish, your videos are very helpful to understand the Math intuition behind the concepts, I am a super beneficiary of your videos, Huge respect!!.",True
@dhainik.suthar,2021-09-24T17:00:18Z,0,there is a small mistakes in slope update  m' = m - alpha *  d(j)/dm m' = updated m j = cost function,True
@azizahmad1344,2021-09-20T20:05:51Z,2,Such a great explanation of gradient descent and convergence theorem.,True
@jaisamdariya4307,2021-09-19T09:37:49Z,0,I wish I could like this thousand times.,True
@mohdabbas7794,2021-09-13T05:57:46Z,0,it's become complex try to explain it in simple way,True
@YogeshKumar-ye8nd,2021-09-10T15:21:17Z,0,initially How would I decide the m value of m ???,True
@jaspreetsingh5334,2021-09-06T08:45:49Z,0,Thanks Krish u are helping alot,True
@nanditagautam6310,2021-09-04T08:27:41Z,1,This is the best stuff i ever came across on this topic !,True
@wanfaris9473,2021-08-30T12:54:12Z,0,Thank you,True
@nurali2525,2021-08-26T03:00:09Z,0,This guy was born to teach,True
@AjayKumar-id7mb,2021-08-25T07:37:57Z,0,After watching this 3 times everything is clear Repetition is the key,True
@priyanshusharma2516,2021-08-21T12:33:17Z,4,"Watched this video 3 times back to back .Now its embaded in my mind forever. Thanks Krish , great explanation !!",True
@rishabsharma7114,2021-08-19T15:32:30Z,0,If anyone has all the notes of the Machine learning playlist from Krish sir then please share the link for handwritten notes here. It will be very helpful.,True
@sanashaheen158,2021-08-13T06:43:59Z,0,Assalamoalaikum!! Krish kindly ye bta dein k spark series kahan khtm o rhi hai r kindly jaisy first kuch toturials mei spark ko step by step ly kr ja rhy waisy complete end tk jao please please,True
@shubhamthombare7362,2021-08-06T07:05:21Z,0,"Sir, what if our problem statement does not reach the global minima when C=0 is considered.  And how will our algorithm come to know that the C=0 condition is not sufficient for the best fit line?",True
@Cricketnews-ek5fy,2021-08-02T14:33:29Z,0,In 22:50 time sir said when it reaches to global minima the slope value will be 0 and And the value of m will be considered for best fit line but the value of slope  and m is same.Please clear doubt @krishan Naik sir,True
@abhisheksaini5217,2021-07-31T17:00:11Z,1,Thankyou sir,True
@mahikhan5716,2021-07-28T12:16:06Z,0,krish u are saying here discussed details about simple linear regression in ur previous videos but the previous one actually regarding PDF and CDF . is the playlist is sorted ??,True
@shchiranth6626,2021-07-26T17:18:27Z,0,Great Tut sir got things pretty quick with this video ty,True
@leenadas8708,2021-07-25T07:13:42Z,0,Why can't I find this data science playlist in his channel? 😭,True
@auroshisray9140,2021-07-16T18:46:14Z,0,Thank you Krish bhaiya!,True
@madhavilathamandaleeka5953,2021-07-16T13:28:38Z,0,"At 22:12 , why slope will be 0 ...At global minimum slope is 1 and cost function ( absolute square error)  is 0 .... Isn't it sir ? Excuse , if I'm wrong .🙏",True
@subhamsaha2235,2021-07-16T06:31:45Z,0,superb,True
@mellowftw,2021-07-08T23:30:56Z,0,Thanks so much sir.. you're doing good for the community,True
@mahalerahulm,2021-06-22T18:42:24Z,0,Great insight 👍,True
@b.chinrhea,2021-06-19T19:04:12Z,0,"It was an amazing video , thanks",True
@PankajMishra-ey3yh,2021-06-16T12:40:33Z,2,"I think in the Convergence theorem part, the derivative should be d(J(m))/d(m), as in a y-x graph, we take derivative of y wrt x. Here our Y is J(m) and X is m.",True
@jayeshmudaliar9155,2021-06-15T15:31:28Z,0,best one sir thank you so much,True
@samdavid4594,2021-06-04T07:52:33Z,0,15:14,True
@lubaidkhan2937,2021-06-02T01:00:34Z,0,Thanks krish sir,True
@dhainik.suthar,2021-06-01T17:32:04Z,4,This maths is same as coursera machine learning courses  Thank you sir for this great content ..,True
@cutecreature_san,2021-05-29T10:33:37Z,0,your videos are clear and easy to understand,True
@balvinderkaur9815,2021-05-21T16:55:12Z,0,"There is no link on top , kindly provide",True
@sagarparigi1884,2021-05-16T09:26:13Z,0,This video is really helpful.,True
@hardikshah_99,2021-05-13T06:20:21Z,0,Implementation Links: Simple Linear Regression: https://www.youtube.com/watch?v=E-xp-SjfOSY&t=1598s Multiple Linear Regression: https://www.youtube.com/watch?v=5rvnlZWzox8,True
@rambaldotra2221,2021-05-11T16:29:14Z,0,"Thank You Sir, You have explained everything about gradient Descent in the best possible easiest way !!",True
@nayanjain3594,2021-05-08T16:50:15Z,0,"Hi Krish, how to calculate the intercept value as in this we have initialized it to 0 and we have not calculated at the end. We have calculated only slope of best fit line.",True
@mvcutube,2021-05-05T20:28:09Z,0,Nice tutorial. Thank you,True
@melwinmpk,2021-05-05T02:24:10Z,4,Is there any relation between the RSS (Residual sum of squares) and the Cost Function in the Linear Regression?,True
@KNfarming882,2021-04-19T12:18:42Z,0,derivative of slope and intercept will updated in each iteration,True
@arhaangarg1482,2021-04-17T12:16:18Z,0,couldnt undertsand when andrew Ng was teaching but you bro !!!,True
@YashSharma-es3lr,2021-04-14T18:40:57Z,0,awsome,True
@Dinesh-uh4gw,2021-04-13T20:53:57Z,0,Excellent Explanation,True
@harshdhamecha5503,2021-04-11T04:05:54Z,34,There's a little correction in Convergence Theorem:  derivative of J(m) should be there in place of derivative of m in numerator.,True
@animeshkoley6478,2021-04-06T20:47:57Z,2,Best explanation of Linear Regression🙏🙏🙏.Simply wow🔥🔥,True
@annapurnaparida7655,2021-04-02T17:36:54Z,0,So beautifully explained...did not find anywhere this kind of clarity....keepnup the good work....,True
@scifimoviesinparts3837,2021-03-30T10:42:07Z,0,"Why multiply the cost function with 1/2 ?  I mean, what's the need of 1/2 in cost function : 1/2m * sum( y_ - y )^2",True
@python_by_abhishek,2021-03-29T02:15:31Z,7,Before watching this video I was struggling with the concepts exactly like you were struggling in plotting the gradient descent curve. ☺️Thanks for explaining this beautifully.,True
@divyaalampalli4812,2021-03-24T07:57:44Z,0,Can you please explain basic idea of linear regression?,True
@amicoolcool,2021-03-21T08:09:13Z,0,Size is zero bit little confusing. so rejected to see further,True
@karanjaiswal4682,2021-03-16T20:51:56Z,0,also need to note that the gradient descent should not be taken very very small as it will take a very long time to reach the global minimum,True
@shaiksuleman3191,2021-03-16T01:53:34Z,0,Sir No Words to explain simply super b,True
@adityanarendra5886,2021-03-14T05:46:38Z,0,Couldn’t understand positive and negative slope concept wrt to right and left,True
@arrooow9019,2021-03-07T17:33:57Z,0,Oh my gosh this is awesome tutorial I ever seen God bless you sir🤩🤩,True
@durgeshmishra9449,2021-03-06T19:16:10Z,0,@ 17:34 it should have been d/dm (J(m))?,True
@vishalrai2859,2021-03-06T16:43:35Z,0,understood sir,True
@jamesrobisnon9165,2021-03-04T02:15:33Z,0,Dear Krish: At 14:42' you mention that curve is called gradient descent. I believe this is not true. Gradient descent is not the name of that curve. Gradient descent is an optimization algorithm.,True
@dan684al,2021-02-22T14:17:51Z,0,where is the link on the top right corner for the implementation as you said in the end?,True
@shreyasagrawal3450,2021-02-20T13:14:07Z,0,So size matters,True
@nidhimehta9278,2021-02-18T08:17:05Z,0,Best video on theory of linear regression! Thankyou soo much Krish!,True
@rezafarrokhi9871,2021-02-14T04:53:49Z,5,"Thanks for all great prepared videos, I think you meant (deriv.J(m) / deriv(m)) at 17'.45"", is it correct?",True
@vishwashah4109,2021-02-12T01:37:12Z,0,Best explanation. Thank you!,True
@pradeepmallampalli6510,2021-02-10T04:26:45Z,0,"Thank you Soo much Krish. No where I could find such a detailed explanation    You made my Day!",True
@speakupagnivo1237,2021-01-27T06:02:41Z,0,"KINDLY make a playlist of all of your tutorial,you have so many videos (which is a good thing :)) ),hard to find out other tutorials .Sorry for bothering :)",True
@amansrivastava3081,2021-01-24T03:21:14Z,0,"I wanted this to be implemented in python without the usage of sklearn.... so what should I intitalize by weight (m) & bias (c) with? I am confused.. I can do all things with sklearn so easily but without that, I am so confused.. :-( Please help someone. Krish is saying that you first get a line then from there you need to acquire m & c... but if I am coding it in python and apply linear regresssion formulas, then I would have to first initialize it with something or else how will I get the line.... :-(",True
@PavanKumar-xg8ye,2021-01-23T23:52:22Z,0,Excellent!!!!!,True
@koushikkumar4938,2021-01-15T10:03:07Z,6,Implementation part:  Multiple linear Regression - https://www.youtube.com/watch?v=5rvnlZWzox8  Simple linear Regression - https://www.youtube.com/watch?v=E-xp-SjfOSY,True
@SachinPatil-om1ms,2021-01-10T14:00:40Z,0,Finally... I got to know how it works 👍,True
@MrFaiqueShakil,2021-01-10T02:23:46Z,0,Why your channel have so many ads...?,True
@nagarjunakanneganti5953,2021-01-09T08:46:12Z,0,And statistical regression analysis is different from Machine learning (gradient descent) estimation right?,True
@nagarjunakanneganti5953,2021-01-09T08:42:42Z,0,Why does considering intercept C will have you draw 3d plots?,True
@skviknesh,2021-01-08T08:25:01Z,1,Great! Fantastic! Fantabulous! tasting the satisfaction of learning completely - only in your videos!!!!!,True
@damnojs,2021-01-07T10:48:44Z,2,"Hey, great video. Just one correction. Convergence theorem computes computes derivative of J wrt m, not that of m wrt m.",True
@shreyasbs2861,2021-01-05T13:28:26Z,0,How to find best Y intercept ?,True
@akshaychauhan5919,2021-01-04T10:29:52Z,0,It should be derivative of J(m) w.r.t. m which will give slope of J vs m curve,True
@rakeshenjapuri3143,2021-01-03T14:22:00Z,0,why we are using cost function and gradient sir what is the concluson ? can we apply as well multilinear and logistic regression also?,True
@ishanthakur3315,2020-12-30T04:28:16Z,0,You are taking derivative of cost function w.r.t. m in convergence theorem? Please reply!,True
@mayureshgawai5951,2020-12-26T08:39:52Z,0,No one can find easiest explanation of gradient descent on youtube. This video is the exception.,True
@insurance5225,2020-12-23T11:35:36Z,0,Where is the playlist for this I am not getting,True
@moulisiramdasu6753,2020-12-11T13:20:17Z,0,Really thanks you krish. you just cleared my doubts on cost function and gradient descent. First I saw Andrew Ng class but have few doubts after seeing you video. Now its crystal clear.. Thank You...,True
@shhivram929,2020-12-08T04:20:47Z,3,"Hi krish, that was an awesome explanation of Gradient Descent. With respect to finding the optimal slope. But in linear regression both slope and the intercept are tweakable parameters, how do we achive the optimal intercept value in linear regression.",True
@maheshrao4593,2020-12-02T02:53:57Z,0,hi krish we seen the tutorial 26th vedio of linear regression but in this vedio you we already discuss about linear discussion where is that introduction of linear regression this only about total linear regression before you done any vedio on linear regression let me know,True
@thokchomphalgunisingh2199,2020-11-29T17:51:02Z,0,How can i do it in sklearn?,True
@rahuljindal3683,2020-11-27T14:49:32Z,0,"For different independent variables,  we would have that many gradient descent.  Individually,  using convergence theorem,  we would get global minimum,  but how we are going to find the best fit combining all???",True
@rahuljindal3683,2020-11-27T14:38:00Z,0,16:23 frustration 😵😵😵,True
@deepakchakri,2020-11-24T18:27:56Z,0,Nailed it,True
@sharikatv1989,2020-11-15T13:16:19Z,0,This is super helpful!,True
@AVyt28,2020-11-11T09:51:54Z,0,Great video I understood the concept,True
@AVyt28,2020-11-11T09:51:22Z,0,Where is the link in top corner??,True
@renugadevi3125,2020-11-05T11:03:17Z,0,"Hi Krish, can you please put video about research methodology",True
@samitaadhikari3182,2020-10-29T09:42:48Z,0,i dont think in y=mx+c c decides where the line is in 3d or 2d it is just a constant   it is so sad that he never reply in comments,True
@ankitchauhan6629,2020-10-27T12:44:22Z,1,What about the C (intercept) value? how does the algorithm selects the C value?,True
@sarithajaligama9548,2020-10-24T09:15:25Z,0,This is the equivalent of Andrew Ng's description. But I never understood this concept until watching this video.,True
@tejas8211,2020-10-14T06:45:50Z,2,maja aa gaya pehli bar gradient dissent itne acche se samajh ke. Mere college ka teacher g^nd* tha saala,True
@Neuraldata,2020-10-11T22:20:04Z,1,We would also recommend your videos to our students!,True
@adiflorense1477,2020-10-10T02:02:07Z,0,"17:04 Sir, why every machine learning model looks for global minimums instead of local minimums?",True
@adiflorense1477,2020-10-10T01:47:32Z,0,"10:13 hello sir, what does 1 divided by 2m mean? what does m stand for?",True
@ganeshrulz6302,2020-10-07T11:26:26Z,0,what is the value of positive slope.,True
@PritishMishra,2020-10-07T04:12:40Z,0,I knew that their will be an Indian that can make all the stuffs easy !! Thanks Krish,True
@ankittikna123,2020-09-30T18:39:52Z,0,"Krish,No link given for implementation part.please help",True
@aashishraina2831,2020-09-29T10:31:53Z,0,its all same like Andrew NG. But this indian style of communication has garnished the curry.After all we like indian currry.,True
@deeptigoyal4342,2020-09-27T17:57:53Z,0,one of the best explanation so far :),True
@nandinibalyapally3388,2020-09-22T11:57:55Z,89,I never understood what is a gradient descent and a cost function is until I watch this video 🙏🙏,True
@shaktirajsinhzala4588,2020-09-20T11:23:18Z,0,"Sir,there is no playlist of this series where can I found that? About cdf,pdf...",True
@varshadevgankar8242,2020-09-19T15:26:01Z,3,"sir i can' find the simple regression and multiple regression video as u said  and some videos are little jumbled its getting difficult to follow the videos and plz do explain the functionalities of each and every keyword or a inbuilt function when ur explaining the code...ofcourse ur explaining in a very good way but i faced a liitle problem while folllowing that  practical implementation of univariate,multivariate,and bivariate analysis(there you have used FACETGRID function)..so will u plz expalin me what is the exact use of facetgrid...?",True
@shan5612,2020-09-18T11:53:53Z,2,"Great,but not able to find the link for how to implement in python,plz awaiting for your valuable reply.",True
@mohammednathar4147,2020-09-14T17:07:43Z,0,I could not find the link mentioned at the end of video,True
@nikifoxy69,2020-09-09T15:41:21Z,0,Loved it. Thanks Krish.,True
@kannanparthipan7907,2020-09-01T14:21:28Z,2,Why 2m in place of m in cost function calculation... Pls explain,True
@shubhamkohli2535,2020-08-31T22:23:18Z,0,"Really awesome video , so much better than many famous online portals charging huge amount of money to teach things.",True
@ShiVa-jy5ly,2020-08-31T02:49:12Z,0,Thankyou sir...Get to learn so much from you.,True
@ravithakur0041,2020-08-29T11:07:12Z,0,"In the convergence theorem eqn, m = m - (dm/dm)* alpha . How dm/dm is the slope of J(m) vs m curve ?? slope should be dJ(m)/dm rather than dm/dm.",True
