author,updated_at,like_count,text,public
@radhikamaheshwari4835,2024-05-02T10:43:41Z,0,"Hi, how are you able to print a model.summary before model.fit(). I am getting an empty result. Can you please help.",True
@nastaran1010,2024-04-10T16:44:42Z,0,"Hello. I have a question. If bi-LSTM can consider the words of sentences by attention to two directions, what is the difference between it and transformers model?",True
@moulaliv5246,2024-03-20T13:44:49Z,0,I am getting unimplemented error': graph execution error  Any one tell me how to rectify this error,True
@nayrahkhan9471,2023-12-19T07:13:20Z,0,hello sir.. i am just not able to download the data csv file..,True
@vikashmaheshwari7200,2022-09-01T09:04:19Z,0,Implement Kaggle credit card dataset Using Bidirectional LSTM GNN/RNN for fraud detection,True
@naveensingh8780,2022-04-13T11:53:57Z,0,Please implement the bidirectional rnn,True
@aaravjain3621,2022-01-21T10:19:42Z,0,Ur videos are best and great help,True
@aliathar891,2021-11-24T07:28:39Z,0,if a sentence length is greater than our assign seq length then what we will do sir? plz clear my confusion,True
@naziyashaik2107,2021-09-27T10:16:48Z,0,Is there any hyperparameter optimization to choose embedding features,True
@thepresistence5935,2021-08-22T08:33:12Z,0,"This was satisfied video , thankyou so much dude !",True
@louerleseigneur4532,2021-05-29T16:46:32Z,0,Thanks Krish,True
@nagercoilgamer9484,2021-05-21T04:31:18Z,0,super sir,True
@shriramankitha391,2021-03-24T05:52:12Z,0,how can we predict for a new data,True
@abhisheksharma9805,2021-03-17T10:41:32Z,0,The best mentor i ever had.....  U helped me alot in understanding the concept. Wish we would have a conversation.,True
@seenamosisa1404,2021-03-16T07:59:10Z,0,how i can clasify news text classification usin RNN and how i can create a mode please help me,True
@annmarypaul5186,2021-03-11T11:42:58Z,0,he deserve huge respect for his videos and effort in making it easy for all to understand..,True
@hardikvegad3508,2021-02-21T14:54:46Z,0,How to add multiple layer in LSTM for classification,True
@virendrakumar-gl9em,2021-02-19T07:42:20Z,0,"sir after executing similar code all is well upto corpus call but at time of executing ""corpus"" we got  ['-35'] why?",True
@kjayeshnaidu6012,2020-10-03T10:59:55Z,0,Sir here u used title as it had only one sentence but if we use text feature we will more than one sentence. How to preprocess in that case,True
@shindepratibha31,2020-09-01T11:41:28Z,0,Nice video. Model.summary() gives us number of parameters in each layer. Can anyone  help in calculating the total number of parameters in LSTM and embedding layers?,True
@shashankvikramsingh19,2020-08-28T12:34:20Z,0,Can we have a deployment of this model? Kinda having problem in defining the pipeline to predict custom text tho. I have managed to scrape 60k news dataset for recent news will try to deploy it and then release the dataset for the community.,True
@Kumar08,2020-08-24T06:36:36Z,0,Good explanation sir.  I have a doubt why you have used Stemming technique instead of Lemmatisation.,True
@aiventure1044,2020-07-06T09:38:50Z,1,When you said 2.2. zero that's where you earn my subscription.,True
@vinayreddy8683,2020-06-26T04:47:46Z,0,"For LSTM, you didn't mentioned number of time steps we're looking at?",True
