author,updated_at,like_count,text,public
@swarajpradhan4322,2021-07-31T08:35:44Z,0,I also use pycharm as of now..,True
@imranfaroouq9741,2021-07-31T07:22:22Z,2,"Hey Krish,  please complete the Machine Learning Pipeline Playlist...... ... .. ... .",True
@vikaskrishnan4018,2021-07-31T07:20:19Z,0,Can someone suggest me if VSC is good for Java dev? Or eclipse is the standard for Java dev?,True
@michaelyousuf9078,2021-07-31T00:02:49Z,0,That's why I had uninstalled all other IDE and started using VSC,True
@zulfiqar7967,2021-07-30T21:01:36Z,0,"I have 3 year experience on vb.net and ms sql.. i developed complete POS billing software by own for my company., But I'm getting a low pay., And vb.net also old technology.. Now i have an idea to switch my career.. please, can u suggest me some idea..",True
@engintekin2530,2021-07-30T19:04:10Z,0,I also have been using VSC for a while and it is very handy also have tons of extensions.,True
@vinayakganji5067,2021-07-30T18:03:30Z,0,Pls create more videos on VS code,True
@nithinshetty8586,2021-07-30T18:03:14Z,0,"Someone please help me in buying new laptop, in the range of 50-60k , for ml,dl work.  Thanks",True
@Sandeepkumar-dm2bp,2021-07-30T17:14:33Z,5,"share extension also, that you find useful.",True
@TD-ph3wb,2021-07-30T16:57:18Z,1,dear sir...... yes... salutes from india,True
@jadhavnandunaik7870,2021-07-30T16:12:31Z,2,Krish sir can you make a Video How to get a job as a fresher in data science and How to get shortlisted ...I have been applying for the last one and a half months but I haven't received any mail back...So could you make a video on these particular topics please it's a humble petition?,True
@aesthetic6772,2021-07-30T16:11:29Z,8,I wish on pinch of IronMan all the Data from this chanel could transfer in my brain🤞😀,True
@jadhavnandunaik7870,2021-07-30T16:06:32Z,1,"Thank you, so much for sharing your knowledge Krish sir...😍😍",True
@janakiraam1,2021-07-30T15:58:21Z,1,Can you showing debugging feature in vs code?,True
@technicalanupal9203,2021-07-30T15:51:54Z,4,can you do a little ml deployment using VS code please,True
@thepresistence5935,2021-07-30T15:47:05Z,2,Coz it looks like my babe,True
@axelgomez7819,2021-07-30T15:46:53Z,1,i'm also loving visual studio code,True
@kumbalaanil8380,2021-07-30T15:45:42Z,1,Make video on flutter and dart if possible,True
@kumbalaanil8380,2021-07-30T15:42:22Z,1,I use since 10 days,True
@ajayshukla1589,2021-07-30T15:40:37Z,2,Sir video hindi mai bhi banaya kro please ❤️🙏🏻🙏🏻❤️,True
@geekyprogrammer4831,2021-07-30T15:40:25Z,2,3rd!,True
@krishnabisen2666,2021-07-30T15:39:39Z,1,You were zeroth I'm first,True
@EhsanIrshad,2021-07-30T15:38:39Z,2,first,True
