author,updated_at,like_count,text,public
@mr.pingpong502,2023-03-17T16:50:34Z,0,"Question No.2 . Can we use the SUBSTR function? SUBSTR(COlumn name, starting postion, length of characters)",True
@cecomecoev4796,2023-03-08T20:52:02Z,0,"Am I the only one seeing this:  For wifi Id=1 we have 120+111+89 = 320 , 320/3=106.(6)  and this is NOT equal to 110.",True
@jaitiwari241,2023-01-12T06:14:35Z,0,Where is sql script to practice along,True
@rojalibiswal8975,2023-01-11T07:00:42Z,0,Hello sir 5no question may RAMESH SAHOO kiun nehi ayega,True
@shwethas.k9742,2023-01-07T12:57:41Z,0,"Hi Krish, I just subscribed now and started to watch the videos and its just wow. Can you please help with the Statistics and ML end to end videos or any link",True
@technology1863,2022-12-21T13:25:30Z,0,the mentor is bengali,True
@arnimapathak9972,2022-07-12T17:29:57Z,0,Sir video is not clear,True
@kmishy,2022-04-25T15:59:27Z,0,will there be SQL questions or some theoretical questions,True
@derartudejene780,2022-03-24T21:01:31Z,0,https://youtu.be/JkzkrPnOp4w. SQL INTERVIEW,True
@deepikaverma6723,2022-03-07T08:43:25Z,0,Cant see  the screen properly..,True
@saritaxsingh,2022-02-03T17:53:25Z,0,Thank you,True
@rambalaji3623,2022-01-16T09:31:04Z,0,He is a gem,True
@siddharthupadhyay4246,2022-01-10T14:52:52Z,8,"Interview starts at 9:30, theory discussion until 9:30",True
@truptpatel2597,2021-12-21T03:24:57Z,0,cross join diagram in Join introduction slide is incorrect.  Though very good video.,True
@soorajkrishnakumar4763,2021-12-10T05:09:57Z,0,"Hello Sir, The video was great. But, I have a doubt in the last Facebook question where the date column comes in. What if I write the query like this: SELECT AVG(wifi_speed), wifi_id, date FROM wifi_details GROUP BY wifi_id ORDER BY date DESC LIMIT 2; Is my query wrong?",True
@riteshtripathi8626,2021-12-01T10:27:01Z,0,"I had forgotten I had been watching this video at 1.75x and I was terrified the way and the speed Satyajit had been answering, it made me feel like a noob 😢",True
@penugondasaichand692,2021-10-05T11:56:47Z,0,group by dt not by wifi_id maybe,True
@prakashkafle454,2021-09-25T18:26:20Z,0,In which case which type of join is use??,True
@tipstricks9217,2021-08-17T18:21:23Z,8,"Please change the answer of 4th question(Find the 3rd to 6th character of a column). It should be ""SELECT SUBSTR(credit_card_no,3,3) FROM credit_card_detals;"" as it is asking till 6th character not the 6 character in substring.",True
@vimalmishra1817,2021-07-13T17:25:58Z,0,"bhai isse aati hi nahi sql, khn s utha late ho",True
@niteshagarwal,2021-07-06T13:43:44Z,0,Hi please let me know if there is a possibility of having 1:1 session with you,True
@hygienickhana6468,2021-07-03T07:31:46Z,0,"Hi, i want to do a certification in data science with job.. there are upgrad IIITB pg for data science, certificate from XLRI Xavier's, PG for DS and BA from great lakes, from Jigsaw academy... Can you please put some light on the importance of these certifications.",True
@a.b.5071,2021-07-01T09:42:51Z,0,Hey! I've Masters in Humanities but sitting jobless since the pandemic. Now I'm keen to learn some new future proof skills and get employed. Am I able to get a job by the completion of this course or how will I be getting hired? I really have no idea and no one to ask to. Also not much fond of Mathematics! Wish I could talk a real data analyst! Aha! Idk what to do with life at this point of time!,True
@pmsiddu,2021-06-26T01:01:40Z,2,"Krish, this videos is fastforwading with 16x, like rapid fire round. It would have been good if he had taken some time to explain slowly and clearly. Albeit, appreciate the effort.",True
@rajulapatiteja6663,2021-06-25T15:26:31Z,0,"3rd question we will do like this Select stuff(emp_name, 5,4,'*') from employees",True
@niranjanjamkhande3773,2021-06-25T09:08:16Z,12,Pls make extra videos on sql in your playlist.,True
@masthanjinostra2981,2021-06-25T09:01:29Z,0,Who is teacher in the video???,True
@amazeme2885,2021-06-25T09:01:06Z,4,Worthy 30 mins session... Thanks bro ... Keep posting such videos,True
@joachimjover3907,2021-06-25T08:23:00Z,6,I love videos like this. Very helpful! Hope you can make more SQL vids and maybe even one for Excel skills assessment for Data Analytics. :),True
@Yaditya191,2021-06-25T07:22:32Z,0,Thank you sir❤️,True
@shubhamchoudhary5461,2021-06-25T07:06:43Z,0,very good teaching..your videos motivates me.. ❤️,True
@mohitjaiswal3865,2021-06-25T07:05:30Z,4,"the last question can also be simplified if we run a windows function sort it by date and partition it by wifi id  and then take the avg as such select avg(wifi_speed) over(partition by wifi_id order by dt rows between 2  preceding and current row), wifi_id ,dt from table_name group by 2,3 order by 3 desc",True
@rameshroshan8934,2021-06-25T06:05:35Z,1,"krish please create a intermediate sql playlist  as to be honest even one one query  not used , I mean covering all basics  initial 1-2 you can  make it all in 10 vedios also giving atleast  glimpse stored procedurs execution 10 queries one shot , some common  comolez queries  asked interviews as world again movs sql approach hive etc, we will be really grateful bro one concept interview q or application of that comcept same query and also complex one as it will just combine few simple tasks like asked VISA etc as per above vedio. sql is asked in almost all interviews",True
@satya5297,2021-06-25T05:28:20Z,0,"Hi Krish, could you please ..make a playlist for all transfer learning techniques in deep learning",True
@shantonuchowdhury2169,2021-06-25T05:20:03Z,0,Thank you sir... ❤️,True
@aipositive9987,2021-06-25T04:12:45Z,7,@Krish How do you predict that what we want to learn? yesterday I was searching some best SQL resources for my upcoming interview. And today you are going to upload SQL Q&A video. I think you are better visionary.,True
