author,updated_at,like_count,text,public
@krishnaik06,2021-04-05T10:38:12Z,61,"Guys at 3:34 just a small update The p-value is not interpreted as a probability that the null hypothesis is true.   It is the probability of observing a value of the test statistic that is as or more extreme than what was observed in the sample, assuming the null hypothesis is true. Dont Forget to subscribe my vlogging channel to see more motivational videos. Happy Learning!! https://www.youtube.com/watch?v=H9Db7ADfcXI",True
@kajolbrahma1026,2024-05-02T14:09:35Z,0,"Thank you so much sir . After watching this video I got clear about "" P value "" concept and really this is the best video I ever watched. You demonstrated it well sir .",True
@shakibaamirshahi8721,2024-04-22T18:40:19Z,0,The best explanation that I have ever seen for the P-value. Thanks for your useful video!,True
@arlinkinpark6769,2024-03-20T09:36:02Z,0,I am a doctor...and i bet very few medico knows about p value concept like you explained..we also need p value in biostats,True
@Alishayadav-fc6ev,2024-03-06T09:31:14Z,0,06/03/2024 great information sir!,True
@nandinimishra3632,2024-03-05T05:02:42Z,0,Please make a video on the Mann Kendall test...,True
@user-ss2ih7hh4q,2024-02-12T12:21:10Z,0,"Thank you brother.Excellent explanation ,writing doesn’t matter",True
@peer3142,2024-02-11T09:14:20Z,0,Best 😍,True
@minakshiboruahnitmz,2024-02-06T13:31:05Z,0,H0 means fair coin but the p is probabilty of head difference in the defn.,True
@keerthansimhachowdary9804,2024-02-05T20:03:39Z,0,"I'm confused like why you performed 2 times, i.e. 60,67. I understood that 67 lies in tail region, but before why 60 was taken?.Anyone, please explain",True
@AjitKumar-vm8xr,2024-02-04T09:46:04Z,0,Null hypothesis definition is wrong  It is getting same result if null hypothesis is true conditional probability is there,True
@tirupatimangalpelli5345,2024-01-18T06:37:22Z,0,u really explained in simple way,True
@user-tw7yu7wy6u,2024-01-02T06:36:36Z,0,"Krish ji, Understood the concepts, but not able to connect this example to the thing that we do hypothesis testing in sample to understand population behaviour.... pls someone clarify",True
@Mee12394,2023-12-23T20:01:07Z,0,Finally understood p value 2 months before neetpg,True
@benardkiplimo3508,2023-12-17T02:02:47Z,0,Thank you!,True
@Dr._NextDoor,2023-12-10T20:28:46Z,0,Thank Youuuu! 🥲💙,True
@user-cc2rt9by2r,2023-11-03T01:38:03Z,0,The absolute best explanation I have ever heard!!,True
@mecidelhasan9398,2023-10-30T20:12:30Z,1,"in one word ,amazing",True
@videojonkie,2023-10-27T08:54:52Z,0,Please check the concepts ---- I dont think definition of P Value is correct...will request the audience to cross check with other reliable sources,True
@deekshashetty4611,2023-08-17T07:46:09Z,0,Thank you  for the good explanation,True
@sandhyaranisahoo933,2023-08-08T11:06:19Z,0,Nice video Sir,True
@arpanapathak6978,2023-07-29T06:24:25Z,0,Thanks for this video. Fairly easy to understand  and very relevant analogy.,True
@drpkgupta4469,2023-07-02T19:34:43Z,0,Thank u so much sir  .very nice explanation sir .,True
@dollysiharath4205,2023-06-15T15:39:31Z,0,You're an excellent instructor.  Thank you for teaching.,True
@christophersujoy8470,2023-05-31T15:27:24Z,0,Sir you made this topic much more simpler and easily understandable.🙏🏻🙏🏻🙏🏻,True
@antijihadi4139,2023-05-19T16:43:07Z,0,Very bad teacher ur,True
@manikantareddy1830,2023-05-05T00:57:55Z,0,"Sir, can you please explain this “if the CI for the mean difference contains 0 within the interval -- i.e., if the lower boundary of the CI is a negative number and the upper boundary of the CI is a positive number -- the results are not significant at the chosen significance level”  Thank you",True
@funtuber9155,2023-04-18T06:32:16Z,0,"Thank you so much, but just to share I slept like 8 times and each time i rewinded from 7:10",True
@kylesnodgrass1,2023-03-11T12:09:23Z,1,"Finally a video that explained what is happening. I managed to work out a definition from summarising your video.... thank you.  95% of all results will be average. However, 5% or less would be classified as extraordinary. Therefore, if your experiment gave results which are 5% or less than likely to occur on average, the independent variable you have manipulated is significant, because it changed the results from average to extraordinary.",True
@bestofbest258,2023-03-04T20:05:09Z,7,"Understanding p-value took so much time since other posts and videos don't involve animation of distributions in their explanations. I will say this is the greatest explanation one can ask for. Thank you so much, Krish!",True
@MirGlobalAcademy,2023-02-02T17:13:49Z,1,Nice,True
@sagarparab6973,2023-01-29T11:27:08Z,0,meanse between the confidence interval,True
@dstan16224,2023-01-26T05:28:21Z,0,Thank you very much for this explanation! The graphical representation made it finally easy to understand it.,True
@chillvibes1896,2023-01-13T10:53:26Z,0,Well explained,True
@mustanganiruddh2745,2023-01-11T13:18:24Z,0,OH god that was so easy ? thank you bhai,True
@Simran_Warraich_,2022-12-13T05:52:28Z,0,awesome explanation,True
