author,updated_at,like_count,text,public
@allaabdella4794,2020-02-06T14:46:34Z,0,"Hi Krish, I'm new to your channel. I have a question. What's the best why of feeding relational multiple tabels - dataset to a machine learning model? Thank you",True
@harikaans,2020-02-04T12:13:17Z,1,"Hello sir, I completed MSc. statistics. What should I do to become a data analyst?",True
@rohanebenezer9896,2020-02-03T05:08:13Z,1,Sir please create  a video about GUI for movie recommender system content and collab,True
@tejasgosavi7395,2020-02-02T20:23:37Z,1,sir can you make a video on tensorflow-gpu installation,True
@as-uu6yo,2020-02-02T19:44:28Z,1,Just upload videos in Hindi sir.i am mostly facing prob. In decoding and understanding ur  valuable knowlege.,True
@karantekwani4503,2020-02-02T18:47:05Z,1,"Hello krish, can you review about cloudxlab machine learning course offered by iit roorkee...",True
@imrans.m6788,2020-02-02T17:57:11Z,1,12:05 yes,True
@kunaldash893,2020-02-02T17:46:42Z,1,Hello Krish. Can you please discuss about the business applications of stream mining and process mining? and automated machine learning?,True
@kashif-ghafoor,2020-02-02T16:53:55Z,2,"Dear sir, I decided to start data science career. I am the student of BS(cs) 2nd semester. Sir I want a road map or step by step procedures that I can make a long term plan based on that procedure. Can you please make a video on it",True
@VideoGraphy,2020-02-02T16:36:21Z,2,"I am Mechanical Engineer, last two month I learned data science, now I don't knów how to approach and getting job please give clearance, every video I posted a message but not reply from your side",True
@shalininaidu661,2020-02-02T16:31:06Z,1,Is it possible to get one to one guidance on Data science resume clarifications as i am having total 7 years exp but no no project experience in Data science,True
@gayathridevi7133,2020-02-02T16:30:00Z,2,Hello,True
