author,updated_at,like_count,text,public
@talkingbirb2808,2024-05-26T14:53:17Z,0,"you dropped all correlated columns.... So, instead of dropping one of two correlated columns you drop both of them...",True
@miteshrajpurohit9033,2024-05-22T09:37:53Z,0,"could you please make a video on "" how auto encoder can be used to extract importance feature "" ?",True
@youcefyahiaoui1465,2024-05-16T02:57:18Z,0,You did not get into what's the role of x_test?  Can you please expand on what you do with it?,True
@youcefyahiaoui1465,2024-05-16T02:10:30Z,0,"Great tutorial, but I think you're mistaken about the abs().  You're actually considering both with abs().  If you remove abs() and you keep the > inequality then a 0.95 would be > Thresh=0.9, but -0.99 would not satisfy this condition!  If you want to remove abs(), then you need to test 2 conditions, like if corr_matrix.iloc[i,j] > +1*thesh (assuming thres is always +ve) and corr_matrix.iloc[i,j]<-1*thresh then....",True
@meshmeso,2024-04-29T07:56:44Z,0,"These are on numeric features, what of correlation between categorical features ?",True
@sivadevil4845,2024-04-23T17:32:36Z,0,"Hi @krish naik, i want to know how much data cleaning and models selection and models performance and how we can do that. I hope u will explain if u find this comment.",True
@nahidzeinali1991,2024-03-10T19:00:23Z,0,Thanks so much! very useful. you are so good,True
@suhailsnmsnm5397,2024-03-05T16:51:46Z,0,amazing teaching skills you have bhaai ...  THNX,True
@nihar.rnihar.r2053,2024-02-26T12:28:27Z,0,"sir can you please say how do we use correlation on ""RNA"" dataset",True
@dinushachathuranga7657,2024-02-25T14:52:30Z,0,Thanks a lot for very clear explanation.❤,True
@channel-lk6xz,2023-12-14T06:58:05Z,0,Why not use columns but you are using feature name. Where is each one used based on.,True
@salihsartepe2614,2023-11-13T12:27:08Z,0,Thanks Krish 😊,True
@abebebelew2056,2023-09-20T15:54:49Z,0,Best!,True
@jannatunferdous103,2023-09-18T07:34:13Z,0,"Sir, what you've shown in the last of this video, in that big data project, after deleting those 193 features, how I can deploy the model? Please share a video (or link if you have in your playlist) the deployment phase after deleting features. Thanks.  ❤",True
@rmrz2225,2023-07-27T22:52:01Z,0,"Hi, sorry for my question, but why is he dropping the features most correlated, it shouldnt keep those features and drop loss correlated features?",True
@user-fb3dp4bz8v,2023-07-21T06:35:31Z,0,again I wish if you explain how to handle the test set...but the explination is excellent am really gratful,True
@user-zo5ky6dk4r,2023-07-19T20:53:35Z,0,Should small values of correlation such as -0.95 be deleted or they are good to train our model and they should stay in data frame?,True
@JenryLuis,2023-07-01T04:28:36Z,1,"Hi friend, I think the correlation function is removing more than expected because when the fors loops are iterating not validate if for a value > threshold the column and index already was removed before. I corrected the function and in this case the features removed are these: {'DIS', 'NOX', 'TAX'}. Also I tested creating the correlation matrix again and verify that there is not values > threshold. Please can you check it. def correlation(dataset, threshold):     col_corr = set()     corr_matrix = dataset.corr()     for i in range(len(corr_matrix.columns)):         for j in range(i):             if abs(corr_matrix.iloc[i, j]) > threshold:                 if (corr_matrix.columns[i] not in col_corr) and (corr_matrix.index.tolist()[j] not in col_corr):                     colname = corr_matrix.columns[i]                     col_corr.add(colname)     return col_corr",True
@thecitizen9747,2023-06-27T18:05:04Z,0,You are doing a great job but can u please do similar series on categorical features in a regression problem?,True
@abdelkaderkaouane1944,2023-06-14T22:43:47Z,0,"Why you do not test if the features have Normal distribution?  Pearson correlation assume the Normal distribution, otherwise we can't confirm the correlation",True
@cocgamingstar6990,2023-05-28T09:27:00Z,0,I think  while building the model this. Feature  selected were important but you drop them 😢,True
@elvykamunyokomanunebo1441,2023-03-25T21:50:57Z,0,"Thanks krish, You've earned a rocket point from me :)  Would have been nice, if the function also printed which feature it was strongly correlated with: because from the code you dropped all the features that met the threshold, not one was kept.",True
@lwasinamdilli,2023-03-16T09:54:26Z,0,How do you handle correlation for Categorical variables?,True
@sanketargade3685,2023-03-04T10:32:54Z,1,Why we are droping highly correlated feature after spliting train and test either it is easy to drop features from original data set and then we can simply split the dataset?❓😕🤔,True
@MominSaadAltafnab,2023-01-10T18:06:37Z,0,I didnt understood why we are just considering X_train for finding corr  you said to avoid overfitting we are doing that  but i am still not getting it like how it will be overfitted it we use all data  can someone pls tell me why we are doing that,True
@andyn6053,2022-12-19T14:33:38Z,8,"In which order should u do the feature selection steps?  0. Clean the dataset, get rid of NaN and junk values. Check format for datatypes in testset etc  1. Use z-method to eliminate outliers   2. Normalize the train_X data  3. Check correlation between x_train variables and y_train. Drop variables that have a low correlation with the target variable.  4. Use pearsons correlation test to drop highly correlated variables from x_test   5. Use variance threshold method to drop x_train variables with low variance.   All variables that have been removed from the x_train data should be removed from the x_test aswell.  6. Fit x_train and y_ train to a classification model  7. Predict y(x_test)  8. Compare the predicted y(x_test) output with y_test to calculate accuracy  9. Try different classification models and see which one performs the best (have the highest accuracy)  Is this the right order?  Have I missed something?",True
@saivardhanreddy6698,2022-11-20T15:13:58Z,0,"Why can't you perfrom correlation on entire dataset , I mean df rather than performing it on X_train",True
@World_Exploror,2022-11-20T15:05:29Z,0,Can we drop features while comparing correlation of dependent variable with independent variables by taking some threshold....!,True
@World_Exploror,2022-11-20T15:03:15Z,0,Multi collinearity has checked but what about the Correlation  of dependent vs independent variables,True
@TejusVignesh,2022-11-09T16:15:29Z,0,You are a legend!!🤘🤘,True
@doggydoggy578,2022-10-10T17:19:22Z,1,Hello can I ask a question ? Is Pearson Correlation the same as Correlation-based  Feature Selection ?,True
@suhailabessa9901,2022-09-29T11:44:39Z,0,"thank you sOOo much , perfect explaining :) good luck with your channel that is recomended",True
@nkechiesomonu8764,2022-09-08T07:27:18Z,0,Thanks sir for the good job you have been doing . God bless you. Please sir my question is can we use correlation on image data. Thanks,True
@pankajkumarbarman765,2022-09-01T08:19:51Z,0,Very helpful . Thank you sir.,True
@Eric-bq1jo,2022-08-07T08:17:23Z,0,Is there any way to apply this approach to a classification problem where the target variable is 1 or 0?,True
@SachinModi9,2022-08-04T05:22:03Z,0,If absolute is not used then threshold can not be 0.85. If any features are highly co-related negatively like -0.85   Still it wont qualify for the drop. Hence Absolute is necessary.,True
@kjrimer,2022-08-03T18:33:05Z,1,"Hello nice video, how to do feature selection if we have more than one target variable? i.e. In case of MultiOutput Regression problem how we can do feature selection. do we have to perform the pearson correlation individually on each of target variable or is there another convenient way that can solve the problem?",True
@drshahidqamar,2022-07-13T17:12:27Z,0,"LOL,  you are jsut amazing Boss",True
@marcastro8052,2022-07-08T06:38:38Z,0,"Thanks, Sir.",True
@neelammishra5622,2022-07-07T22:14:12Z,0,Your knowledge is really invaluable. Thanks,True
@arunkrishna1036,2022-07-06T05:26:41Z,0,Hi Krish.. how about using an VIF to find the correlated features?,True
@clintpaul6653,2022-06-22T15:30:21Z,0,"Bro i ഗെറ്റ് error after the line.. Corr_features=correlation (X_train, 0.8) ### the error is 'dataframe' object has no attribute",True
@nmuralikrishna4599,2022-06-21T05:57:40Z,0,General Question - What if we drop few of the import features from and data and train again ? Will the accuracy drop ? or precision ?,True
@killerdrama5521,2022-06-15T09:54:24Z,0,What if we have some features numerical and some features are categorical against categorical output .. which feature section method will be helpful,True
@asha4545,2022-06-15T09:45:02Z,0,"Hello Sir  my dataset contains 17000 features, when I execute corr() its taking more than 5 minutes to execute and also for generating heatmap memory related error generating. Can you help to solve the issue?",True
@athulsuresh736,2022-05-09T16:12:54Z,1,"You shouldn't remove abs, u should consider the negative correlation as well. Also u have to check its correlation with the target to decide which feature to be removed. Please pull down this video or correct it or else people will study wrong things.",True
@niveditawagh8171,2022-05-09T11:16:39Z,0,Nice explanation.,True
@ajaykushwaha-je6mw,2022-04-29T06:08:36Z,0,Hi everyone i need one help. this technique to select numerical features only. Suppose we have done one hot encoding on categorigal data and converted into numerical then can we apply this technique on that features as well(entire data set with numerical column and categorical column converted into numerical with some encoding technique.)  Kindly help me to understand.,True
@gabrielegbenya7479,2022-04-26T18:53:04Z,0,great video.  very informative and educative. Thank you,True
@erneelgupta,2022-04-15T16:12:51Z,0,"what is the importance of random_state in train_test split ? How the values of random_state (0,42,100 etc.) affect the estiamation???",True
@moizk8223,2022-04-12T09:57:10Z,1,I have a doubt. Suppose if A and B have correlation greater than threshhold and the loop includes column A from the pair. Further B and C are highly correlated(although C is not highly correlated with A)and the loop includes B in the list. Now if we drop A and B wouldn't that affect the model as both A and B will be dropped?,True
@vorems3910,2022-04-04T10:19:05Z,0,hey! if possible can you share the link to the source code!!,True
@siddharthjain4361,2022-03-13T04:34:18Z,0,negative correlated varibales kyon hata diye bhai ne??,True
@nurnasuhamohddaud728,2022-02-28T07:40:22Z,1,Very comprehensive explanation for someone from non AI background. Thanks Sir keep up the good work!,True
@hirakaimkhani3338,2022-02-24T21:05:59Z,0,wonderful tutorial sir!!,True
@rafibasha4145,2022-02-20T01:13:38Z,0,"Hi Krish,how to check in case of categorical variables",True
@md.younusahamed4969,2022-01-22T23:17:47Z,0,Where did the MEDV come from?,True
@perumalelancgoan9839,2022-01-16T09:45:15Z,0,please clear it the below if any independent variables are highly corelated we shouldn't remove them right because its give very positive outcome,True
@niklausmikealson3115,2022-01-09T17:46:27Z,0,Can't we find correlation for categorical columns?,True
@MrCaglar1993,2021-12-15T20:09:09Z,0,"How many ""particular"" or ""particularly"" says these indian guys, just a world record..",True
@josephmart7528,2021-11-27T03:53:39Z,0,"The abs takes care of both positive and negative numbers. If not specified, the function will only take care o positively correlated features",True
@StanleySI,2021-11-24T15:40:03Z,0,"Hi sir, there's an obvious flaw in this approach. You can't drop all correlated features, but only some of them. e.g. perimeter_mean & area_se are highly correlated (0.986507), and they both appear in your corr_features. However,  you can't drop all of them because from pairplot, you could see perimeter_mean has a clear impact on the test result.",True
@waytolegacy,2021-11-23T12:16:46Z,81,"I think instead of dropping ""either of"" 2 highly correlated features, we should check from both of them how each of them correlates with the target as well and then drop the less correlated with the target variable. Which might increase some accuracy instead of considering dropping whichever comes first. Again, I think it is.",True
@abhishekd1012,2021-11-16T06:43:37Z,2,"In this video it's said negatively correlated features are both imp. lets take an example, when we have both percentage and ranks in a dataset, for 100% we have 1 in rank and 60% lets say 45(last) in rank. both resemble the same importance in the dataset. So what I think is we can remove one feature among those 2 features, otherwise we will be giving double weightage for that particular feature. Hope someone can correct this if I was wrong.",True
@antoniodefalco6179,2021-11-14T20:19:52Z,0,"thank you, so usefull, good teacher",True
@nishadseeraj7034,2021-11-12T12:03:22Z,0,"Can someone explain how the 2nd for loop is working? I am not getting it. For instance ""for j in range(i)"", wouldn't that give an error when i=0 for the first iteration of the first for loop when i=0, unless I am missing something?",True
@SuperNayaab,2021-11-05T18:58:36Z,0,watching this video from Boston (BU Student <3),True
@laxmanbisht2638,2021-11-01T05:46:34Z,3,"Hi, thanks for the lecture. What if we have a dataset in which categorical and numeric features are present. Will pearson's correlation be applicable?",True
@rahuldevnath14792,2021-10-01T14:58:54Z,0,"Krish, can we not use VIF for collinearity?",True
@shivarajnavalba5042,2021-09-17T18:28:40Z,0,"Thank you Krish,",True
@JithendraKumarumadisingu,2021-09-12T17:57:41Z,0,Great tutorial it helps a lot thanks @Krish Sir,True
