author,updated_at,like_count,text,public
@mohitmehndiratta5576,2024-02-10T10:33:59Z,0,Good work 👍🏻 keep contributing with such guidance 😊,True
@himanshupandey1737,2024-02-07T06:47:13Z,0,May I get your contact number sir,True
@VinodB1311,2024-02-05T11:01:03Z,0,Yes Krish we are liking this kind of videos,True
@LeePenkman,2024-02-05T03:55:12Z,0,"Nice vid, Small not that even though midjourney is small startup they are definately type 1 trying to make the best AI possible. I can tell because I'm their competitor, I'm running a cheaper alternative ebank nz based on stable diffusion",True
@marufnthewindows8254,2024-02-05T01:15:57Z,0,Amazing sir,True
@AKSHAYMISHRA-rc2gr,2024-02-04T20:05:10Z,0,really informational video,True
@mdfarooque7646,2024-02-04T17:00:58Z,0,❤,True
@AbhishekYadav-hv9wv,2024-02-04T16:36:58Z,0,We need more such morning videos sir❤❤,True
@baibhavghimire3827,2024-02-04T14:43:32Z,1,This is exactly what I thought. Amazon bedrock gonna be huge guys !,True
@azharafridi9619,2024-02-04T14:39:53Z,1,It was really good and full of information❤❤. I'm thrilled to hear much more sir ❤,True
@aarizmobin4487,2024-02-04T13:47:27Z,1,please make this kind of morning video...,True
@Abdulqayyum-rg1cn,2024-02-04T13:45:07Z,1,Hello Krish I appreciate the information. Would you kindly create a video explaining the distinctions between generative AI and AI? What are the job paths for AI and generative AI? Could you please let us know about the technology roadmaps and the amount of time we have to apply for jobs based on these technologies?,True
@aarizmobin4487,2024-02-04T13:30:48Z,1,very nice Krish sir,True
@PawanMusing,2024-02-04T13:14:29Z,1,You did an amazing video. It's like a quick overview of current LLM and their future functionality. Really insightful. Keep doing these kinds of videos.your efforts are really commendable.,True
@RahulPrajapati-jg4dg,2024-02-04T12:27:22Z,1,"Hi Krish sir it’s good thoughts, can you please add some LLD design videos with respect to machine leaning deep learning and NLP and LLM end end project which help to easy to reused easy to extendable that helps a lot, thank you for this amazing videos",True
@sairam-nf3pj,2024-02-04T12:14:52Z,1,Thank you so much more videos,True
@ramaraopasumarthi564,2024-02-04T12:14:08Z,1,Sir Do videos on MLops,True
@sajayanyoutub,2024-02-04T11:56:21Z,1,what is chatgpt input data,True
@aparajitlalkumartj,2024-02-04T10:42:27Z,1,Brilliant. ❤,True
@towet-dan,2024-02-04T10:32:08Z,1,A very interesting insight.,True
@Desk_to_Fit,2024-02-04T10:25:35Z,1,Thank you krish!,True
@AIInfo-bo4ig,2024-02-04T09:36:04Z,0,https://youtu.be/X7vyazy3RhQ?si=52nZL_RhHMlUd0Wu,True
