author,updated_at,like_count,text,public
@qaziamir-bd1lr,2023-11-27T01:37:13Z,0,bruh why is Justin Gaethje teaching me coding,True
@Techbin-yn6wr,2023-08-05T02:51:01Z,1,"14:28 Correction: ""to map input to output""",True
@2596mr,2023-05-12T22:42:48Z,0,Can someone explain what he means by flattening it before hand? at 13:50 i didn't get it.. Like what does he mean before feeding into the neural network. I thought all the steps are part of the network.,True
@samimuzzamil7267,2023-01-31T10:17:10Z,0,"In order to avoid the black dots(missing pixels ), just remove relu from last layer of the decoder. It worked for me,",True
@mohamadavatefi7603,2022-12-25T09:12:07Z,0,Guys what IDE is this cuz im working with pycharm and i cant do anything,True
@GeorgeZoto,2022-12-22T23:35:52Z,0,"Awesome content, thank you for sharing it your way 😃",True
@aryanirvaan,2022-10-25T13:54:44Z,0,Can you attach the code for CNN based Autoencoder too? I am stuck on an error which I am unable to identify.,True
@jensklausen2449,2022-09-22T19:44:59Z,0,"I wonder whether one can construct an artificial visual center using an autoencoder.   Then feed the decoder electronic noise with a component of quantum event randomness and watch it create visuals, with some sort of meaning, related to the thoughts and current life situation of the spectators of the created images.  In a statistical significant way?",True
@ayushnayak6138,2022-08-24T14:02:14Z,0,Is it possible to overfit till 100 percent accuracy. If we achieve that we can use it for video compression.,True
@iantimmons3342,2022-08-09T04:52:30Z,0,"Well done!  For the visualization, you need to use the squeeze() function in Colab  ae_out = autoencoder.predict([ X_test[0].reshape(-1, 28, 28, 1) ]) img = ae_out[0]  # predict is done on a vector, and returns a vector, even if its just 1 element, so we still need to grab the 0th plt.imshow(tf.squeeze(ae_out[0]), cmap=""gray"")",True
@killer-whale864,2022-07-07T06:25:28Z,0,It's actually amazing to see a tutorial maker making mistakes. That way you can learn what errors you might encounter and how to tackle them. Never thought of it that way.,True
@mehdihazrati7731,2022-05-04T19:04:38Z,0,Thank you for preparing this video. But I suggest you edit your videos before publishing.,True
@alabaccar2179,2022-04-16T14:33:37Z,0,Is it possible to use a raw dataset as input in this example??,True
@kolokolo2365,2022-04-07T00:58:02Z,0,that was cool !,True
@kevinshen3221,2022-04-01T23:45:15Z,0,jaw droped when you add noise to the image. this is amazing,True
@alexzan1858,2022-02-13T23:53:15Z,0,27:00 you can avoid this kind of error in notebook by doing safer renaming e.g. x_train_rgb = x_train / 255.0,True
@bhavinmoriya9216,2022-02-12T15:36:17Z,0,Awesome video! Could you please upload some video on transformer that you were talking about? Thank you very much.,True
@sripranav,2022-02-06T14:18:12Z,0,"I'm kinda lost, now how do i seperate encoder and decoder. After training the autoencoder, the encoder and decoder doesn't seem to carry those weights and not working well. Can anyone tell the correct way to do this i don't know?",True
@kdocki,2022-02-04T19:27:51Z,0,"lol.... man, I loved this!",True
@busterdafydd3096,2022-01-23T00:49:53Z,0,"22:59... I do enjoy sentdex, but you can obviously see ""fake it until you make it""  in action, he is probably copying from either some tutorial someone else made or something he bashed together but knew he wouldn't been able to explain properly.  Learn your stuff, so we can learn, instead wasting out time!",True
@manthanpatil6410,2021-11-18T16:00:46Z,0,its kinda cool but we can actually compess the data in a single value as it has 255 possible values and there are only 9 classes tho it would need slightly bigger network also love your videos.  Edit: probably then you can explore the latent space like manual change the single encoded value to see the network generate numbers on itself.,True
@dannyisrael,2021-11-12T07:53:21Z,0,"eeehhh, thank you :)",True
@tellmebaby183,2021-11-06T05:11:20Z,0,i like yo hair cut,True
@nwlk9262,2021-10-12T07:18:05Z,0,Can you please share the notebook file ? Thanks a lot,True
@hackercop,2021-10-07T16:55:52Z,0,This was sooo fun thanks!,True
@hackercop,2021-10-07T16:13:39Z,1,7:22 its because x_train is a numpy array and /= isn't supported with numpy (it is supported with regular python btw).,True
@NomanMustafascientist,2021-08-10T04:44:34Z,0,can you make a tutorial on anomaly detection in imae using auto encoder?,True
@DarkRedman31,2021-07-02T19:03:16Z,0,27:11 Technically it was done twice on x_train but once on x_test,True
@CristianGarcia,2021-06-23T03:53:14Z,0,It was very frustrating spotting the double division by 255 error and not being able to do anything about it... this is why notebooks are so fragile.,True
@bilalahmed9705,2021-06-18T21:46:48Z,0,"sir after autoencoder, how can i used genetic algorithm technique for selecting best feature subset?",True
@muhdfarkhan5511,2021-05-31T09:31:03Z,0,what is the software that you're using to run this autencoder ?,True
@nawapansuntorachai6297,2021-05-29T20:16:49Z,0,"wow, this is super cool!",True
@yashpathak9285,2021-05-21T17:04:01Z,0,I know it's weird but everytime I watch his video I want to get high AF.,True
@raghulkannan6881,2021-05-17T06:13:13Z,0,"How do I use decoder only? Let's say i plug in encoder output to it, and will be expecting it to give decoded results. If someone can help me out it'd be great.",True
@Zoronoa01,2021-05-15T02:58:13Z,0,Thanks for the high quality content!!!,True
@chiragmalaviya2430,2021-05-09T06:42:07Z,0,Always fascinating 😁😁,True
@pw7225,2021-05-02T14:16:44Z,0,Thank you @sentdex,True
@aquienleimporta9096,2021-04-26T16:27:58Z,0,what does it means when someone write for example Flatten(something)(encoder_input) what is the purpose of the right parenthesis  part?,True
@1000nateriver,2021-04-22T17:27:26Z,0,Can you create a vid about VGAE? Would be cool!,True
@julianray6802,2021-04-21T13:00:36Z,0,"Crazy magic, Sentdex is a magician!",True
@Joshov_ShovichoV,2021-04-20T12:18:04Z,0,AH! 8192 I recognize that number:),True
@CaptJeanPicard,2021-04-18T10:32:12Z,0,Thanks for this Video. I would love to see more of these where you explain concepts like autoencoders and transformers visually. Really helpful.,True
@Kaltotun,2021-04-15T07:30:45Z,0,"Thank you so much ! I was ready to abandon MIT 6S191 because of the autoencoder lesson, but you made it clear and (almost) simple. Now we human, go from the 384 features images to...1 (a digit). Can a NN discover the concept of a digit by itself ? Maybe not [0..9] but an array of numbers ? Thanks for your great book and your videos",True
@mohammednasir7993,2021-04-11T13:02:21Z,1,"Another awesome aspect of autoencoders is,  if you take the decoder part and give it a vector of size that matches it's input, you now have a generative model which is called variational autoencoders  that you can use to generate images  just like GANs.",True
@ArunKumar-fv6uw,2021-04-11T10:07:18Z,0,"Hi sentdex,      Your videos are excellent.. Appreciate your hard work and time to prepare such wonderful contents..",True
@abhishekshinde9209,2021-04-09T16:02:24Z,0,grow your hair man it really looks bad. you looked good in videos of nltk,True
@sumitrodrigues1988,2021-04-06T06:50:27Z,0,How do you play gta in windowed mode? Please help 🙏,True
@patrickb.5761,2021-04-05T14:11:49Z,0,a video about variational autoencoders would be nice!,True
@pvtsec,2021-04-01T11:57:14Z,0,"What is going on everybody Welcome to funeral of Sentdex. Its been long time man, are you alive?",True
@grzegorzkozinski2308,2021-03-30T13:39:41Z,0,"I am wondering if in convolutional eutoencoders shouldn't you use Conv2DTranspose layers, instead of Conv2D? maybe that is the reason for error?",True
@rpraver1,2021-03-28T01:45:30Z,0,Try example using code from Book - Ch22_Final.py,True
