author,updated_at,like_count,text,public
@shadabhussainkhan1512,2022-12-26T21:33:31Z,0,Knowledge +  Smartness.....!!Amazing.....,True
@keshavssit2214,2022-03-11T15:25:00Z,0,Sir please explain the classification using  Googlenet pretrained network with an example of 200*200*1 image,True
@chessfreak8813,2021-10-15T07:33:16Z,0,Perfectly amazing video Krish!!!! You have been THE guide in my journey. Just a little problem with this particular website that you showed I created mywebcam and i trained a bottle image in 2nd webcam so trained the model. But if suppose I show mobile instead of the bottle then also it shows 100% for bottle. So if I dont show myself in the webcam then bound to show the bottle 100% is that it? please clear this doubt for me if you see this comment.   Thank you in advance! God bless you!,True
@thepresistence5935,2021-08-21T10:25:53Z,0,"what and information, thankyou so much for telling this, it was super usefull.",True
@mandarelectro8296,2021-08-08T16:36:48Z,0,"wonderful video, wonderful video, wonderful video...............infinity",True
@apicasharma2499,2021-07-09T21:29:37Z,0,can this approach be used in time series models to determine the weights of factor loadings?,True
@prakashkafle454,2021-03-02T15:27:18Z,0,is this  can be sued  in other task like classification ?,True
@zulfiqarali-zq1rg,2021-02-05T17:21:48Z,0,amazing sir,True
@harshmankodiya9397,2021-01-23T17:19:29Z,0,Salute~~,True
@rajeshn2536,2020-08-25T20:19:34Z,0,Thanks a lot for sharing your knowledge,True
@vineetkumar8876,2020-08-23T02:14:17Z,0,CAN YOU SEND ME CONTACT NUMBER,True
@theotherside5851,2020-08-18T19:22:39Z,1,Amazing,True
@nikhilgupta4859,2020-06-30T04:18:11Z,0,This music is awesome...From where you got this?,True
@RAZZKIRAN,2020-06-18T10:48:38Z,0,"teachablemachine  , can i use for text ? or it only for image?",True
@dushyantsingh4278,2020-06-16T13:21:28Z,0,Great,True
@Kersssz,2020-06-12T19:10:04Z,0,Well explained.,True
@jyotianand1286,2020-06-11T21:16:02Z,3,Just wanted to say thankyou to freely sharing information with us in easy and understandable way. You are opening doors for so many people!!  God bless you and I am your fan!,True
@technicaltrainings6429,2020-05-30T13:19:07Z,0,Amazing just Amazing sir...............all videos and explanations ......cool this 2 things are killer thankyou watching your all playlist slowly  gaining selfeducation,True
@shashankvats7611,2020-05-23T09:33:25Z,0,"Hey krish, as visible from the .h5 file, multiple resnets have been used in the  code.. can you help me understand how to use multiple resnets while developing an object detection code. That would be really helpful.",True
@techshark7194,2020-05-15T18:46:49Z,0,This is just amazing!!!! Thanks a lot Krish ! keep uploading these amazing stuffs in a regular basis.,True
@OrionEx88,2020-05-15T05:32:49Z,0,"Awesome idea !!! But in stead of typing all those parameters again, can we load the model and use it? I just tried, but it keeps returning model was not compiled. Therefore, the model was not usable. Please advise?",True
@ponrajs5396,2020-05-14T06:07:58Z,1,Does Google train model everyday for image search. Or they using this technic in somewhere else.,True
@dheerendrasinghbhadauria9798,2020-05-14T04:52:22Z,1,"In India , no research happens during masters or PhD degrees . Masters or PhD degree in india is not of much use . In such a case what should indian students do to become data scientist ??",True
@dheerendrasinghbhadauria9798,2020-05-14T04:48:48Z,1,Is Data Structure and Algorithms same for data science field and software developer field ?? Are OOPs & DSA  of software developer field important for data science field as well ??,True
@radhakrishnanrayaprolu,2020-05-14T02:39:36Z,0,thank you for the video,True
@amitbohra9283,2020-05-13T21:59:52Z,5,"But how to get knowledge like the researcher? I have done my BTech and I want to be independent researcher, what should I learn to get in depth knowledge of each layer of deep learning?",True
@nithishkannen8083,2020-05-13T18:35:10Z,0,Hats Off! Love your work!,True
@amitshete5731,2020-05-13T14:50:00Z,1,"sir,what is benefits from joining the projects live data science ?you teach projects?",True
@username42,2020-05-13T14:20:24Z,1,so how can i use teachable webpage if i have a tabular data set for classification such as famous iris flower data set ? not talking the images but the high dimensional tabular data set when i have hundreds of features?,True
@umairsaleem4345,2020-05-13T14:11:17Z,2,"Sir i am very depressed I am in my 2nd semester and want to make career in data science. But recently I heard about automl that makes the data science role automated.  Now I am greatly worried about the future of data science for next 10-20 years.  I will be graduate in 2023, should I learn data science and machine learning.  Sir please please 🙏🙏 reply",True
@premtejak,2020-05-13T12:09:21Z,1,"Yesterday,I sent mail to your gmail. I am waiting for your reply Krish.",True
@rajusrkr5444,2020-05-13T10:34:28Z,1,is this google product,True
@rituparnachawdhuri2025,2020-05-13T07:35:54Z,1,Hi I am avid follower of your work. Please suggest how a mid-level software person can switch to Data Science and ML with proper guiding. What learning path should be taken?,True
@mahaprasadm9770,2020-05-13T06:41:31Z,1,"Hey Krish, Am 17. Planning to do B.Sc in Data Science @Sri Sri University. Any suggestions?",True
@sankhabanerjee3533,2020-05-13T05:50:55Z,4,"Krish,you have shared a whole new dimension out of a neural network! Kudos💯..Hoping for more videos like this❤",True
@anshulbansal1994,2020-05-13T05:47:29Z,1,Great Content Sir. There is always something out of the box you come up with.,True
@VishalChauhan-yy6ql,2020-05-13T05:28:06Z,1,this one is superb,True
@iamgauravraturi,2020-05-13T05:27:35Z,1,Thanks sir... awesome explanation.🙏,True
@RinkiKumari-us4ej,2020-05-13T04:40:14Z,3,Please make a video on how to train our deep learning models without our own computational power,True
@RinkiKumari-us4ej,2020-05-13T04:39:28Z,2,Please make a video on how to train our deep learning models with internet and  without gpu and powerful cpu.,True
@avishkarshinde6298,2020-05-13T01:58:02Z,1,sir should we apply log transformation in case of classification problem to continuous variable . Also should we apply log transformation for discrete variable.,True
@prajwalparab2435,2020-05-12T23:24:47Z,2,Is there any free cloud?,True
@BiancaAguglia,2020-05-12T23:21:12Z,38,"What you said about reverse engineering makes perfect sense.  😊As you said, the main reason a Google (or FB, or Microsoft) model can beat most other models is that Google has more compute power. I've heard teachers from institutions like MIT, Stanford, etc saying that their PhD students couldn't win ML or DL competitions simply because the big companies had better compute power. Of course, there are always exceptions. Better architectures can create better models. All things being equal though, more powerful computers give better accuracy.    When you reverse engineer a very good model you get at least two benefits from that:    1. you get in your own application the great performance of that model    2. you understand more about ML and, who knows, you figure out ways to improve an already great model. 😊",True
@gauravraj7005,2020-05-12T21:43:19Z,2,Really amazing faculty in this field... Thank you so much sir from core of my heart 🙏,True
@warriorwarlord6706,2020-05-12T20:50:56Z,1,Good video. Kindly suggest an Udemy course for learning data structures in python for data science,True
@manujmehrotra2771,2020-05-12T20:08:14Z,1,"Thanks a lot, Sir !! Love the way that how openly you share the things !!",True
@sunnysavita9071,2020-05-12T19:37:04Z,2,thanku sir for this video i was looking for it.,True
@adityataksande5024,2020-05-12T19:09:12Z,1,Really helped me A lot  thanks sir. for your effort. Always giving best videos.,True
@jeyraj3075,2020-05-12T18:46:07Z,1,Awesome...,True
@rukshanthdevakumar9421,2020-05-12T18:17:15Z,1,Hi sir can you explain about weights and architecture of CNN,True
@neerajkhadilkar2329,2020-05-12T18:10:32Z,1,amazing content you deserve millions of subscribers,True
@unknownone3532,2020-05-12T17:57:20Z,2,lovely bro.....😍,True
@shaikrasool1316,2020-05-12T17:36:30Z,1,Krish.. how cnnd model deployed.. in real world.    Flask is used for this also.. If not only flask what are other options,True
@gaurvendrasingh4573,2020-05-12T17:34:19Z,1,Sir you are great. I can you plz tell us about tensorflow 2.0,True
@25kirtan,2020-05-12T17:32:53Z,1,Is this model architecture same for all times one visits the website or the architecture changes depending on the number of classes types of images etc?,True
@MutenRoshiUI,2020-05-12T17:31:08Z,1,"Hey Krish, How is the netron setup installation file different from netron present at pypi.org/project/netron?",True
@ygshkmr123,2020-05-12T17:24:03Z,1,Dil jit liya bhai,True
@mahakjain7754,2020-05-12T17:17:24Z,1,Wonderful sir you are doing great work for  people who really wants learn data science,True
@saurajchopade7430,2020-05-12T17:14:49Z,1,Now that what called googly things ... One question do you use tensorflow 1.x version . If you does how to tune hyperparameter in tensorflow 1.x,True
@Neo-pt6wl,2020-05-12T17:09:51Z,2,Can we decide which model architecture to use,True
@mlguru3089,2020-05-12T17:09:46Z,2,🔥🔥🔥🔥🔥,True
@deepakgowda89,2020-05-12T17:09:02Z,2,Thanks a lot!,True
@awaisniaz5300,2020-05-12T17:08:31Z,1,Hello Sir Is Hadoop  must to become a good data scientist or not.,True
@aravindraj2205,2020-05-12T16:52:54Z,2,One of the best video. Thanks krish for sharing this :),True
@DeepakMishra-uu2mb,2020-05-12T16:51:08Z,1,what parts of statistics one sud master before studying DATA Sc? Please elaborate sir,True
