author,updated_at,like_count,text,public
@musa-g.800,2020-11-10T23:09:18Z,0,"thank you very much for the code, you have made my day. I've been stuck on how to turn gibberish twitter json on proper dictionary/list/df/csv and thanks to the chunk of code underneath  def on_data(), it is solved",True
@santoshi29k49,2020-04-06T10:15:30Z,0,how to stop streaming?,True
@TheRahulHegde,2020-03-26T10:34:15Z,0,Friendly Reminder to people who have their clocks set faster or slower than original. If your time is more +/- 10 minutes then Twitter API will send an authentication error,True
@AkankshaSingh-px1fy,2020-02-14T13:18:47Z,0,"Hey,I am making project on sentiment analysis of tweets...I am not able to run it...please help.",True
@agentanakin9889,2019-08-12T11:50:58Z,0,"I've found your videos helpful, but why don't you do some preparation instead of saying you ""can't remember"" things? You're not livestreaming.",True
@devnapjs140,2019-05-31T15:00:19Z,0,Thanks for this video. For some tweets the text is cut off. Is there a way to get the extended text?,True
@zomi892,2019-02-02T11:53:42Z,0,"Hi , thanks for all the work , really appreciate it.  I do have one question though , how can I get the country from which the tweets emanate and then inserting them in the table ?. Thanks",True
@digitalboltwebdesign,2018-08-07T20:47:47Z,0,thank you so much for this tutorial exactly what i have been looking for,True
@DDarkoBR,2018-04-22T01:58:41Z,0,Most of those tweets that looks just like spanish are portuguese.,True
@kamleshsuthar301,2018-03-20T18:20:52Z,0,"Can we get the tweets from just one country using this method? I tried using location parameter in filter() function, but then the track parameter is ignored (i.e. I got ALL the tweets from given location instead of the tweets containing just that word)",True
@arunpurewal1063,2018-03-19T11:04:34Z,1,"Every time I run this it comes up with '401' in the Terminal , is this an error in my Twitter API? Can't get my head around it :(",True
@ryanmsnyder,2018-03-14T06:32:47Z,0,"Awesome tutorial. Is it possible to streams tweets from a specific account? When I use   twitterStream.filter(follow=[""123456789""])   it streams an account's tweets but it also streams all of the tweets that mention the account. Can we just stream tweets/retweets from a user? Thanks!",True
@steezyricefilms5126,2018-03-08T00:48:52Z,0,Where can I get that hoodie?!?!,True
@egenethebest9107,2018-03-06T21:13:52Z,0,>mysql can be a pain to set up how lucky I am for not using this Plebdows OS,True
@nomanssky09,2018-03-02T10:37:52Z,0,How would I set the size of tweets to analyze ?,True
@xxXXCarbon6XXxx,2018-03-01T02:48:13Z,0,"I could only pull 15 Tweets per query, maybe that's why your data comes in spurts (of 15 Tweets)",True
@volfegan,2018-03-01T02:32:38Z,0,Some of the twitter you show up were in portuguese. Some in spanish.,True
@evandrogoncalves7664,2018-03-01T02:08:30Z,0,I love Python,True
@ArsenSafaryan,2018-02-28T18:07:12Z,0,Harrison thanks for amazing videos!! I would like to request or recommend exploring IronPython for AEC application and data science for construction industry and BIM in general!!,True
@resitk7272,2018-02-28T14:42:40Z,0,"Thx for all amazing videos @sentdex  :) is it possible to use this on Instagram as well?  , i have presentation tomorrow :) please answer me before :)",True
@ankushsharma-gu7co,2018-02-28T14:42:12Z,4,"This is really really cool,  thanks   a ton bro. 👍",True
@thorodinson7467,2018-02-28T14:41:30Z,0,"Hey Sentdex, do you think it is possible to have an online game running in Pygame that is launched from a tkinter login application?",True
