author,updated_at,like_count,text,public
@avixx,2022-01-16T21:37:14Z,0,You're amazing :))),True
@machochocolate7679,2021-10-12T04:29:46Z,0,"Great tutorial, Thanks guy who looks like Edward Snowden.",True
@joha8227,2021-03-01T06:20:45Z,0,"Thanks for your affords! :) Old playlist, still valuable, yayyy. -- Simple question: Since the ""with open"" all your code is indented. A""must"", because longer code gets pretty messy, no?",True
@sahanashanbhag4842,2020-11-13T20:36:25Z,0,thanks a lot💕,True
@NovaWarrior77,2020-10-21T01:33:23Z,0,THANK YOU SO MUCH!!!,True
@TheNotoriousFonzy,2020-09-30T12:55:13Z,1,Used this for my Netflix viewing history CSV... awesome lol,True
@JohnMorrison32,2020-09-16T14:16:40Z,0,fam can u speak up tf u aint loud enough,True
@tcoo1999,2020-08-09T22:20:58Z,0,Great video. Thank you! It's very easy to understand :),True
@ashleypursell9702,2020-04-03T08:39:02Z,0,omg thank you so much you are the best,True
@SebThrows,2020-03-29T22:58:44Z,0,So say you have a .csv file where you have to read a row and you want to print that one item from that set. How would you go about doing so?,True
@erikbennacer2717,2020-01-26T02:16:04Z,0,"Hmmm, and where should I place this file for Python to see it?",True
@anuthammukunthan6988,2020-01-15T07:21:57Z,0,ik i'm very late but thank you soo much. i really needed this,True
@alvinnivla4051,2019-11-22T00:36:54Z,0,How do you convert the csv data into a float ?,True
@shobhitranjan3957,2019-06-24T07:15:41Z,1,NICE !,True
@jfarr206,2019-06-19T03:13:36Z,0,"You rock, brutha!  Thanks.  This is just what I was looking for.",True
@nagarathnacr9305,2019-05-10T01:47:04Z,0,im getting an error no such file 'example.csv' i dont know where file has,True
@bones4786,2019-02-26T22:19:03Z,0,"When i did the first part (< 2:56) it printed out t\t\t\ at the end of the shell, does anyone know how?",True
@chloekimball536,2019-02-22T12:31:19Z,0,I love the way you teach <3 Thank you so much!,True
@olekristianrannekleiv762,2019-02-19T08:22:02Z,1,why: color = row[3] colors.append(color)?  why not colors.append(row[3]) ?,True
@Usammityduzntafraidofanythin,2019-01-29T03:20:40Z,7,"*Obligatory ""Hi Edward Snowden"" Comment*",True
@salahoum9036,2019-01-14T19:08:40Z,0,can I ask you ?,True
@nicollasgomes,2018-12-23T01:41:20Z,0,"Very good, thanks",True
@franco521,2018-10-17T21:04:25Z,0,wth is WITH AS?,True
@diy-projects,2018-10-16T06:02:11Z,0,"Thank you so much, I couldn't find a video describing how to do columns and rows. Youre a god.",True
@peanutbrittle7577,2018-09-27T12:02:02Z,0,"Hello what is the purpose of ""delimiter=,""",True
@shivamsoni9763,2018-09-18T14:17:54Z,0,"Please anyone help to resolve this error. import csv with open('ex1.csv') as csvfile:     read_file= csv.reader(csvfile,delimiter=',')     print(read_file)     color = []     name = []     for r in read_file:         print(r)         color = r[3]         name = r[1]         color.append(color)         name.append(name) print(name) print(color) <_csv.reader object at 0x7f8685505e48> ['22/may/1995', 'shivam', 'lko', 'black']  --------------------------------------------------------------------------- AttributeError                            Traceback (most recent call last) <ipython-input-52-a1561de3b081> in <module>()      12         name = r[1]      13  ---> 14         color.append(color)      15         name.append(name)      16   AttributeError: 'str' object has no attribute 'append'",True
@edwinaramburo9168,2018-09-13T17:38:09Z,0,Great stuff!,True
@ankushmahajan2198,2018-09-05T12:17:08Z,0,got an error    no such directory found  though the file is saved with csv plss help,True
@raufmohammed9645,2018-08-31T21:07:20Z,0,Please can me using python in GUI remote access desktop,True
@cultofsogga5863,2018-07-14T09:18:02Z,0,index coldex sentdex,True
@ThatGuy-yr9uc,2018-06-30T01:30:48Z,0,You need to move your face cam or a least shrink it cause i missed half that lesson due to not seeing the code...,True
@keithsanders6309,2018-06-28T16:12:49Z,0,Very helpful!,True
@777jones,2018-06-15T15:42:02Z,0,Thank you Edward!,True
@info6695,2018-06-13T05:38:44Z,0,"If my csv file has an header, how to make our code realize that that's our header and we dont need to print the header text?",True
@adityashourya3705,2018-06-12T06:11:32Z,4,"will the real edward snowden please stand up  , i think we are gonna have a problem here",True
@nikhilsai859,2018-06-11T11:32:16Z,0,why doesnt the print(readcsv) part work?,True
@markusandersson5099,2018-05-30T12:31:11Z,0,Anyone who got a tip for a CSV like program for Linux/Ubuntu?,True
@shibangibarua2285,2018-05-26T07:16:00Z,0,how to overcome this error  object has no atrribute to append,True
@minhazulislam889,2018-05-17T09:20:51Z,0,how i apply this for jupyter notebook,True
@pmale90,2018-04-12T09:47:31Z,0,How to take an average number for one row?,True
@darmando9834,2018-04-01T00:19:02Z,0,"I was confused all day, thinking I was doing something wrong, the code was not working. And it was because I misspelled ""delimiter""",True
@opssheesh,2018-03-27T18:34:00Z,0,"HELP!!! error = csv has no attribute ""reader"" im using python 3.6 i used dir() and ""reader"" is nowhere to be found!",True
@smallcc7961,2018-03-17T05:59:07Z,0,"Since a comma is only one delimiter allowed in a group of many, a better association for the first element of the acronym 'CSV' would be 'common' wouldn't it? (since each separator is of the same relative type) Just a thought...",True
@djleisheng,2018-02-23T20:39:57Z,0,Lol I made my own CSV module already but I didn't know it was part of python standard library. Oops.,True
@learnermarx7321,2018-02-09T14:50:54Z,0,"could anyone help me with this error  Traceback (most recent call last):   File ""D:\OLD DATA\Readiris Pro 12\py\program\csv1.py"", line 2, in <module>     import csv   File ""D:\OLD DATA\Readiris Pro 12\py\program\csv.py"", line 5, in <module>     with open('D:\OLD DATA\Readiris Pro 12\py\program\csvfile.csv') as csv1: FileNotFoundError: [Errno 2] No such file or directory: 'D:\\OLD DATA\\Readiris Pro 12\\py\\program\\csvfile.csv'",True
@raghavgupta1157,2018-02-08T15:02:06Z,0,is it was CSV tutorial really?,True
@lxxmi_,2018-02-05T12:55:47Z,0,"i could never figure, which one is identifier and which ones is keyword. Because you never tell the words u useare default keywords and cannot be changed as it is a builtin feauture/function while expaining. Please do mention which are keywords and which are userdefined identifiers.  And does csv have only these functions? or more?   Can we just access csv files or we can also edit/write from python script.",True
@philippecolin151,2018-01-08T11:57:45Z,0,what kind of fuel are you using?,True
@shockingvideos5225,2018-01-06T09:57:43Z,0,How we can make search efficient such that if string is made up of 2 names(<first> <last> then entering first or last name returns the result,True
@leytonjay,2018-01-03T20:16:12Z,0,"I believe it's comma separated VALUES, but you're reading them in as variables 😁",True
@harshavardhan-iu9cq,2018-01-03T06:43:08Z,0,"I have a question.  While identifying the dates and colors instead of providing an Empty list and then appending the values can we assign the values directly to the variable in the for loop. For example,   import csv  with open('example.csv') as csvfile:     readCSV = csv.reader(csvfile, delimiter=',')          for row in readCSV:         colors = row[3]         dates = row[0]      print(dates)     print(colors)       whatColor = input('What color do you wish to know the date of?:')     coldex = colors.index(whatColor)     theDate = dates[coldex]     print('The date of',whatColor,'is:',theDate)",True
@YourDivineJudgment,2017-12-28T13:51:01Z,0,"*for people getting a unicode error like me*  following code: import csv with open('C:\Users\YourUser\Documents\example.csv') as csvfile:     csvStuff= csv.reader(csvfile, delimiter=',')  has to be changed to use raw imput as follows: import csv with open(r'C:\Users\YourUser\Documents\example.csv') as csvfile:     csvStuff= csv.reader(csvfile, delimiter=',') _______________________________________________ ""\u"" in ""\users"" is what causes this error to appear i hope i was able to help",True
@Preppster83,2017-12-27T22:32:30Z,0,Great video.  I am currently having issues loading a csv file into Jupyter.   I do not know the correct syntax.,True
@kurisu9056,2017-12-27T14:10:21Z,0,i save it in notepad as .csv so the file type is csv but the icon is a notepad. keeps doing that. thats why i cant import,True
@sanketdamane2642,2017-12-27T12:51:22Z,0,can you please help us with converting multi image in .csv file.,True
@aakashtyagi2916,2017-12-21T06:50:55Z,0,"hey, i want to know how to convert a csv file into a dictionary?",True
@christianbergman711,2017-12-20T22:18:24Z,0,"Please be aware that the “box” video of you talking obscures the right side of the screen when the text gets about halfway down. I notice that you try to compensate by scrolling up frequently (thanks), but it can still be frustrating not to see what you are typing in real time. Otherwise, useful info …",True
@wawizo,2017-12-18T23:59:28Z,0,I need help  with calculating averages from a csv file in google stocks. should i use lists or dictionaries,True
@hamishwatson9973,2017-12-14T00:10:33Z,2,Quite helpful but would appreciate explanations like 'with' and 'as' included in this video. Even something brief.,True
@kishorekumar2769,2017-12-10T09:11:07Z,0,"Why am getting this below error .Please help  <_csv.reader object at 0x02BD0A30>  My Program:  import csv  with open('example.csv') as csvfile:     readCSV = csv.reader(csvfile, delimiter=',')     print(readCSV)",True
@abdulkhaled1745,2017-11-29T17:04:34Z,0,For some reason when I write csv.reader there's an error saying no attribute to textmodule any help,True
@TheOutlierToday,2017-11-24T08:33:57Z,0,I've got this assignment to program the strip me game... who can help??????,True
@isirapramodith8720,2017-11-15T23:42:00Z,0,Are you snowden,True
@dalemackenzie4320,2017-11-14T08:53:22Z,0,"Could you help me?  The shell keeps on coming back with: AttributeError: module 'csv' has no attribute 'reader'.  I have no idea what's wrong with it, it's identical to your code, to that point, but I can't get past it",True
@michal234486,2017-11-13T22:14:22Z,0,"what type is readCSV? You are iterating over it as if it were a list (of lists), but I can't access it directly.",True
@dalemackenzie4320,2017-10-28T07:25:47Z,0,"so if you wanted to, you could have delimiter = '1'",True
@lollool2424,2017-09-17T21:26:51Z,1,Any advice? Can you help? I know the scenario we have to complete. I live in the UK btw. I would really appreciate your assistance,True
@lollool2424,2017-09-17T21:25:19Z,1,We cant use the internet and can only code under supervised conditions,True
@lollool2424,2017-09-17T21:24:57Z,1,We have a very hard GCSE computing scenario and I'm struggling with it,True
@lollool2424,2017-09-17T21:24:30Z,1,Really good bro,True
@vijayamritrajvarma,2017-09-07T14:59:14Z,0,"I am getting a File not found error ,  I am using a Jupyter Notebook",True
@tonyallen8787,2017-08-26T04:12:53Z,0,"hey my brother, how do i make monet with python???",True
@Daratomic,2017-08-22T17:33:21Z,1,How do you make a CSV because I am really confused at the moment. I get the import bit and how to import the data so it can be viewed through python but I don't know how to get the CSV file and where I could get them from. Could you tell me how to make or find them please?,True
@jakeambrose4294,2017-08-18T22:32:20Z,0,im confused,True
@theplayer1845,2017-08-11T20:27:34Z,0,"you are the best     , thank you so much for your amazing videos",True
@Dilo22,2017-08-10T06:38:37Z,0,"Hi. Complete Python noob here. Have to use it for a Master's, just kinda learning as I go. Your videos have been pretty helpful in this regard.  I will end up having multiple directories filled with ~100 csv files or so (all identical in layout). I want to look for specific values within a particular row/column in each files and make a count.   There's a way to import a whole bunch of csvs or a directory all at once and do that? Any help is appreciated.",True
@serdip,2017-08-07T15:42:16Z,0,"Excellent tutorial! Thank you very much for posting these very informative videos.  I am still very  much a beginner in Python but I was thinking that you could also create the color and date lists using a list comprehension   path = 'c:\my files\test.csv' with open(path) as myfile:    myReader = csv.reader(myfile, delimiter=',')    colors = [row[3] for row in myReader]    dates = [row[0] for row in myReader]   Is any of my suggested code correct? Thanks!!",True
@njan1982,2017-08-03T05:04:48Z,0,anyone knows how to get python script directory name so i can just put csv in that directory and run this code to import csv,True
@florijanratz520,2017-06-21T22:13:32Z,16,"I really like, that you don't cut our your mistakes. This way you show for what things we have to look out for. Keep up the good work.  Greetings from germany",True
@aymanz2009,2017-06-17T16:20:06Z,3,"Thanks for the amazing tutorials, I always come back to your content for reference. But I have one small comment : CSV stands for Comma Separated ""Values"", I know it's nothing major, but it still is a piece of info that we all want to make sure is delivered in a fully accurate manner. Thanks again for the amazing content. (y)",True
@Pluvo2for1,2017-06-16T22:17:30Z,0,"Hey sentdex, thank you so much for putting all this together. I learned a little bit of Python 2 a few years ago and so this series is great for getting up to speed with Python 3. The level of detail and pace of the course is perfect because once you have a general feel you can always go off and Google anything in particular. More importantly, you are teaching really practical topics such as this video. Good job and I'm really looking forward to getting into the machine learning course. You rock!",True
@ipadguy1974,2017-06-09T16:21:43Z,3,"Last time I checked, CSV = comma-separated VALUES...  Aside from that, good video!",True
@whansen101,2017-06-07T19:10:37Z,0,excellent explanation of reading and working with csv files!,True
@jacobanderson6675,2017-06-07T15:13:18Z,0,Can we change the delimiter to include multiple spaces?,True
@eugenetkachev,2017-05-30T13:22:41Z,63,You look like Edward Snowden.,True
@harishs7951,2017-05-28T06:09:00Z,1,"Traceback (most recent call last):   File ""D:/titanic/titanic_trial.py"", line 8, in <module>     for row in readCSV: ValueError: I/O operation on closed file.  how to overcome this error?",True
@eslampop911,2017-05-28T02:49:39Z,0,"take a look and tell me how to iterate over the whole program ""like go to the line  4 and take input again or type exit to exit ""  import time import csv i=0  word= input('what city u want to chick :  ') with open('census.csv')as csvfile:     readCSV=csv.reader(csvfile,delimiter=',')      for row in readCSV:         if row[5].lower()==word.lower():             i=i+1  print('there are  ',i, ' row named ',word) print('love u Harrison')",True
@zachmarino5585,2017-05-26T08:47:56Z,3,Is there a source for this CSV file somewhere?,True
@mchandresh,2017-05-24T18:33:04Z,0,"this is really helpful dear. thank you for sharing it. could you please let me know, how do you reader csv file with a header?",True
@jasoncprince,2017-05-21T01:57:10Z,3,"It would be nice if your output window didn't cover your coding window. You could adjust the sizes of the windows so they could be seen together on one screen. I end up having to rewind the video to see what you typed because you covered it up. Also, your pic is covering what you're typing.",True
@madusan1,2017-05-17T02:46:08Z,0,"err not variables but values... must have been a brainfart..csv - comma separated values. tsv - tab separated values. I know mistakes can be made in videos but you should add some errata notification eith in the description box or a comment overlay... (deprecated). I've been programming since 1978 (fortran, compiled basic, lisp, pl1) from the old 80 col punch cards to later using DR CPM. and then on to the varied dos os's until MS took over... Remember you are also providing info to noobies.. better to correct",True
@cameronjansz88,2017-05-11T03:40:31Z,0,Thanks dude helped me on my assignment,True
@uxzh,2017-05-07T23:44:39Z,0,"This helped, but how do I find the most frequent value from a certain column?",True
@garydunken7934,2017-05-06T23:22:38Z,0,Thanks. Please reduce your own face video to about 10% of screen area. It is covering about a quarter of the screen hiding the code behind it.,True
@Andrew-rs6gm,2017-05-06T05:39:34Z,1,"Hey man, I know it's an old video but I was wondering how you turn specific elements into floats? So i have a csv file, which has names and test results And i want to make it into a list of tuples with [(name, float of test result),(name, float of test result)] How would you go about doing that?",True
@kylemurray5478,2017-04-29T03:23:18Z,0,This tutorial was amazing and answered all of my questions. Thank you so much. You are incredible!,True
@michaelgarcia2537,2017-04-22T08:36:20Z,0,so I'm using the Spyder IDE and when i use code similar to this to print out the contents of the csv file into a 2d arrayList it just prints the output into the console.  Is there a way to make the data read made into a new python .py file?,True
@eop771,2017-04-09T08:46:30Z,0,comma separated variables or values?,True
@laxminarasimhasrinivas,2017-04-01T17:10:07Z,0,"Hi i am getting error like this  Traceback (most recent call last):   File ""csv"", line 16, in <module>     whoseSal = input(""whose salary you want to know ?"")   File ""<string>"", line 1, in <module> NameError: name 'Rajiv' is not defined  Given CSV file Data:  Srinu,IND,Analyst,50000 Rajiv,CHI,Prorammer,75000 Sohail,AUS,Manager,100000 Chintu,USA,Admin,40000 Hara,JAP,Associate,50000  while running this code   import csv with open(""empd.csv"") as csvfile:   csvread = csv.reader(csvfile,delimiter=',')   names = []   sals = []    for row in csvread:       name = row[0]       sal = row[3]       names.append(name)       sals.append(sal)    print(names)   print(sals)    whoseSal = input(""whose salary you want to know ?"")   nameedx = names.index(whoseSal)    the_sal = sals[nameedx]   print(""salary of "", whosesal , ""is  "" , the_sal)   Can you help me to solve this problem.",True
@MrEvanevan36,2017-03-30T06:07:31Z,0,What if we are using a larger csv file(had more than 2 lists)? How would we associate 'green' with a particular value in a list?,True
@sunzaolive,2017-03-23T12:51:22Z,0,Thanks for the upload! :D  question: did you make a video about reading a .csv file and build a dictionary?,True
@aakashlandge,2017-03-23T06:46:34Z,0,How do we import a csv file into sqlite3 database using python?,True
@arunavabhattacharya571,2017-03-23T03:05:10Z,0,i thought that was Ed Snowden :o,True
@kevinercia5398,2017-03-15T02:13:38Z,0,Your videos are what I need right now. Short and simple explanation of the basics. And some tips here and there. Thanks,True
@Son_Of_Bangoua,2017-03-14T09:15:31Z,0,Thanks brother!,True
@KakarotSsjg,2017-03-12T12:57:32Z,0,"Can anyone explain this to me? I totally got lost here. Don't know what's happening.(No prerequisite programming  knowledge). Please go as easy as you can. Thank you!  whatColor = input('What color do you wish to know date of?') coldex = colors.index(whatColor)  theDate = dates[coldex]  print('The date of',whatColor,'is:',theDate)",True
@harvir74,2017-03-09T08:18:07Z,2,python can't find sample.csv file? help,True
@nishumaheshwari245,2017-03-07T14:09:21Z,0,"i am getting error Traceback (most recent call last):   File ""C:/Python32/p3.py"", line 2, in <module>     with open('myfile.csv') as csvfile: IOError: [Errno 2] No such file or directory: 'C:\\Python32\\w.csv' where we have to put our csv file sothat it find my file to read",True
@mithingabrahma9120,2017-03-05T13:01:09Z,0,your errors do motivate me.. man.Thanks,True
@VimalGopalreinwo,2017-02-18T12:03:57Z,4,are you snowden!,True
@joeycopperson,2017-02-12T08:45:17Z,0,"Hi,  I do not understand why is following program only printing output of one of the loop. I tried changing the order but it is just one loop that gives output  import csv  with open('graph1.csv') as graphFile:     readCSV = csv.reader(graphFile, delimiter=',')      for xrow in readCSV:         for i in range(len(xrow)):             print(xrow[i], end = "":"")      for row in readCSV:         print(row)",True
@TrueshotSonata,2017-01-27T17:59:17Z,0,"In case anyone was wondering and getting the error with whatColor.lower because the webcam feed was blocking that last little bit, you have to add a closed bracket after .lower for it to work.  coldex = colors.index(whatColor.lower())  Great tutorials, sentdex! Just working my way through these tutorials in the last week has taught me a great deal!",True
@tonymonkoe2284,2017-01-23T14:24:53Z,0,whatProduct = input('What product do you want to know the dates to') CheckProd = []  while WhilNum < totalNum:     if whatProduct == products[WhilNum]:          CheckProd.append(products[WhilNum])        # proddex = products.index(whatProduct)         #theDate = transactionDates[proddex]         WhilNum += 1         print(CheckProd)         #CheckProd[WhilNum] = transactionDates[WhilNum]  Haven't programmed in years and Python before. Code above is trying to compare 'whatProduct' to a CSV list as well store it in a new list help please,True
@PraveenKumarhallikedkar,2017-01-11T03:10:15Z,0,"when I try to read a csv file I get the below error :Traceback (most recent call last):   File ""C:/Users/KumarP69/Desktop/Testo1/csv.py"", line 1, in <module>     import csv   File ""C:/Users/KumarP69/Desktop/Testo1\csv.py"", line 3, in <module>     device=csv.reader(csvfile, delimiter= "" "") AttributeError: module 'csv' has no attribute 'reader'",True
@nm425,2016-12-31T03:57:51Z,0,Hey bro thanks for posting this it was really helpful.,True
@angel-rm9vg,2016-12-10T17:22:38Z,0,I have mistake: AttributeError: 'module' object has no attribute 'reader'. What does it mean?,True
@myonlynick,2016-11-18T13:28:35Z,0,"I ''copy pasted'' the code, i think i did not miss anything. 5:07 print(colors) print(dates) are printing ['blue'] and  ['1/4/2014'] not the entire thing. I suppose inside the for loop colour and date are being constantly updated and hold only the latest value of the iteration,(1/4/2014 'blue' ).  Python v3.5.2",True
@alanwangedcc,2016-10-26T15:22:19Z,0,"I tried input a date(like 1/2/2014) and get it's corresponding color(should be red), and it gives me letter 'b', So what's the right way to do that?",True
@RIApartmentTours,2016-10-24T23:34:40Z,0,THANK YOU,True
@harkiratsinghgill9899,2016-09-01T09:19:20Z,0,"why use 'with' rather than just csvfile = open('filename','r')?",True
@jeffhelwig,2016-08-29T18:07:45Z,5,"Hello,  I was curious what folder the text file is located in?  Been trying to get a file open for 10 minutes now, with the ""[Errno 2] No such file or directory"" continuing to populate.  Seems like a directory or more details are required.  Any suggestions?",True
@rathoddinesh1786,2016-08-27T13:54:07Z,0,great job sir,True
