author,updated_at,like_count,text,public
@spillitnow,2022-08-01T16:22:29Z,0,"I know this is 8 years old but a couple things bug me about the code.   The pin numbers should be constants, not numbers. Then instead of the parameter being 11, it could be FRONT_RIGHT, for example. You could further abstract by putting the function gpio.output(FRONT_RIGHT, True) inside of a better named function front_right_forward(). And you could have a front_right_reverse(), etc.  Also why is the time frame tf? Why not just call it time_frame? Or better yet, time_frame_seconds to indicate the unit of time. The abbreviation just adds a mental step when it would be really easy to autocomplete (depending on the IDE; I'm pretty sure there's a way to do it in nano).  So then the forward function would be: def forward(time_frame_seconds):   init()   front_left_forward()   front_right_forward()   back_left_forward()   back_right_forward()   time.sleep(time_frame_seconds)   cleanup()  I know this is just a personal project and not production code, but readable code is important, especially if you want to scale it out, like if you want to make a self-driving car that chases moving objects or maps out a room or something.",True
@ruturajkale1145,2022-06-20T16:47:41Z,0,Rpi not able to run the reverse function code. What could be the reason for it?,True
@tiobeto5737,2019-10-20T05:38:08Z,0,"I'm getting an error ""tf is not defined"" any idea of what's going on?",True
@govindabaweja3549,2018-12-05T03:17:52Z,0,"Hello I have a question, I am using similar code for servo motor, but I want to use distance sensor with it. So I wrote a code, for servo motor to move when distance sensor senses some specific distance. But in my code, servo motor is continuously moving and not coming to the rest position. Is there any way you can help me with this please? Is there any way I can share my code with you so that you can look at it, and let me know what is going on. Thank you for your help in advance.",True
@funnygum1,2018-09-09T17:20:59Z,0,Is 7 and 11 your right wheels and  13 and  15 your left wheels?,True
@minecraftvader,2017-11-25T21:31:46Z,0,programming a bot with two wheels is a LoT easier when making the movement functions,True
@vedv4390,2017-06-30T19:54:33Z,2,I've used the same GPIO pins and code I get no errors when I run it but the motors do not run Any ideas??? Also: Does anyone know how I can use tkinter through ssh???,True
@meesbroer9006,2017-05-24T19:09:42Z,0,"One pare of wheels run very fast(1,2) and the other runs very slow(3,4), any ideas why?",True
@meesbroer9006,2017-05-06T08:45:03Z,0,I've got the problem that output 3/4 give less power than output 1/2. Any ideas on how to fix this?,True
@ouniradoin7027,2017-03-14T15:11:17Z,0,How to be a programming detecter mine,True
@mojitoz2211,2016-10-29T08:09:36Z,0,hello sir i just have a problem... when i write your code on my rpi he doesn't work and he says that he's working but i think there is a problem becuz with the definitions code def() cuz i've done another program without definition and then my wheels works. What can I do becuz it's really better to work with def().,True
@profilo_is_back,2016-10-10T20:19:11Z,0,"Hi Sent,, I have a problem, when I plug in the pi, two of my wheels start spinning (output 3 and 4) continuously, this is before i have even ran any code. +sentdex",True
@kenanozdamar5482,2016-09-09T07:06:15Z,0,Im having a little trouble with wifi using battery power. The connection initially works but the second I execute the python script to move the car forwards the wifi dongle stops working. I think the batteries are not providing enough power when the motors start working. Any ideas on how i can fix this problem?,True
@alparslanhisar9423,2016-08-25T10:57:10Z,0,Thx for video very helpful,True
@abigupta96,2016-03-30T09:00:31Z,0,where did i find the robotics directory and code for it..? +sentdex,True
@virajshah6379,2016-02-06T17:56:56Z,11,Really feeling glad that I found your videos. I understood well from this video. But can you elaborate more on the basic operation of motors i.e how to judge which gpio pin is to be given true or false?,True
@TBettison,2016-01-15T16:14:03Z,6,"Hi Sent,, I have a problem, when I plug in the pi, two of my wheels start spinning (output 3 and 4) continuously, this is before i have even ran any code.  I have re-wired it and still have the same problem, any suggestions ?  Thanks !",True
@rolandschoeneman1891,2016-01-11T19:45:39Z,0,while doing this can you add comments via #,True
