author,updated_at,like_count,text,public
@anirudhupadhyay695,2022-12-28T15:13:33Z,0,StatQuest,True
@anirudhupadhyay695,2022-12-28T15:13:17Z,0,"Refer to josh starmer, he is amazing",True
@lakshmikavya09,2022-08-20T22:56:50Z,0,Please guide me to learn Statistics from the beginning and also for high school students?,True
@raginigupta7204,2022-01-16T06:34:43Z,0,What a waste,True
@beaulahr2196,2021-08-25T08:18:50Z,0,the link for khan academy leads to jbstats,True
@AInamedMia,2021-04-20T05:23:09Z,2,...and here is the URL for Khan Academy Probability playlist:  https://www.youtube.com/playlist?list=PLC58778F28211FA19,True
@AInamedMia,2021-04-20T05:16:04Z,1,"Hi All, the URL for Khan Academy Statistics playlists given above is incorrect. Here is the correct URL:  https://www.youtube.com/playlist?list=PL1328115D3D8A2566",True
@akashdutta6982,2021-04-05T15:27:19Z,0,very useful and informative video,True
@ranjeetmishra3778,2021-03-14T09:49:08Z,0,"Thank you sir, this video is so helpful",True
@akhilnama1989,2021-02-21T08:07:35Z,4,"Statistics 1.Population and Sample Mean, mode, median, Variance, SD 2. Gaussian Distribution 3. Standard Normal Distribution 4.Probability Density Function 5.Cumulative Distribution Function 6. Skewness 7. Log Normal Distribution 8. Percentiles 9. Central Limit Theorem 10. Bernoulli and Binomial Distribution 11. Co-variance, Pearson Correlation Coefficient, Spearman Rank Correlation 12. Hypothesis Testing  13. P value t test Chisquare test 14. Box Cox Transform",True
@prabinshrestha3582,2021-01-21T10:44:25Z,0,I used a channel named Geek's Lesson. He has a video for statistics and probability for DS which really helped me a ton. So you guys have that option as well.,True
@adityasagar9293,2021-01-02T09:18:22Z,0,How is udemy 365 data science course?,True
@avishekdatta2006,2020-12-31T06:54:06Z,0,"Can you recommend a Statistics Text Book which covers Probability Mass Function, Probability Distribution Function, CDF, Estimation, Hypothesis Testing, Inferential Statistics, etc?",True
@SuperLittle35,2020-10-04T11:29:54Z,6,The youtube channel link for khan academy is the same as above for some other stats channel!  Update??,True
@keneokeke200,2020-09-16T23:43:11Z,1,Thank you so much sir. I appreciate this,True
@adityanaruka4043,2020-09-04T07:52:59Z,0,Sir  hindi bol dete tho channel jarur subscribe karta or like share bhi karta🙏,True
@muhammedanask8556,2020-08-28T06:40:57Z,0,"How this course ,marine statlectures and r programming",True
@kewalagrawal6539,2020-08-21T07:12:13Z,0,Link to khanacademy and statslecture are same ...if possible please change them,True
@Priyanka-us8rw,2020-08-12T08:46:17Z,0,What about 3Blue1Brown channel videos ?,True
@paragggoyal1552,2020-08-08T00:42:46Z,1,"Sir I am doing actuarial sciences, although it’s amazing but it’s mostly applied. I am particularly interested statistics in pure form because, whenever I apply, I would like to know that I know it’s reasoning from core. Please make a video recommending step by step guide through books how to study statistics from books in its pure form.",True
@hariharan2351,2020-07-11T06:10:16Z,0,Super cool krish,True
@hiteshpatil6096,2020-07-03T15:08:19Z,0,pls share Khan Academy link,True
@anuragmishra6262,2020-05-10T09:33:40Z,1,"Is statistics playlist updated ? Because in this video there are around 20 videos in playlist, But in actual there are only 15.",True
@SandeepChaudhary-vx9zy,2020-02-21T17:27:34Z,4,Khan is my favourite since many year... really if you want intuition behind maths any topic go for khan academy,True
@ankurdhuriya,2020-02-20T15:22:07Z,1,@krishnaik06 Can you make a video on how to read research paper and in how details??,True
@anandacharya9919,2020-02-20T12:11:00Z,0,This is essence of all videos. thank you,True
@loxuanthanh,2020-02-19T14:57:10Z,0,"I need subtitle, pls",True
@mauricioalfaro9406,2020-02-19T14:45:16Z,1,I would recommend also the Brandon Foltz and ZedStatistics channel,True
@rohitmittal3632,2020-02-19T14:00:37Z,0,Sir please make video on other maths concepts also such as probability calculus and algebra. this video is amazing.,True
@maYYidtS,2020-02-19T13:28:25Z,0,"please make a videos on end to end on heart disease prediction along with eda, feature engineering, feature selection, model building.",True
@nandabk3562,2020-02-19T05:01:41Z,1,"Hi Sir , can you explain about digital marketing , and its career.",True
@live.through.dance.,2020-02-19T04:40:25Z,1,So grateful for all your help!😄👍💯,True
@saurav463,2020-02-19T03:49:27Z,3,Sir actually i m a civil engineer but i m fully interested in data science course is it right opt for me to choose this course???,True
@prabhakaranrp8705,2020-02-18T22:39:49Z,1,"Thank you Krish sir, I can see the amount of efforts you have put to come up with the best content for your subscribers. Thank you so much, sir.",True
@Agrover112,2020-02-18T19:24:20Z,2,Inferential Statistics 🥺,True
@mharish8818,2020-02-18T18:57:44Z,0,I want to join your course. Please mention where I need to register and the contact person.,True
@murthyinutube,2020-02-18T18:33:58Z,0,BASICALLY how many times you use this word?,True
@Amritt_Singh,2020-02-18T17:11:34Z,2,"Hello sir, I want to get connected to you via a phone call or direct messages.. Please give me a way to do so..",True
@praveenkumar08,2020-02-18T17:07:16Z,2,Sir I want to talk with you,True
@shubhamwasnik5118,2020-02-18T16:38:05Z,1,Which is best channel for NLP,True
@shubhamwasnik5118,2020-02-18T16:37:25Z,1,It's very great lecture to understand statistics.. But please tell me how to learn NLP.,True
@deathtrick,2020-02-18T16:22:49Z,3,Thank you sir for  guiding us. After mastering data science i will also contribute to open source/data science community,True
@Viipiin,2020-02-18T16:18:17Z,3,"Hi Krish, Thanks for sharing your expertise!. I'm a SharePoint Developer for last 5 Years and looking forward to building a career in Data Science. What should be a good approach to switch from SharePoint to Data Science? Expecting your inputs.",True
@deathtrick,2020-02-18T16:10:20Z,1,Sir are you going to start a podcast,True
@shivamsharma9206,2020-02-18T15:45:20Z,4,Instead of URL link of Khan academy you have given link for statslectures.,True
@vaneetarora5150,2020-02-18T15:26:47Z,2,"Hi Krish, Thank you for the great content. Do make a video for Mathematics required for data science and suggested channels.",True
@Artificial_Intelligence_AI,2020-02-18T15:13:13Z,3,"As always, thank you for your effort in facilitate our path of learning ML, DS.",True
@lovefrommars7468,2020-02-18T14:50:37Z,2,Sir pls share this syllabus pdf,True
@parvezbashashaikmahammad3387,2020-02-18T14:49:57Z,1,Thank you so much Krish,True
@akshayakki8969,2020-02-18T14:48:49Z,1,"wow, this is informative af. this is amazing work sir. i am very thankful to u :)",True
@shahzan525,2020-02-18T14:15:07Z,1,That's kind of material I want ...... appreciate your work.....👍👍👍,True
@aloknag4698,2020-02-18T14:07:41Z,2,"Greeting Krish! In addition to mentioning which Stats topics to study, also suggesting the  ML exploratory Data Analysis videos for better understanding of use of these topics is a great idea. This will be really helpful. Thank you.",True
@abhi18632,2020-02-18T13:55:35Z,5,"Hi krish,  Thank you for the awesome knowledge..  I have two queries, I have registered for the course ml affordable ai and paid the fees but unable to connect with the team, can you tell me how to connect?   Second question is... You have provided almost everything on your YouTube channel, how these videos will be different than ineuron affordable ai course?",True
@kafeelbutt,2020-02-18T13:50:10Z,1,Sir please upload a video on SVM intuition,True
@SandipKumar-yo6yw,2020-02-18T13:46:19Z,2,These all concepts have done..,True
@rukesh.shrestha111,2020-02-18T13:43:59Z,1,Could you please make the video in the encoder and decoder in NLP?,True
@akshayakki8969,2020-02-18T13:43:07Z,1,🤩🤩🤩🤩🤩,True
@manimaranr7509,2020-02-18T13:41:57Z,5,"Hi krish,   Thank you for your valuable lectures , I am a  huge follower of you. I need to know what are the maths concept behind the each algorithm? Plz make sure that video as soon as possible",True
@StyleTrick,2020-02-18T13:41:28Z,6,Thank you for the great content Krish! I am a software engineer for 3 years and I'll be doing a Masters degree in Data Science this year! I'll continue to watch and support this channel =)!,True
