author,updated_at,like_count,text,public
@HaiTran-jp4zf,2023-08-29T15:38:09Z,0,"I am going to start my data analyst internship, my works will mostly be cleaning data, visualization and considering of doing some machine learning. Do you think will the Macbook Air M2 with 16gb of RAM be enough for me?",True
@BilalAr,2023-07-21T17:22:04Z,0,Hey Luke Which version are you using for parallels - standard (one time) or?,True
@Matlockization,2023-07-20T13:05:29Z,0,Would installing a parallel on an android phone help me to avoid Microsoft office 365 subscription ? What would you recommend ?,True
@sevval4487,2023-07-10T17:51:34Z,0,this was exactly what i was looking for <3 thank you!,True
@mansamusa559,2023-07-03T10:29:01Z,0,"Does anyone have experience on fine tuning LLMs on M1 Pro/Max ? And also just running inference on large models, does that work well? Thanks great video btw",True
@salomeurbina,2023-05-15T21:49:48Z,2,"Hi Luke, data scientist here ! Really love your channel. Planning to get a MacBook but I’m wondering about the M2 Air or M2 14 Pro. Which one would you recommend. Is the pro better for virtual machine, R, STATA, Spss etc ?",True
@hiepnguyenbg91,2023-02-12T08:34:33Z,0,"Hi Luke, Thank you for your detailed video. I have one question regarding the new Macbook M2 pro: I'm thinking of learning code to switch my career as a data analyst (or data scientist) asap. Do you think 16GB RAM on Macbook pro will serve well? I read some articles saying that data scientists should get 32GB RAM or more. But you know, Apple RAM is super pricey.",True
@arealrider6302,2022-12-31T06:15:04Z,0,Why we will take tension when Windows is another option?😅 (For Data Analysis),True
@jeppepuus,2022-12-14T19:54:28Z,0,"How much of a hassle are VMs on the MBP? I’m headed into a double major in Engineering and Business management and since I will be spending a lot of time behind the screen I want something with as little resistance as possible. There will be windows only software, but likely nothing that takes a really huge toll on the computer. Do you think a MBP 14 with 16/512 GB will suit me?",True
@91lovemusic,2022-12-05T04:53:19Z,0,"Data analyst will work fine on MacBook? Aaaa i still confuse 😂 worry if i make mistakes. There’s python, sql, java, html etc etc Thank you for sharing this video.",True
@santiagosinchi6153,2022-11-30T14:56:56Z,0,"I'm thinking on get a Lenovo thinkpad, but mac seems good 🤔",True
