author,updated_at,like_count,text,public
@krishnaik06,2021-09-05T14:00:10Z,17,This videos is a series of developing ML usecases in android app . Instructor name is Ankur who has more than 10+ years experience in building android app.,True
@akashde8919,2021-09-24T05:47:06Z,0,Yes sir,True
@yaminadjoudi4357,2021-09-19T21:48:34Z,0,thank you for you videos; please how can I combine two applications (models integrated) using Modular neural networks MNNs using python and tensorflow?,True
@vishwanath-ts,2021-09-19T06:35:39Z,1,Thanks for the tutorial!!,True
@shhivram929,2021-09-14T12:36:07Z,0,"This is interesting Wow, Ankur looks like a little bit older version of Krish.",True
@achintya-7,2021-09-06T13:37:31Z,1,Why are the videos provated Can we expect them to come soon,True
@paraschaurs,2021-09-06T08:58:43Z,4,Eagerly waiting for whole series,True
@mubasharoffical,2021-09-06T06:38:36Z,2,"Sir , I follow your video and learn many things but you do not use andriod ML Kit. Please next session used ML Kit.  thank you!",True
@Balajkumaran,2021-09-06T06:08:47Z,2,Nice Ankur! Very professional !!,True
@saswatapaladhi4608,2021-09-06T05:39:46Z,1,Why clean shave man..... Bro....,True
