author,updated_at,like_count,text,public
@krishnaik06,2023-03-11T11:59:13Z,5,"Join this channel membership to get access to materials: https://www.youtube.com/channel/UCNU_lfiiWBdtULKOw6X0Dig/join check out the complete end to end project playlist https://youtube.com/playlist?list=PLZoTAELRMXVPS-dOaVbAux22vzqdgoGhG",True
@Muhammad_Aftab_ahmad_97,2024-05-31T13:41:52Z,0,"Can someone please tell me why sir Krish is doing all these in a py file as these are all done in ipynb file, so why is the need to split each code like this. I didn't get the purpose of this.",True
@manar4944,2024-05-26T18:21:46Z,0,why is there a standard scalar in the categorical pipeline ? it does not make sense,True
@rhyleroger8253,2024-05-01T05:50:16Z,0,"Awesome and insightful video Mr.Krish. I just have one question in mind, is it really advisable to perform scaling (StandardScaler) to a one-hot encoded categorical column?",True
@DhurFitayMu,2024-04-30T01:23:26Z,0,am I the only one who noticed that the data transformation last part was skipped and was jumped to saving data-transformer-object,True
@salihsartepe2614,2024-03-27T09:07:05Z,1,"ALERT : If you have a problem statement like module not found , write the code below before importing src  sys.path.insert(0, 'D:\\blablabla\mlproject')",True
@AyushKumar-ak89,2024-03-01T09:54:36Z,1,After 21:43 Some lines of Videos are skipped. Please Explain.,True
@harshraut3718,2024-01-27T19:32:57Z,0,@dataclass decorator is used to define class variables,True
@intcvn,2024-01-08T09:40:14Z,0,"hii guys if you are reading this hope u have a nice day, i was working on a project which is a binary classification problem and the classes are in categorical objects hence cannot label them through pipelines and column transformers can yall help me how should i go forward",True
@user-bp7go9gr2s,2024-01-05T00:15:01Z,0,"i added my virtual env folder,artifacts to .gitignore but why is it still getting commited ?",True
@im_tanmay_g,2024-01-03T00:49:39Z,0,In love with this playlist. A guide which can be referred always. Thank you Krish Sir.,True
@roshantonge1952,2023-10-09T07:31:07Z,0,why do we need scaling to catergorical variable ?,True
@royalchallengersbangalore535,2023-09-17T13:14:34Z,1,Sir but in this video you coded some parts w/o showing that so that is problemetic,True
@prabhu7452,2023-09-03T19:01:35Z,0,"traceback (most recent call last): file ""c:\mlfirstproject\venv\lib\logging\__init__.py"", line 1085, in emit msg = self.format(record).   I am getting this type of error and I am stuck here. Can someone help me to fix this error",True
@rahulgattu1998,2023-07-27T22:33:35Z,2,"Hi @everyone,  32:11 I am getting the same error even after rectifying it. Any help is appreciated   During handling of the above exception, another exception occurred:  Traceback (most recent call last):   File ""src/components/data_ingestion.py"", line 53, in <module>     data_transformation.initiate_data_transformation(train_data, test_data)   File ""c:\users\rahul\onedrive - indiana university\iu work files\python\projects\mlprojects\src\components\data_transformation.py"", line 119, in initiate_data_transformation     raise CustomException(e, sys) src.exception.CustomException: Error occured in Python Sceipt name [c:\users\rahul\onedrive\work files\python\projects\mlprojects\src\components\data_transformation.py] line number [99] error message [Cannot center sparse matrices: pass `with_mean=False` instead. See docstring for motivation and alternatives.]          99     input_feature_train_arr = preprocessing_object.fit_transform(input_feature_train_df)        100     input_feature_test_arr = preprocessing_object.transform(input_feature_test_df)",True
@nikhilsingh7666,2023-07-26T05:46:11Z,1,i am not getting error but also my artifact folder do not have the train and the pkl file what to do now?,True
@rifatmahammod4002,2023-07-15T09:11:32Z,2,Around 21:43 the video just skips some parts for some reason,True
@ameyadamle9475,2023-06-19T12:17:26Z,1,"@krishnaik06 Hello! thank you for the tutorials its really helpful in understanding projects. I am getting an error while using different dataset in the data transformation step as -- all the  input array dimensions except for the concatenation axis must match exactly, but along dimension 0, the array at index 0 has size 1 and the array at index 1 has size 44922. can you please help🙏🙏",True
