author,updated_at,like_count,text,public
@tarunmaiti8209,2024-01-24T02:32:23Z,0,"Dear sir,  How does mechanical engineering domain (fresher) help me in data science?",True
@bharathau8085,2023-10-13T08:24:01Z,0,Excellent sir!,True
@user-ng9ic7tl1q,2023-07-28T14:43:41Z,0,"amazzzzing video, thank you so much krish, Please can anyone share me video about sales domain knowledge.",True
@suchivats7303,2023-05-20T18:41:47Z,0,"Sir, you are just awesome in every teaching. Great information. Thank you!",True
@debashispradhan1406,2022-03-19T05:30:52Z,0,will cfa helpful for finance domain ??,True
@pankajshinde7422,2022-01-16T18:16:26Z,0,Really nice video,True
@adityasoni1639,2020-09-11T13:53:34Z,1,Sir in which domain you work.?...Pls do reply.!,True
@srikanthguggila6558,2020-09-10T13:08:18Z,3,Hi Krish. Please elaborate these things. 1. How to choose right chart for exploratory data analysis 2. What is importance of each chart. Please explain these if possible,True
@sharadchadha,2020-09-10T08:57:18Z,1,Amazing and knowledgeable,True
@br2478,2020-09-09T16:16:41Z,0,Hi Krish. I religiously follow your videos as I'm trying to make a transition into DS career. I have total 7.5 years of experience. Could you please tell me if my previous experience could badly impact my placement? I'm planning to do PGDDS from Jigsaw. They are telling like only 0-3 years of experienced are preferable when it comes to job offer/placement. I thought it was just the otherwise. Could you please guide me on this by sharing your view on this?,True
@akalyakrishnasamy1306,2020-09-09T12:44:56Z,0,"Hi,can anyone help me how to crack fractal analytics online test ? R+SQL test? Any ideas on how to prepare for r programming?",True
@shubhangisakarkar9532,2020-09-09T05:06:32Z,1,i wasted completely a week to solve single ml problem without domain knowledge and  landed with disastrous result.Domain is must and google  can help alot to freshers,True
@kumarmadhav2596,2020-09-09T01:30:40Z,1,Liked the format of teaching,True
@paritoshkumar7422,2020-09-08T21:12:11Z,1,"Hi Krish, Can you suggest some good books to understand different domains .?",True
@chetanpawar5952,2020-09-08T17:03:29Z,0,"Hello sir, I have completed my certification in business analytics where I learned eda, regression, time series, clustering etc. But now I don't know how to get a job in this field or where I can apply for respected position, should I search as data scientist or as business analyst I am very confused please help me",True
