author,updated_at,like_count,text,public
@sentdex,2017-08-31T13:26:35Z,14,"TensorFlow is Available on Windows now, through a fairly similar installation process, tutorial was posted here: https://www.youtube.com/watch?v=r7-WPbx8VuY",True
@PR-nb4rb,2021-11-23T04:37:24Z,0,"I have this error: Ignoring visible gpu device (device: 0, name: GeForce GT 710, pci bus id: 0000:01:00.0, compute capability: 2.1) with Cuda compute capability 2.1. The minimum required Cuda capability is 3.0.",True
@obsadegabas,2020-04-28T12:17:18Z,0,"It is so nice tutorial. But let me ask you one question, I have installed TensorFlow on Anaconda on my machine of window OS, but now I want to use CuDNN, so how to install GPU version of TensorFlow on Anaconda?",True
@bestcasescenario6775,2020-04-16T04:21:30Z,0,is it possible to do all this with google colab? any notes on how to?,True
@saikatsd5904,2020-01-20T03:06:15Z,0,Can u help me how to install spleeter in my windows 7,True
@cargouvu,2019-12-25T11:19:19Z,0,Is there a cuda equivalent for AMD?  Can a Nvidia GPU enabled graphics card be installed on a laptop?,True
@HakimAAbdo,2019-10-03T21:49:38Z,0,How can I install and work with Tensorflow with a machine that does not have an NVIDIA graphics card?,True
@MygenteTV,2019-07-21T22:23:41Z,0,can you do one for mac? thank you,True
@bhaskargundu2014,2019-04-06T23:43:41Z,0,"tty=""terminal type"" .............. the origin of this  was unix  , where , the unix server does not care for the power of the client, but dictates as to when and how it time-slices the task as per its scheduler running in its server's kernel, and the clients could even be ""dumb terminals"" (hence , sometimes, ""virtual terminals"" [with less cpu power and no secondary storage, but just a keyboard and a monitor , the cpu used to come as part of the base of the Monitor/CRT device] like ""VT 100"", ""ET 3000"" etc.) ofcourse , the game changed with ""Networking Operating Systems"" , like Novell Netware,Windows NT etc. , where , the task is distributed among server and client, and hence, the more mature the client, the better the client's performance -------- the client / server architecture, hence, the clients have been desktops/laptops/.....smart devices etc.",True
@jeppechristensen5707,2019-01-12T00:15:41Z,0,"So, what's the story with AMD? :-(",True
@lorenzoostano2247,2018-11-02T09:08:07Z,0,Hi Sentdex. I've heard you need to take off wifi card to connect the GPU to the laptop. Is that true or are there other ways to do while preserving wifi?  Thanks a lot,True
@aminezitoun3725,2018-11-01T12:48:49Z,0,i have a geforce 210 ;'( i really wanna fucking die right now im so poor holly shit i really like using neural networks but i guess im too poor for it,True
@rakeshsinghrawat6356,2018-10-06T05:30:02Z,0,thanx,True
@tejasbargal130,2018-09-15T09:57:22Z,3,"For those who do not have GPU or struggling with tensorflow GPU installation, use kaggle notebook on https://www.kaggle.com with GPU turned on.",True
@justchill99902,2018-09-10T15:46:49Z,0,"Hello guys! This is a mindblowing guide from Harrison but if you are confused or having problems with downloading the GPU version of Tensorflow, follow the link below (which is by the way awesome) which I used.  https://medium.com/@Oysiyl/install-tensorflow-1-8-0-with-gpu-from-source-on-ubuntu-18-04-bionic-beaver-35cfa9df3600  Trust me it could save your life!  Cheers!",True
@A-M-F-A,2018-07-22T23:05:15Z,0,Why do I need Ubuntu to do this? Can't I run gpu tensorflow on my machine?,True
@suhailahmad2586,2018-07-18T11:34:42Z,0,i have a gtx 1060 6gb will it be good for a begineer to learn deep learning,True
@himanshmulchandani5075,2018-06-22T15:23:27Z,0,Is gtx 1050ti supported by CUDA? It isn't listed on nvidia's website but much older cards with lesser computing powers are listed.,True
@OMGhowtheF,2018-06-21T13:47:44Z,0,tty is the singular for titties,True
@takanobu3012,2018-04-21T20:31:31Z,0,"Hi, can you put up the URL of the instructions you are looking at while installing?",True
