author,updated_at,like_count,text,public
@Mastersgrace24,2020-10-22T15:29:58Z,264,"Alex, very helpful video. I just realised that I spend more time watching what to learn than actually learning it. LOL",True
@gurpreetdua8017,2024-05-23T12:09:44Z,0,Hi alex just wanna know do we need to do all of the course in the order that you've told and how much time will it take to complete them,True
@Sundharkumar1,2024-04-01T13:51:55Z,0,"hello there, These 10 courses should be done for having a good knowledge in Data analytics",True
@user-gx1qh4oc5p,2024-02-15T18:54:33Z,0,Which platform is best for us to learn on? Udemy or coursera......what will you recommend,True
@therealal1713,2023-07-07T05:58:25Z,2,"Hi Alex - Maybe a tough question but now that you've gone through udemy and coursera for SQL and Python, which platform would you recommend? Appreciate the response.",True
@MocaJesus,2023-07-03T12:59:38Z,2,Hi Alex! Question: I’m considering taking the Google Professional Data Analytics course but I’m wondering if it’s a better investment in my time and money to just knock out the Udemy courses you recommend instead. The time commitment on each seems about the same per course but the Udemy courses seem to go further in depth while the Google program does come with a certificate and looks like it explains a lot about what a data analyst does. I truly value and appreciate your insight. Thanks you!!!,True
@renzlagmay9551,2023-06-26T01:34:50Z,1,Are these courses still valid to take in 2023?,True
@eroplaneeee,2023-05-11T09:18:56Z,0,"did any body know how to get the discount on Udemy back? I just sign up my account right now after I had watched this video and finding the course that Alex has refered to, but after that I tried to click the link down below and ALL the discount I got is now gone. much appreciate any comment that would help",True
@faiyazhoquechowdhury9551,2023-03-29T15:10:36Z,0,Hey Alex. The Python Automation Course is not available on Udemy anymore. Can you please give me an alternative for that? Thank you so much for helping us,True
@jonathananggileonardy6777,2023-02-13T10:27:14Z,0,"Alex i just completed your roadmap to be a data analyst, ive built my own website like you, but i still not confident enough to find a job, do you have any free course recommendation ? i cant afford it",True
@hatersgotohell627,2023-01-10T01:32:51Z,1,"When do you know if you have enough skills to get a job? I know some excel just from college, took 3 stats courses, but I only took 2 SQL udemy courses, and honestly I feel like an imposter. How can I land a data analyst job at a basic level where they don't mind training me more. I hate to keep taking courses my whole life with no job lined up.",True
@anthonywilliams629,2022-12-02T11:39:04Z,0,The excel course you recommended isn't very good.,True
