author,updated_at,like_count,text,public
@ramakrishnayellela7455,2024-03-29T17:39:43Z,0,"Sir,Can you send notebook pdf",True
@satwindersingh1797,2023-12-27T14:18:57Z,0,U r ultra best teacher Sir ..  Ultimate and even better...,True
@anjubhagat8257,2023-10-26T10:42:18Z,0,"Sir,  you have explained very well. Thank you. I have the data from the year 1987-88 to 2021-22 of mango production and I want to apply ANN. so please give me code for Rstudio and also tell me which activation function, learning rate and how many hidden layers are best for the problem.",True
@the-ghost-in-the-machine1108,2023-09-02T11:24:48Z,0,"27:45 No, the Swish activation function is not zero-centered",True
@gamingultimate7489,2023-07-06T09:45:05Z,0,Fooling layer in nlp,True
@deepaklonare9497,2023-06-20T04:14:15Z,0,Can you please share the Github link for this document?,True
@sachinborgave8094,2023-06-02T05:30:45Z,0,"Thanks Krish, Can you please share this document ?",True
@borgavejs4379,2023-06-02T05:29:47Z,0,"Thanks Krish, Can you please share this document ?",True
@himanshugoel4573,2023-05-25T22:14:51Z,0,Hello Krish I am trying to follow your complete Deep Learning playlist but can you share a link to the Jupyter notebook or the documentation that you used in the video to explain everything? It would be a great help to read those notes showin in the vieo. Thanks in advance !,True
@NikhilaRaoLakku,2023-04-17T21:52:42Z,0,"Hello Sir, Can  you please share the notes that you are explaining from?",True
@RehmanKhan-gb6sk,2023-04-09T15:06:50Z,0,can you share this file please.,True
@shaikrahamatulla-jy2cg,2023-02-25T15:37:34Z,0,please provide jupyter notebook,True
@smarttaurian30,2023-01-18T19:41:50Z,1,You should have made single video for each activation function as it is difficult to get  from this video. You are going fast and bit confused in understanding,True
@smarttaurian30,2023-01-18T18:59:19Z,0,If ReLU has zero or one output then why we don't value step function?,True
@ganjirao7094,2023-01-02T14:49:33Z,0,Good,True
@vipnirala,2022-11-19T05:35:56Z,0,Great content. Thank you.,True
@rageadigaming8162,2022-10-12T14:12:56Z,0,share the  notes sir >>>>>>,True
@vivekkumarshaw6495,2022-10-11T08:31:11Z,0,Where can i get these slides,True
@shynie4986,2022-10-05T13:56:40Z,0,I was wondering how to access the notes in your video.,True
@vimalgupta86,2022-08-04T06:50:23Z,0,"Hi Krish, can you please provide the link for this notebook?",True
@shubhibansal7016,2022-08-02T07:17:24Z,1,"Hi, where can we find jupyter notebooks or the notes for the videos?",True
@arijitmukherjee8293,2022-07-03T09:08:25Z,1,"Hi Krish, thanks for the lovely explanation. I have one question. Why does zero centered data converge faster. Can anyone explain this?",True
@bcinerd,2022-06-23T13:51:19Z,0,could you please upload this notebook in video description?,True
@mdmynuddin1888,2022-06-20T04:57:48Z,0,Can i get the notebook?,True
@user-qb5gw8xg9m,2022-06-19T13:37:10Z,0,thx Krish! can I have access to your notebook?,True
@akashm1027,2022-06-06T11:50:21Z,0,Is there a notebook link to refer?,True
@MrKB_SSJ2,2022-04-03T14:30:21Z,0,Thanks a lot 😊,True
@priyankachore1617,2022-03-23T12:41:48Z,0,Thank you sir!!!,True
@chitramethwani4758,2022-03-14T18:22:55Z,3,hi Krish.. can you pls provide the link for this notebook? Great content and nice explanation.. :),True
@chinmaybhat9636,2022-03-02T07:20:35Z,0,@Krish Naik Sir Can you share the Jupyter Notebook for this in the github ???,True
@hariharans9408,2022-02-15T08:04:24Z,2,"Such a Amazing sir, Please put a link for this notebook in the discription that will help us to revise more about this",True
@nazishiqbal1046,2022-02-14T08:20:34Z,0,Great work! From where I can get this notebok?,True
@rafibasha1840,2022-01-29T06:37:35Z,0,"Hi Krish,please share the notebook you are using",True
@rafibasha1840,2022-01-18T08:16:52Z,0,@15:00 when we multiply negative value with .01 how it became positive  value,True
@lamis_18,2021-12-26T11:23:13Z,1,Can we have this amazing ipynp  file?????????????????????????????????????,True
@ArunKumar-sg6jf,2021-12-13T06:55:19Z,0,Bro unavailable join u telegram group,True
@nagamanid8926,2021-11-24T11:03:41Z,0,Thank you Sir. My question is-Can we use both SVM and Softmax simultaneously in CNN for classification,True
