author,updated_at,like_count,text,public
@krishnaik06,2021-08-11T06:43:52Z,16,My Salary As A Data Scientist From My Entire Career https://www.youtube.com/watch?v=dqGDeulDOKQ&t=87s,True
@Thisisbisola,2022-02-27T08:22:52Z,0,Thank you so much kish 😊,True
@samarendrapradhan5067,2022-01-06T13:22:56Z,0,You are an inspiration sir and you are honest person,True
@Raj-sz9pg,2021-10-03T09:41:36Z,0,Disclaimer: it's not a comedy channel,True
@nawfalseghir5155,2021-09-24T21:52:31Z,1,"Such a natural person, and pure positive soul. Huge respect to you Krish. Thanks for all ! :)",True
@aayush5474,2021-09-18T12:14:35Z,0,what is spare money?,True
@adisingh9341,2021-09-05T16:26:48Z,0,Thanks soo much for the videos sir,True
@sharehappiness4497,2021-09-04T07:30:49Z,0,What means by chiller brand😀😀,True
@akashbhandari867,2021-08-21T12:56:37Z,0,I like your way 😉.,True
@monkgaming4047,2021-08-18T22:47:02Z,0,Dear sir I have passed B.A .I don't have any it background. Can I do data science course .,True
@omarnancy5281,2021-08-17T14:28:11Z,1,Hello Krish Does Data Science Require coding?,True
@Raja-tt4ll,2021-08-16T17:42:54Z,0,Nice Video,True
@acadroit,2021-08-14T14:44:14Z,0,How can I get a career consultation from you sir,True
@azeemgryllsvlogs,2021-08-13T09:40:13Z,0,"Sir, I'm a Hotel management student but I am eagerly looking to get a job into Data analytics pleasee help me how to do it..",True
@vijaynath1986,2021-08-12T12:25:17Z,0,"Brother, did u paid tax for the.passive income",True
@AshwiniAOjha,2021-08-12T08:37:43Z,0,Hats off to ur humbleness/truthfulness and quality suggestions!!,True
@yashrajdevrat2142,2021-08-12T05:11:34Z,0,Why do undergraduate students prefer software and hardware related jobs than data science and algorithms. I have seen in IITs  and NITs too students prefer more in computer or IT engineering than AI ? Is data science hard than software engineering..,True
@arjyabasu1311,2021-08-11T15:31:59Z,0,Awesome knowledgeable video,True
@SridharS-bh9bg,2021-08-11T14:08:14Z,0,Bro please send me your email ID for my doubts and clarification..... Bro,True
@AAND8805,2021-08-11T12:58:04Z,5,"Lot of details, a lot of ppl won't even reveal this amount of details of income, subs, and side jobs, kudos to this guy  AND 1.5X SPEED, 1.25X IS PRETTY SLOW",True
@rakeshkumarpati7581,2021-08-11T12:32:09Z,0,"Hi Kris, I watch your videos. These give me good info. I am not able to visualize my future in pvt sector as a software engineer.. Could you please help me. Brief info: I am 7 years of experience in Embedded system (Avionics and Automotive). Mainly I worked in Modle Based Development using a tool which is used very rarely by companies. I see my scopes are limited. Mail id: rakeshpatijobs@gmail.com",True
@Basav555,2021-08-11T12:31:14Z,2,Curious to know krishnaik net worth..,True
@gundakoushik7840,2021-08-11T12:04:41Z,2,Krish i had confusing in choosing path upgrading myself Mern stack (react&django) Cloud dataengineer Ai/ml datascience Please give rply,True
@ekaterinadranitsyna5107,2021-08-11T12:04:12Z,3,"Thank you for the ideas! Would you recommend someone to start a YouTube channel about coding and related topics now, when so many other channels already exist in this nishe? I am from Russia. Would it be better to produce this content in Russion for a local audience or in English for a global one? Thank you again for your excellent videos! They helped many people!",True
@daisydas1178,2021-08-11T11:41:12Z,1,Starting any task is easier but maintaining it is the most difficult part..,True
@ak98775,2021-08-11T11:26:22Z,2,You’re a true inspiration for many Krish!! Looking forward to meeting you one fine day !!!!,True
@datatech9922,2021-08-11T10:36:01Z,1,great 💫,True
@firdousbhat123,2021-08-11T09:39:18Z,0,Obviously cryptocurrency is a bubble game.  One needs to play with risks :0  Did you hear that hackers have stolen $600m crypto currency !!!!  Another risk !!!,True
@sravanthipatlolla9449,2021-08-11T09:04:10Z,2,Inspirational,True
@swatikhedekar6527,2021-08-11T09:03:30Z,6,"I remember my College days..its little same scenario.. My  friends also comes to me for solving douts, topic clear and motivation for exan.. Someone for.. How to clear backlog.. 😊😊 I'm feeling so happy when I helping ☺",True
@princesrivastava4475,2021-08-11T08:44:51Z,3,agree sir money is everything  thing.,True
@preetisri7297,2021-08-11T08:39:27Z,26,Apart from learning data science now trying to make a live project......I learnt japanese language although it took me lot of time and now taking tuitions for.yes necessity is the mother of invention.🙏🙏,True
@mohitsahu-ow8nt,2021-08-11T08:26:33Z,3,"Sir genuinely speaking your contribution to this Nation is not less than Neeraj Chopra, You have also inspired Many youth in this country, I hope and I wish to meet you some day.",True
@sumanthreddy8829,2021-08-11T08:20:00Z,3,Great inspiration 🔥🔥,True
@chauhansumit5486,2021-08-11T08:01:08Z,4,Best software company,True
@harshgupta-vn1tl,2021-08-11T07:55:40Z,2,OG here spittin' facts here!,True
@pillilaxmilaxmi9357,2021-08-11T07:46:00Z,4,"""Sir what jobs will be in demand in 2030"" And will data scientist and AI jobs will be in demand in 2030 Please make a video on this sir please🙏🙏🙏🙏🙏🙏🙏🙏",True
@ishantguleria870,2021-08-11T07:33:22Z,1,"Thanks sir  for the video , Please made a video  what are the steps we   should  follow so  that   we  can hide our passive income  information from  our employer .",True
@kiranpandit3309,2021-08-11T07:28:19Z,3,❤️So Inspiring ❤️,True
@divyashri7966,2021-08-11T07:25:34Z,13,"So inspiring sir!! I have a small suggestion, can you make a video on how to rectify messed up careers... Like wasting few years behind exams and then entering into this field, motivation goes away somewhere in between...",True
@shilpaprusty3319,2021-08-11T07:13:48Z,1,There should be a superlike button for your video,True
@hrithikgupta4877,2021-08-11T07:03:18Z,2,Krish sir  - don't disclose it. 😂 #Savage #respect sir,True
@sukanthenss914,2021-08-11T07:01:19Z,3,Past 2 days were really great Krish !! BOLD in telling your personal stuffs,True
@nbsp8902,2021-08-11T06:56:11Z,4,Sir much love from NP 🇳🇵...not gonna lie learned a lot from you,True
@shubhamsaha7887,2021-08-11T06:49:02Z,4,"Sir, do most of the top mncs restrict their employees to make passive income due to independence policy?  My employer is mostly an auditing firm. It has such strict policies. Please tell me which industry doesn't have such strict rules!",True
@gautambharadwaj9966,2021-08-11T06:43:40Z,3,Sir when will you start live stream gaming again,True
@PAVANKUMAR-vx9ty,2021-08-11T06:43:33Z,2,♥,True
