author,updated_at,like_count,text,public
@rahulgaikwad5058,2022-09-14T12:06:16Z,44,"Hi, Krish Sir I got selected in 2 MNC companies by learning through your videos and I got Amazing hike in my salary and thank you so much for your support and Guidance, please convey my achievement to Sudhanshu Sir also because I learnt so many things from him also, You both are Amazing and even other people from other countries are also through your videos and keeping themselves updated with Data science field  I want to meet you both you once if you give chance to meet you in Bangalore location",True
@kaviyasrikaviyasri9392,2024-04-19T04:19:55Z,0,Do we have physics as allied paper in bsc data science,True
@Vivek143iii-ob1sy,2024-02-12T09:23:35Z,0,What is the best college for data science,True
@Ronit_9977,2022-10-11T09:14:03Z,0,"Sir please can you answer my query:- I'm doing online degree of data science from iit Madras, will it be beneficial for me in future",True
@upendrarathore9712,2022-10-01T17:31:22Z,0,Dear  sir  i have completed MCA in 2011. now i am working in Home ministry Delhi as a Clerk . Now sir i want to  do Master science in Data Science from Arizona university united States . My decision is right or wrong please rply.,True
@eliyasebastian6256,2022-09-23T19:35:35Z,0,"Hi Sir.  I am a Commerce Background Student. I don't have any technical skills. I  am planning to join a Data Science Course. But I am so confused , will I able to do it or not? Need your suggestion sir",True
@zaryabzahra8221,2022-09-21T00:46:14Z,0,"Hello,I am a student and having some issues in my final year project which I cannot understand... It's a machine learning project..Please guide me how to reach out to you .. please help me in this regard",True
@sagarjagtap5114,2022-09-19T16:46:52Z,0,Hello Krish Sir  I'm graduate with Physics and doing job as machine operator since 2011 in MNC...Is Data Science career is applicable or useful for me...Plzz guide me sir,True
@IlmiMulhid,2022-09-19T13:17:28Z,0,But sir how to learn?? Please suggest some structured course for biology student like me. I'm trying to learn from python YouTube videos but i can't differentiate if they are teaching for data science of software engineering.. i need a mentor who can tell me what to learn and from where to learn on every step as I'm not much educated in programming.,True
@lokendranathchaturvedi6020,2022-09-17T05:37:58Z,0,Krish plz make video of  data science work from home...is there chance of it how many companies are providing it.....,True
@vishalsuryavanshi7548,2022-09-16T16:44:51Z,1,i m having experience of 7 years overall and 3 years in data science .. what should be my salary range .?,True
@pallavimagar7258,2022-09-16T06:54:07Z,1,You are always motivating us.thank you so much sir.,True
