author,updated_at,like_count,text,public
@AlexTheAnalyst,2021-09-07T11:37:44Z,87,This is my first attempt at being funny ever in my life - please go easy on my guest Alex Freebird. He’s fragile.,True
@DissidentNomad,2022-07-22T16:10:58Z,0,Jamba juice lol,True
@rafaelfernandezgonzalez1666,2022-02-12T17:57:11Z,0,"JAJAJAJAJJA Fuck me sentí identificado con algunas cosas así que fue bastante personal, me gustó mucho",True
@JTD33,2022-02-03T20:21:42Z,0,So this made me curious - how often do people mishear your surname as Freebird? xD,True
@md.raselmahmud8797,2022-01-08T16:48:40Z,0,"oh man, this was very funny",True
@jsonify,2021-10-28T06:14:24Z,1,"Alex, that was brilliant. Thank you, thank you, thank you. And I'd love to hear more about how good the juice is at Jamba Juice. Cheers.",True
@josedavidlezcano652,2021-10-13T10:23:57Z,1,I know right now what i will say in my interviews. Thanks. 😆,True
@rebewilson4153,2021-09-27T20:28:14Z,0,“ I do have a twitter and TikTok”  HAHAHA tik tok please,True
@jordanwoods462,2021-09-22T21:58:23Z,6,Hey Alex! I just subbed after seeing a few of your videos. I’m a recent graduate in business trying to become a data analyst. Your vids are giving me confidence and much needed insight into the field. I can’t wait to dive into more of your content!,True
@nikhilgond600,2021-09-20T12:46:24Z,0,Hii !! Alex  In your portfolio projects tableau video you said you are going to come up with a tableau series for viewers... Really looking forward to it :),True
@gauraavthakurr,2021-09-18T15:49:53Z,0,So it's sequel than?,True
@forestappalachia6047,2021-09-17T13:18:21Z,0,How to get a job at Jamba Juice:,True
@masoodahmed6600,2021-09-15T19:30:15Z,0,I have hearing problem should I do these type of  jobs even I have skills ?,True
@jude_frank,2021-09-15T16:43:42Z,0,"@Alex, what is this? 😂😂",True
@RijulChauhanRA,2021-09-15T04:28:56Z,0,I'll graduate Next year Should I apply for my Ms for Data science in Germany If I don't get a job In  Plz Reply,True
@timvibes,2021-09-15T03:12:51Z,0,I have a logistics degree. I want to get into Data Analytics. Should I go back to school for a data analytics degree or go to a bootcamp or earn a certificate? I have student debt from my degree. I have 6 months of call center IT experience. I like to work behind the scenes. I like working on my own with little supervision. I don't like talking to customers. I'm very detailed oriented. Please help. Thank you!,True
@art-sauce,2021-09-13T14:02:51Z,0,😭😭😂,True
@ITgirlniki,2021-09-13T09:50:25Z,1,Hahahahahahahahahahhahahaha 😂😂😂😂😂😂😂,True
@aman_jha,2021-09-12T13:29:06Z,1,I want more of these videos 😝🤣,True
@guilhermeavila9153,2021-09-11T16:47:09Z,2,"Hey alex, how are you doing? Just wanted to say that  I've  been watching lots and lots of videos from you and you've been such a HUGE helper for me on my way to get a Data analyst intern job. Thanks for the excelent work, hugs from Brazil",True
@abdulsalamakinlusi189,2021-09-10T21:53:45Z,0,"Hello Alex. As an aspiring Data Analyst, do I need to learn data structures and Algorithms? especially if I want to get into internships/Jobs at multinationals. I don't think I've ever heard you mention it.",True
@yukcoding4155,2021-09-10T14:11:49Z,0,Udacity Data analysis or Google data analysis which one ?,True
@josephgozoya7467,2021-09-10T12:48:09Z,1,I will definitely remember this video way better than I remember the portfolios😂,True
@ayobamiadeleye7295,2021-09-09T16:01:36Z,1,😂 this was nice man!,True
@dianadennis7225,2021-09-09T03:59:57Z,0,Jesus! The shirt is everything and more!,True
@thuhuongdoi,2021-09-08T20:29:16Z,0,"Ahaha, that is amazing, Alex. I love the jamba juice and the shepherd dog parts, lol. How can you connect them together in the interview? Hilarious!!! :))",True
@tnc_designer,2021-09-08T15:30:45Z,0,"Lol, Funny. I have a question though. So do I need to understand statistics to be a good data analyst? In your experience as a junior data analyst did you really work with statistical programming?",True
@techpulseai,2021-09-08T15:22:22Z,0,They have great juice 🤣🤣🤣,True
@reezndukwe9339,2021-09-08T13:49:36Z,1,This is hilarious. Alex  interviews Alex freebird... LMAO 🤣,True
@ladidada2404,2021-09-08T11:33:31Z,1,"Stooop, Alex Freebird is so fun man!!!!",True
@alexg97343,2021-09-08T03:37:53Z,2,He is overqualified lol great video,True
@LukeBarousse,2021-09-07T23:51:25Z,3,Epic!! 😂🤣😂,True
@KenJee_ds,2021-09-07T23:23:54Z,43,"""I don't think I'm getting hired because I'm TOO GOOD of a candidate"" - Alex Freebird",True
@avishekbiswas4121,2021-09-07T23:10:49Z,0,How did you land the interview when those ATS won't even accept Jesus's resume? 🤣Just be careful that PWC doesn't see this video 😅,True
@jonathanhulsey1751,2021-09-07T21:13:09Z,0,Should everything in this be taken as contraindicated?,True
@movinbutnotshakin,2021-09-07T20:24:58Z,14,"""I tried it once, but it was super confusing."" 😂😂 Laughed nonstop through this.",True
@0x007A,2021-09-07T20:21:23Z,1,"Alex Freebird, the free-spirit, interviewed by Alex, the (psycho)analyst.  You should send this video to anyone scheduled to interview with you now that you are a manager.  ;-)",True
@severtone263,2021-09-07T19:37:17Z,1,"🤣🤣🤣🤣🤣🤣🤣🤣🤣 Great laughs for my day. THANK YOU for the needed comic relief. Hey buddy .... if this analyst thing doesn't workout, let me manage your new career as a comedian. 🤣🤣🤣🤣🤣🤣🤣🤣🤣",True
@christinefreberg8176,2021-09-07T19:15:22Z,5,Does this qualify us to get free Jamba Juice for a lifetime? I mean “they got good juice”!,True
@oyindamolatomoye6520,2021-09-07T17:56:48Z,16,"To be honest Alex, I don't think anyone would answer interview questions this way unless he purposely wants to loose the opportunity.  Otherwise, funny content Alex.",True
@adnanmustafa73,2021-09-07T17:42:18Z,1,Great piece! Kept me smiling throughout.,True
