author,updated_at,like_count,text,public
@achraf2699,2021-01-04T14:53:56Z,0,thank you for this great tuto,True
@zman3222,2020-09-10T18:13:54Z,0,"For the images, can you use .tif?",True
@OmegAtlAnt,2020-07-24T15:28:01Z,3,How are you always in such a good mood?,True
@shubhpatni2123,2020-07-13T07:57:02Z,0,"is it possible to use negative and positive samples here, like Haar cascade. Can anyone help me how to do it?",True
@hardiksingh5880,2020-06-15T19:09:06Z,1,A shortcut for opening label image software-  1. pip install labelImg  2. Next give command labelImg and boom its opens,True
@sairam332,2020-04-22T17:10:01Z,1,Thanks. These videos saved a ton of my time,True
@sairam332,2020-04-22T17:09:41Z,0,Thanks. These videos saved a ton of my time,True
@kerwinsibunga4586,2020-02-26T11:52:24Z,0,Is it possible to remove other label in the pre trained model without retraining the model?,True
@JoyJulianGomes,2020-01-28T01:48:20Z,0,"Thanks for the tutorial!! just one think, in title it says tracking custom objects but all I see is detection. can anyone direct me how can i track custom objects?",True
@subramanyam2699,2020-01-07T08:06:54Z,0,There is a very very good reason to train our own custom model. I wish there was a tutorial on that..,True
@shriramgobu,2020-01-01T09:22:08Z,0,Using this incredible https://github.com/hardikvasa/google-images-download would save a loooooot of time to dload images from google,True
@lautarodapin,2019-11-12T23:57:00Z,0,maybe using selenium or pyautogui for saving it next time,True
@ankitsawant2859,2019-10-18T10:46:11Z,0,Can you do any object detection tutorial from aerial or satellite images ? Basically any idea about how to actually handle those high resolutions images and feeding it efficienctly in a deep learning model,True
@rjk368,2019-06-13T10:04:45Z,0,"Can you use fewer images, but with multiple copies of the object? 50 images containing 2 objects each is the same as 100 images containing only 1 object each, right?",True
@hamedatohamedato521,2019-06-07T19:43:05Z,6,"Folks! Installing labelImg is not difficult at all and you don't have to switch to Ubuntu if don't want to. Maybe it was difficult in past or maybe it's still difficult if you follow Github's installation instruction but there's an easy way to install it. Unlike Github's installation instruction that says to go to the link for PyQT5 and install .exe and before that you would also need to install Win10 SDK for Microsoft VS, Sip and QT, which are really pain in the butt and at the end QTCore won't be recognized, just install it through pip: pip install pyqt5. That's it guys! You saved hours of installation of different software and packages! Then, again there's a mistake in Github's installation instruction, so type this in a cmd opened in your labelImg directory: pyrcc5 -o libs/resources.py resources.qrc And finally: python labelImg.py And life is good afterwards!!",True
@4hmza,2019-04-21T14:19:16Z,0,"Great way to grab loads of images quickly is fakuh batch downloader, let's you download a full page if Google images. Also allows you to select images that you don't want etc",True
@ramirotapia2217,2019-04-03T20:08:37Z,0,Hi Can you upload a code where you use the Cifar-100 dataset ?,True
@mockingbird3809,2019-03-30T10:02:58Z,0,"Actually, I have Build a Program to Grab Images From a Given URL Link: https://github.com/harsathAI/Twitter-Bot-to-Post-Image-With-Status-On-Python/blob/master/image_scraper.py This Might Be Useful To You",True
@ankursharma1836,2019-03-22T09:37:08Z,0,"hello sir i used !export PYTHONPATH=$PYTHONPATH:`pwd`:`pwd`/slim but still getting this error Traceback (most recent call last):   File ""legacy/train.py"", line 49, in <module>     from object_detection.builders import dataset_builder ModuleNotFoundError: No module named 'object_detection'  i am  running this in google colab please help",True
@vonderart,2019-01-29T14:36:27Z,0,Something handy Chrome Extensions have a few bulk image downloaders  https://chrome.google.com/webstore/search/bulk%20image%20download?utm_source=chrome-ntp-icon&_category=extensions,True
@pial2461,2019-01-23T15:46:35Z,0,"Use chrome extension ""Fatcun Batch downloader"" to download images.Easy hack i guess!.",True
@1santyjara,2019-01-22T01:16:29Z,0,where are the labeled macaroni images  ?????,True
@multithread,2018-11-11T13:56:08Z,0,multiple classes we put all of our own objects in the same folder?,True
@garretthiggins6947,2018-09-13T17:07:18Z,0,I followed your steps but I'm getting this error at the end: QXcbConnection: Could not connect to display,True
@justchill99902,2018-09-10T15:51:22Z,2,"As @Paulo Castro rightly said,  Shortcut keys  w -Create a rect box d -Next image a -Previous image  and from me : In the LabelImg window, Go to View and then check Autosaving. BOOM! Now you can draw a box and then just press 'd' for the next image, it will automatically save the .xml files(first time it will ask the destination folder though).  PS: Another awesome speed up tip - If you are just using one class, look on the top right side. Check the option 'Use default label' and enter the one class name you want to assign. For example, 'car' if you want to detect car in every image. This way it will not ask you the label name everytime you draw a RectBox. So just draw the RectBox around the car and press 'd' for next image. This automatically saves the generated .xml file and with the one and only label you want to assign! So useful !!!  Cheers!",True
@justchill99902,2018-08-23T11:54:37Z,0,Thank you very much! :),True
@kowlaginarasimharao6141,2018-07-15T14:42:43Z,0,Is it better to have images with just the object we are looking to train or some combination of images which the object exist in the larger scene?,True
@javadbafekr7680,2018-07-05T21:48:45Z,0,"Thank you so much for your great tutorials I would like to dive into tensorflow to solve my problem, but before that, I have a general question. I am trying to recognize objects, let say Vehicle and Person, on given video files. but the thing is I need to detect just moving objects, not the still ones. I was wandering if tensorflow does have this ability to be trained to recognize just moving object? once again, thank you so much for your great videos.",True
@riyabanerjee2656,2018-07-02T22:13:20Z,0,"Hello,  Can I use the above program for Tensorflow CPU support?  When I run the code (video 6) I get the following error:  File ""/home/rao208//.local/lib/python3.5/site-packages/tensorflow/py thon/framework/errors_impl.py"", line 519, in __exist__ c_api.TF_GetCode(self.status.status)) tensorflow.python.framework.errors_impl.FailedPreconditionError: =; Is a directory  I do not know if this error is because I use Tensorflow CPU or some other reason",True
@RahulYadav-gw8il,2018-06-28T09:08:13Z,0,"how can save detected object , please help me",True
@335vampire,2018-06-23T14:10:12Z,0,when youre using paperspace do we have to redo the steps we did in the previous videos,True
@suee99,2018-06-19T06:10:07Z,0,"Sentdex great tutorial! , just curious on the training part, what if I wish to add another class let say barbecue, do I need to re-train again including the macaroni and cheese or is there any way to append the already trained data?",True
@tagleowenjasperb.87,2018-06-11T16:10:07Z,0,"good day sir, im planning to get started with this kind of project mine doing classification in the future, may i ask what are the harware and software requirements, esp. the laptop specification for this kind of project. thank you and God bless sir.Newbie here.",True
@SU-pj7cw,2018-05-07T10:34:56Z,0,How do I manage to get every possible error on this planet!!? I'm stuck on this one right now -----  RuntimeError: the PyQt4.QtCore and PyQt5.QtCore modules both wrap the QObject class  Any idea anyone? I tried uninstalling PyQt4 but the problem persists! :(,True
@jackdklee1396,2018-05-01T21:56:48Z,0,is there a way a quicker way to label - like labelling all images in a file with the same label assuming they dont need recbox around them (the object fills the whole image),True
@jacobusstrydom7017,2018-04-28T07:26:24Z,0,"Haha, I can think you had a horrible time trying to get the info, for some reason there isn't proper tutorials on this. I'm having the same issue with semantic segmentation at the moment. No matter what I do it just wont work",True
@onsb.605,2018-04-21T20:31:26Z,3,"you're going back and forth between linux and windows, this is so confusing.",True
@barakbeilin8741,2018-04-21T16:42:06Z,0,Hi sentdex . is  it possible to to re teach the network on windows? i've tried and i actually had some problem running the train.py,True
@KenCrocodile,2018-04-12T08:39:34Z,0,hi there. can you train your own model to detect specific people? for example i would use multiple images of the same person but captured with different cameras or maybe with different aspect ratios. would this work?,True
@sentdex,2018-03-31T14:37:07Z,1,"Check out the following github project for automatically downloading images from google images: https://github.com/hardikvasa/google-images-download ...should help a ton! :)  You will still want to visually inspect them to make sure they're worthy, but should save a lot of time!",True
@techiespotforyou9864,2018-03-14T04:59:46Z,0,hi sentdex i want to make customize object detection in windows 8(has no GPU) so what packages i should download,True
@ashiqks9034,2018-03-07T10:33:39Z,0,"Tensorflow version in paperspace is 1.1. Could anyone help me how to upgrade it to 1.4 or more , i tried pip3 install --upgrade tensorflow-gpu but it didn't work.",True
@cryptomustache9921,2018-02-25T15:13:18Z,0,"Mining those crypto currencies like mad. Nice job bro. Knowledge == Money. This era is the best one, for really smart people. Thanks to you I become a millionaire. I wrote you 2 years ago on e-mail. Thanks for everything. Angels like you make this world a better place.   Keep rocking.",True
@eiriksiljan2905,2018-02-23T14:05:29Z,6,Please stick to windows for the entirety of a tutorial x) Makes it really hard to troubleshoot when you switch OS :P Edit: Especially for a noob just getting into image classification and python programming.,True
@yixunnnn,2018-02-22T07:49:15Z,0,What is the point of labelling all the images? Wont the neural network be able to find and classify the macncheese?,True
@mohithdamarapati5717,2018-02-19T10:14:23Z,0,"I rain train.py finally,  like this - python train.py --logtostderr --train_dir=training/ --pipeline_config_path=training/ssd_mobilenet_v1_pets.config  Error: Traceback (most recent call last):   File ""train.py"", line 169, in <module>     tf.app.run()   File ""/home/mohith/miniconda2/lib/python2.7/site-packages/tensorflow/python/platform/app.py"", line 48, in run     _sys.exit(main(_sys.argv[:1] + flags_passthrough))   File ""train.py"", line 165, in main     worker_job_name, is_chief, FLAGS.train_dir)   File ""/home/mohith/TF_OD_API/models/research/object_detection/trainer.py"", line 235, in train     train_config.prefetch_queue_capacity, data_augmentation_options)   File ""/home/mohith/TF_OD_API/models/research/object_detection/trainer.py"", line 59, in create_input_queue     tensor_dict = create_tensor_dict_fn()   File ""train.py"", line 122, in get_next     worker_index=FLAGS.task)).get_next()   File ""/home/mohith/TF_OD_API/models/research/object_detection/builders/dataset_builder.py"", line 140, in build     label_map_proto_file=label_map_proto_file) TypeError: __init__() got an unexpected keyword argument 'instance_mask_type'  Can anyone please solve it?",True
@mokera3801,2018-02-17T11:12:19Z,0,Why Linux???? I thought it's going to be in windows????????,True
@julianfernandomancerarozo2675,2018-02-14T00:05:17Z,0,"You are so Smarth, , but mainly good teaching  , thanks",True
@chiviado,2018-02-08T10:11:07Z,0,Is it possible to run the script without having it inserted in the object_detection folder?,True
@MrDiegoaz3,2018-02-06T16:34:00Z,2,Why your first two tutorials are in windows and then on Linux.. ZzZZz,True
@mahathirmonjur9708,2018-02-05T05:58:57Z,0,can i change this code so that i can detect round-shaped objects? please anyone let me know..Thanks,True
@planktonfun1,2018-01-21T15:25:48Z,54,shortcut keys  w -Create a rect box d -Next image a -Previous image,True
@planktonfun1,2018-01-21T15:20:47Z,0,I envy that internet speed,True
@chrisdahms9682,2018-01-14T17:52:09Z,1,"Curious as to your decision to use Windows for the first 2 vids in this series, then switch to Ubuntu for the last 4.  Is it b/c getting labelImg to run on Windows is problematic?",True
@adagio29200,2018-01-02T18:00:32Z,0,"hi, can we just enrich (customize) ssd_mobilenet_v1_feature_extractor model by our own object . Not to restart model from scratch .Thanks for reply",True
@rahulraina711,2017-12-21T16:36:06Z,0,used could have used python webCrawler program to download any number of images with what ever the name u want,True
@Ryan-sw4ti,2017-12-20T11:06:38Z,0,What if want to to detect a person even when only some parts like hands or upper half body of a person is visible? Do I have to label the image by parts (person label but drawing squares on different parts) or just select the whole image and label it as a person?,True
@simonw.3169,2017-12-20T09:59:52Z,0,"At 3:52, I knew there was no way you were going to say macaroni and cheese, given the thumbnails of the other videos in this playlist. I was wrong. You said macaroni and cheese. 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",True
@deletesobaka,2017-12-10T00:33:34Z,1,"Gosh, there is an Image-Net which has huge collection of labeled images, which you can download right away.",True
@sohommukherjee7920,2017-12-09T07:28:49Z,0,Thanks a ton sentdex! Your turorials really help me so much...,True
@kaushikprakashrobotics,2017-12-04T00:48:28Z,0,Thank you so much for these tutorials! It's amazing how much I can understand from your videos.,True
@camilaorantes563,2017-11-28T06:26:38Z,0,I downloaded 200 images and labalimg only lets me edit 22 of them... is it the size? Help please!!,True
@arfyanr,2017-11-26T16:48:40Z,0,is it possible use opencv with tf to differentiate one person to another? for example it will know if it was me not only as a person etc.,True
@vivekkalyanarangan9629,2017-11-20T15:16:51Z,26,There is a dope chrome plugin called Fatkun that batch downloads image (you have the option of selecting which ones as well). Hope that helps!,True
@mehmetsoydas5896,2017-11-01T09:28:45Z,1,"@sentdex hello thank you for the tutorials, i wonder do you know how data augmentation is done with ssd method? I mean it has to have xml files of all images. If i want to augment my data with flipping horizontally and mirroring, will i have to label all augmented data as before we did? Think about i will do augmentation with flipping all images 15 degree horizontally and mirror them both horizontal and vertical. This means my data will be 96 times augmented and labeling all of them will be so tiring process :D what will be your suggestion for augmentation, are there any easy way to do this? Thanks again.",True
@TaewooKim,2017-10-22T19:42:46Z,3,PSA: labelimg.exe (windows) version of labelimg) has malware / backdoor trojan - https://www.virustotal.com/#/file/7111532720254e72f53441b0e9854eb851b2d9a6871e11568fb3cfce28fba7f8/detection,True
@boredgaming91,2017-10-05T05:14:21Z,0,What if i download the images and label them as u did and then use that as my datset to train the model from scratch(no gpu) and if thats a sucess then keep adding new objects slowly slowly as i am from india alot of objects are not recognized in my videos basic stuff are being recodnized. If this is correct then plzz comment..,True
@JordanShackelford,2017-10-04T04:48:26Z,0,I'm using this to train a network to recognize league of legends champions lol,True
