author,updated_at,like_count,text,public
@arturosilva3236,2022-10-13T07:04:58Z,0,Do you need to have a lot of math ?,True
@michaelcoxfitness6089,2021-06-15T07:22:40Z,0,"I was wanting to ask, can you do part time work to begin? I work in a position now that I enjoy but at some point want a job that still is challenging.   Are you a sports fan? just heard you say non-data analyst questions lol.",True
@bane2256,2020-12-06T00:34:24Z,1,"I’m struggling with python in terms of finding a quality course that fits my learning style.   How deep do I have to go into python to become a data analyst? Would a data analysis with python course on Udemy be sufficient, or do I have to do a full python boot camp?",True
@osito9810,2020-11-30T12:40:37Z,1,"Hi Alex, hope you're well, thank you for your video, It help me to keep motivate, learn new things and to be aware of the Data analytics field.  I couldn't be present at the Q/A , so I would like to know if you work only in English? The second question is if you're learning some languages ?",True
@remek5758,2020-11-30T11:30:45Z,1,"Have you ever consider creating your own udemy courses, based od what you have learned and what you faced when working as a DA?",True
@dangduy1806,2020-11-29T01:09:51Z,1,I missed this again :( I really want to ask you that why we have to learn both SQL and Python for data analytics? Could we focus on Python only? Thanks,True
@CookWithMeldz,2020-11-28T20:33:32Z,2,I can't believe I missed this! Replaying it now with my morning coffee 😀 Ps. Our Christmas tree looks very similar to yours and I think we have the same fireplace video in the background.,True
@sektebuburgoreng218,2020-11-28T10:58:42Z,1,56:44  Thank You Alex for your input 🙏. Yes the way i asked it was waay confusing. But you got the point right 😁,True
@kennylaikl299,2020-11-28T08:39:46Z,3,"Hi Alex, can you recommend an ETL course (free/paid)?",True
@Heisenberg08,2020-11-28T05:48:35Z,1,Hello,True
