author,updated_at,like_count,text,public
@aroraji9966,2020-06-09T16:06:21Z,0,"I am an engineer but have experience in completely different fields , more importantly non technical fields. I want to build a career in data. From which video of yours should I start And to get the most basic job in data , what all should I learn first ?",True
@varungowda2886,2020-06-07T15:05:33Z,0,Where should I apply job is it best in LinkedIn or naukri,True
@gypsymonkey60,2020-06-06T13:41:54Z,1,i have one question I am from non technical background and  want be business analyst so how a company is going  to look at my profile after getting necessary certification please reply,True
@abhishekbordoloi9923,2020-06-06T13:04:02Z,1,"Hello Krish, Can you make a video on how to efficiently walk through Documentation of any new library and implement and extract the most out of it",True
@himanshuprajesh1622,2020-06-06T09:40:44Z,7,You are the reason why i am pursuing data science field  Can't thank you enough. All the data you provide is top notch. I have read books but your videos contain all the relevant Information to get into this field.,True
@ravitutika1204,2020-06-06T08:32:21Z,2,Hey Krishna in data science or any BI Platform Domain knowledge is very important can you Please suggest any channel for this to understand,True
@shivamsharma3399,2020-06-06T06:48:22Z,2,"Sir, i have been practicing my data science projects on R for a long while, like sentiment analysis, ML projects, forecasting. So should I continue working with R or start learning python.",True
@rohitkamble8515,2020-06-06T06:20:50Z,1,Thank you sir...For sharing your experience..It's a really motivational talk...  Thank you..  Krish sir for arranging such a motivational talk.,True
@mihirbindal4012,2020-06-06T05:35:57Z,2,I am doing a project on sentiment analysis where my code takes a hashtag as the input and then shows the outputs in form of plots. How can I convert these plots in API format so I can deploy them?,True
@akhileshtrivedi7120,2020-06-06T04:21:27Z,1,This is a booster...,True
@siddarthraj8688,2020-06-06T04:10:11Z,1,Its really great job for fresher's sir Can you please tell how to post project in github and get link  And where we sholud apply jobs  sir,True
@MrMadhukarAnand,2020-06-06T03:56:10Z,5,Be disciplined because every time you can not be motivated.,True
@sachinborgave8094,2020-06-06T03:40:16Z,1,Is there any whatsapp group for this ?,True
@devbaghel4251,2020-06-06T03:36:03Z,1,Sir I have some doubts where can I ask to you? Please let me know,True
