author,updated_at,like_count,text,public
@krishnaik06,2019-09-10T14:53:34Z,2,https://jobs.zealpath.com/jqg3ayc,True
@sharjil286,2023-08-09T17:52:57Z,0,There is a fart noise at 5:06 - 5:08. It just burst me laughing :D,True
@marcelo2006v,2020-12-18T11:27:37Z,10,"Hi, is there a part 4? during the video you always say you will show how to get to top 100, but you finished the series at top 1880.",True
@aftabanjum7195,2020-11-18T10:14:27Z,0,"hi Krish , how someone can become a member of your youtube channel if someone is outside of India because the join button is not showing beside your youtube channel subscribe button.",True
@LikhithaH,2020-09-23T10:27:01Z,0,"Hi sir I was doing the same project from part 1 to 3 I have followed everything I got a error and I dont know what to do sir I have tried different things none of them are working sir the code thats giving me error : # Adding the input layer and the first hidden layer classifier.add(Dense(output_dim =  50 , init = 'he_uniform',activation='relu',input_dim = 174))  # Adding the second hidden layer classifier.add(Dense(output_dim = 25, init = 'he_uniform',activation='relu'))  # Adding the third hidden layer classifier.add(Dense(output_dim = 50, init = 'he_uniform',activation='relu')) # Adding the output layer classifier.add(Dense(output_dim = 1 , init = 'he_uniform'))  the error is:  __init__() missing 1 required positional argument: 'units'  please do help me out sir thank you  Likhitha",True
@macmac2478,2020-09-11T16:46:46Z,0,Happy to see your video dude.,True
@vinitgalgali8856,2020-08-16T08:24:26Z,0,"hello krish, Can you please upload a video of performing hyperparameter tuning for ANN.................for this dataset",True
@mohan5867,2020-06-25T15:39:19Z,1,Sir kindly perform hyper parameter tuning on this.....  waiting for the video,True
@ManishSharma-wy2py,2020-06-01T05:05:39Z,1,"HI krish, is there any technique to select the  no. of neurons  and hidden layers?",True
@gauravsahani2499,2020-05-19T11:52:27Z,1,"i tried using ANN, but the val_Loss is not at all going below 30k!,what could i do?",True
@indranilpaul8328,2020-03-23T15:26:23Z,1,2000 odd rank out of 4500 people!!....WAH! ...Aap toh ghatia se ghatia nikle!,True
@abhishekshah7445,2020-03-20T10:07:46Z,3,5:07 did i hear a fart,True
@abhishekkumarsingh7352,2020-02-27T14:11:43Z,0,"Thank you so much sir . The way you are showing how to solve Kaggle problem .it’s awsome , tremendous . Making me one step ahead . Again thanks",True
@muzamilshah8028,2019-10-29T08:29:59Z,0,Deep learning for house price prediction sounds not good but any ways nice,True
@vishnuvikas7770,2019-09-29T19:17:38Z,1,"Hi , Just curious why did you go with ANN instead of trying statistical analysis. Can you please explain .",True
@nitishsawant5893,2019-09-27T12:09:24Z,0,Can we use PCA before implementing ANN model?,True
@uttamchoudhary5229,2019-09-12T08:12:08Z,1,"@krish naik,Can u upload a video for generalized steps involved to  tackle any kaggle competition . Like feature engineering ,how to handle categorical and numerical variable , feature extraction ,etc.",True
@nityanandapal9738,2019-09-11T04:37:05Z,1,"Sir ji, please please make more videos for ML deployment...you uploaded few videos but you said that you would upload more videos, please continue the process... don't Stop the process.... please please....",True
@teja2775,2019-09-11T02:31:06Z,1,Use in between layers batch normalisation and dropouts may improve some more,True
@vishalshukla2happy,2019-09-10T20:36:41Z,0,"I had already given Trivago hits challenge 4 Months back. I don""t know what they are searching for. Let me know your RMSE value once you get. None of my friends or my task has been selected for this.",True
@zeealwaysshan,2019-09-10T20:08:44Z,1,"Krish bhai try to explain your code thoroughly, if possible. Thank you for this playlist i was eagerly waiting for it.",True
@ab6775,2019-09-10T17:10:59Z,4,Thank you so much for telling about trivago competition.Will surely participate.Hope you will make video soon too on getting data science jobs abroad 🙂,True
@sahayaajay7684,2019-09-10T16:41:47Z,3,How to scrape a data from website?please make a video for that,True
@beginner6715,2019-09-10T16:36:54Z,0,People copy each others code to increase their ranking. Your ranking must fluctuate.,True
@statsbyindian3842,2019-09-10T15:31:25Z,7,hi..can u make more videos on feature engineering techniques for diffrent kinds of data.?,True
@sachinborgave8094,2019-09-10T15:14:35Z,2,Neural network and Artificial neural network both are same or different?,True
@rishisharma5249,2019-09-10T14:50:52Z,1,Plz mention the link of trivgo thing in description.,True
@simanchalpatnaik2566,2019-09-10T14:30:24Z,3,Please make a video on GitHub...How to use it..,True
@sachinmbennehalli8246,2019-09-10T14:26:07Z,4,"Hi, i have sent you some questions in insta, can you go through it and help me, waiting for your reply",True
