author,updated_at,like_count,text,public
@LukeBarousse,2021-11-15T15:49:35Z,18,Where do you usually go to collect data for your data science projects? 👨🏼‍💻📊🤖📈,True
@arthemos4627,2024-01-21T12:05:41Z,0,Did you find a way to overcome the 1000/2500 search limit?,True
@PradeepReddy-vm1be,2023-10-23T12:00:24Z,1,Hie bro i luved ur work. Am trying to collect jobs data but it got lot issues. Can you help me out with your git repo,True
@Cowwy,2023-09-07T20:05:43Z,1,I am learning about web scrapping now to tackle this project. I really love how you laid out your thought process and share with us the legality of web scrapping.  Have you done any more job scrapping since this video?,True
@sitaramkakumanu,2023-09-04T14:36:30Z,1,Very Nice video Luke.. I think the bot is logging at a regular period every time every day. how about creating a random time generator at a 1 hr window time so that they can't detect?,True
@marlonlozada3048,2023-07-13T19:40:55Z,1,great video and explanation of your process and pains!,True
@YMuhammadyusuf,2023-05-18T04:12:03Z,0,"hey, may linkedIn block my account if I do web scrapping in this way?",True
@pght95,2023-05-02T00:59:42Z,1,by any chance did you share your code on GitHub or somewhere else?,True
@fantasdeck,2023-02-26T23:08:51Z,0,"Dude, you can use Selenium to automate the creation of burner accounts. But, it's involved, and you need to scrape burner phone numbers for the SMS verification and have a way to mask a dummy email address.",True
@vectoralphaAI,2023-02-26T19:35:42Z,0,At least your IP wasnt banned.,True
@ramiboy_y2049,2023-02-04T05:23:18Z,0,I need the next part of the video. Or maybe someone has used scraperapi I really need that data from linkedin.,True
@MikeD-qx1kr,2023-01-22T15:53:44Z,0,"Love scraping, but I dont think that not being logging in will somehow void their TOS. The thing is that data available to see on a website without a log in, might be still protected by some law.",True
@bboyExia,2023-01-12T00:46:33Z,0,I felt this. I usually stay away from scrapping nowadays. And pray to god there's some api or third party unofficial api for data. Cant be bother to invest in creating something crawl only for it get banned or ip hit. Theres another comment on admins hating crawlers. So theres that too.,True
@mahdali6517,2022-12-31T02:28:42Z,0,THanks for sharing the awesome information but I was hoping you would take one project from the start to the finish .,True
@anirbanpatra3017,2022-12-30T16:22:20Z,0,Let Me Give You a Tip.Use Undetected Chromedriver as your webdriver in Selenium. Still You should use all the ways to avoid detection.,True
@TechNetworkz,2022-12-14T01:23:37Z,1,where i can get the watch bro,True
