author,updated_at,like_count,text,public
@user-g19,2024-05-13T03:39:43Z,0,❤❤,True
@asantedetopdealer,2024-04-16T18:10:12Z,0,great content,True
@mayankkumar6628,2024-04-11T03:06:02Z,1,can someone please tell me about any of the available alternatives of the python preview it works no more its discontinued idk why,True
@dries59dep,2024-04-01T21:33:03Z,0,python preview is deprecated : but do you still use it (or is it still usable ?) / Do you have alternatives ?,True
@carbon3630,2024-03-09T18:03:26Z,1,Thanks a lot. Whenever i see ur video i just get to know about something very useful.thanks a lot.,True
@derto8i271,2023-10-12T14:52:33Z,3,Kite is not longer available. Since 2021 they have stopped working on that,True
@izainonline,2023-09-06T22:05:59Z,1,Need help I'm in 2023 and using windows 8.1 64bit but I'm new to visual studio and want to work on Vs code for chatbot using python. I found Ur video for older version of Vs code I think  this version  can install but windows stop supporting windows 8 and lower version from Jan 2023. Please suggest any one can I still work for chatbot coding on older version,True
@izainonline,2023-09-06T22:03:58Z,0,What version of Vs code u have installed,True
@sachink9102,2023-07-14T12:07:53Z,0,"sir,  for Autoformat please suggest a extention",True
@alqods80,2023-05-02T12:12:35Z,0,Seems like arepl and python preview do the same thing,True
@Gh0sTG0,2023-03-09T18:38:26Z,0,Hi! Looks like Kite is down from development in nov22. Do you still use it? Or you migrated to something?,True
@karanjadavid2178,2023-02-23T15:47:19Z,0,Kite no longer there. Is tabline a good alternative?,True
@ayodelayakinpeloummy880,2023-02-07T16:48:21Z,0,"pls, the kernel in my jupyter notebook used to stop by itself and i have not been able to complete any project in two weeks now,i am planning of using vs code which i doubt is as seamless as jupyter notebook. pls while I am planning to use vs code, what do you suggest as the solution",True
@xINuke13,2023-01-24T22:40:10Z,0,"Have you found any replacement for ""Python Preview""? As of 1/24/23 it has been deprecated.",True
@shubhrmodh2099,2022-12-27T08:30:39Z,1,As now day kite AI software stopped build,True
@Cloud-Radio,2022-12-21T12:51:23Z,0,python preview seems to be very close to thonny IDE that helps in visualization of code as well.,True
@simplestep5449,2022-11-19T00:43:12Z,1,whi icant find the kite one?,True
@ralfschenke7788,2022-10-29T07:02:47Z,5,Great video! Extremely helpful. Is there any alternative to python preview which has been depreciated?,True
@badgood8477,2022-10-20T14:06:59Z,0,Kite extension is now unavailable,True
@karimkarim1486,2022-10-18T20:01:09Z,0,i see that number of people who downloaded microsoft python is doubled .wow,True
@jpryding,2022-10-13T08:26:25Z,3,"Newbie programmer here. Just finished CS50P and about to do my first project. Some amazing extensions that I will definitely use,  Preview in particular looks awesome. Thanks!",True
@akashgillella,2022-09-08T10:27:10Z,0,Nice useful video. Thanks,True
@sudarshanmhaisdhune1039,2022-08-27T05:45:09Z,0,Python preview extension is deprecated now!,True
@dariuszspiewak5624,2022-08-12T01:14:37Z,1,Python Preview is no longer maintained :( This extension is deprecated.,True
@saimanohar3363,2022-07-07T16:20:29Z,0,Very good extensions Krish. Thank you. Could you please talk about snippets. Thank you,True
@chandrahaasvemula7251,2022-06-23T06:49:42Z,0,is there a java preview like python preview???,True
@trelandon,2022-06-16T06:00:09Z,1,Thanks for this information,True
@nikhilbelure,2022-05-27T08:57:09Z,1,"Thanks Krish, this will save lot time while coding!!",True
@allanmathews2093,2022-05-23T14:27:13Z,0,Thank you Krish,True
@alexisdejesusmoroscampuzan45,2022-05-01T17:06:43Z,0,Many thanks!,True
@coronaklledmebot4856,2022-04-27T16:29:59Z,0,thanks bhaiya :),True
@inayatullah5576,2022-04-03T14:04:44Z,0,Good information i appropriate you ❤❤,True
@blendypaffy,2022-03-12T21:28:47Z,0,"why you try to type something, you get a suggestion or a hint what is that, is that an extension or what is it?",True
@klipkon1941,2022-03-09T12:04:28Z,2,Thank you so much! Do you know if there is a way to visualize graphs/figures inside the IDE (like in Spyder)? Its annoying when they open in new windows when I'm using full screen. Thanks again!!,True
@sumitkumar-jn8he,2022-02-03T09:49:26Z,0,Nice,True
@AngelRomero-fz1sy,2021-12-24T23:48:48Z,3,"Great video,  thanks a lot 🙏  With this information now I'm able to understand better python and also extensions",True
