author,updated_at,like_count,text,public
@bp8beatz,2022-01-08T02:16:19Z,0,github? what,True
@prajwalsolanke5690,2022-01-07T14:36:42Z,0,hardwork pays off always......,True
@rameshbabu6327,2022-01-07T06:48:27Z,0,"Congratulations , you deserve and more and more 💐",True
@bhagyashritupsakhare4017,2022-01-07T04:30:28Z,0,That's not Teddy bear...,True
@monikaverma4599,2022-01-06T11:10:36Z,1,Congrats Krish.,True
@harshavardhansvlkkb2290,2022-01-06T06:22:53Z,1,"Congratulations sir, and u got winter pack ⭐ from git hub 😁",True
@sumanyaliwal5883,2022-01-06T06:02:03Z,1,well deserved Krish Naik :) Many more to goooooooooooooo,True
@abynavavaya9761,2022-01-06T04:08:47Z,1,Congratulations!!,True
@missiona7308,2022-01-06T02:57:18Z,1,"Congratulation Krish, You also provide quality content on YouTube!",True
@sanjivmohanty8399,2022-01-06T00:36:32Z,1,Congrts Krish... You are really a star.,True
@fayyozusmon76,2022-01-05T21:46:22Z,1,Congratulations 👍👍👍,True
@mariajosemorteruiz5106,2022-01-05T19:28:21Z,1,"Help   Good first, thank you for your publications and for your tutorials, and for the award you just received. I wanted to ask you the favor if you can activate the subtitles on YouTube and if possible in Spanish. I follow you but it costs me a bit and I have to slow down and it would be very useful. Thank you very much in advance, I await your reply.",True
@prathameshshete2716,2022-01-05T19:16:08Z,1,Is really hard to get job to intermediate skills in data science if you don't have completed course from respected institute ???,True
@antibioticsOfWorld,2022-01-05T17:34:35Z,1,Amazing ..u r inspiring 😎,True
@yashodhansatellite1,2022-01-05T17:28:06Z,1,krish deserves all this. Hats off to your efforts.. waiting for more awards to you from python and DS community,True
@ranjit9427,2022-01-05T16:27:21Z,2,Now i'll  make my New year Resolution to Make Open Source Contributions and maybe Win a Github Star Award also.,True
@mohammedzia1015,2022-01-05T16:26:32Z,7,Congrats Krish!! What are the Open source projects to which you have contributed? Can you explain them and teach us how we can also contribute?,True
@muthierry1,2022-01-05T16:05:12Z,2,"You highly  deserve it Sir.  Thank you again for your inspiration and contribution , i have learn so much from you . Respect to you Sir ..",True
@ouedraogoaboubakari6538,2022-01-05T15:25:28Z,2,Congratulation. We keep Moving forward via your Channel,True
@ksaha6387,2022-01-05T14:52:21Z,1,I think those are probably cuff links not ear rings! 😁,True
@agastheeshwaranarunachalam3034,2022-01-05T14:26:03Z,1,Many more to come sir,True
@20-aman81,2022-01-05T14:22:16Z,2,*Yah GitHub ka style hai babu bhaiya* 😍😍😂😂,True
@20-aman81,2022-01-05T14:18:06Z,1,Congo,True
@ArunKumar_237,2022-01-05T14:14:54Z,1,congratulations sir,True
@architamukherjee,2022-01-05T14:12:53Z,1,congratulations!! sir,True
@mnjogin,2022-01-05T14:10:39Z,1,congrats,True
@rakeshpal8461,2022-01-05T13:54:34Z,1,Congratulations Sir 🎈🎈,True
@jinks3669,2022-01-05T13:46:05Z,5,Sir you deserve every bit of this award. Hopefully I become like you soon ✨🙏 Naman to your dillegence Sir.  Jai Shree Ram,True
@geetify_glam,2022-01-05T13:44:31Z,2,Sir.. please i want to come at your office. Give me sticker nd teddy bear too ....😍😍😍😍🤣🤣🤣🤣i want to get this too please tell me how can i get...🤩🤩🤩🤩🤣,True
@aarizmobin4487,2022-01-05T13:40:02Z,2,Congratulation krish... You deserve it and more than that..,True
@sarankumar2629,2022-01-05T13:17:29Z,2,Congrats Krish !! You are an Inspiration for many dreamers 🤠🤯,True
@VikramSingh-qg3nh,2022-01-05T13:13:08Z,15,"""my parennts wil definately scold me"" 😄😍",True
@AashishSahu.9,2022-01-05T13:07:27Z,1,congrts man,True
@mohamedaminemahmoudi531,2022-01-05T12:59:22Z,0,You deserve it.,True
@swapnilharsur3082,2022-01-05T12:54:48Z,1,Congo brother,True
@user-ln6ol8yy6q,2022-01-05T12:53:29Z,2,Congratulations sir ! You really deserve this gift ! You're a good educator ! My salutations to you from Morocco !,True
@drsheemu,2022-01-05T12:52:52Z,2,Congratulations sir...,True
@kathansoni4050,2022-01-05T12:49:41Z,2,Congrats sir!!,True
@Pooja-we3xs,2022-01-05T12:48:42Z,1,congratulations sir,True
@siddharthsarafexplorer,2022-01-05T12:48:29Z,1,congratulations 🎊🎉,True
@RealOne697,2022-01-05T12:46:05Z,2,Congrats 👏,True
@junaidrizvi9884,2022-01-05T12:44:57Z,2,Many many congratulation Krish sir.,True
@obsaa7259,2022-01-05T12:42:44Z,2,Congrats!!,True
@manishsinghpatel9128,2022-01-05T12:42:30Z,3,Wohooo congratulations🎉🥳 😇Inspiring,True
@namratakasina1835,2022-01-05T12:39:49Z,2,Hearty congratulations sir 🙌,True
@damabalaji3569,2022-01-05T12:39:05Z,1,Congrats sir,True
@deeprajvadhwane9208,2022-01-05T12:38:45Z,1,Congratulations sir,True
@gauravpatil2926,2022-01-05T12:38:44Z,1,Give away comming soon..😜😜😄😄 #FingersCrossed☺,True
@bhargavikoti4208,2022-01-05T12:38:31Z,1,Congratulations and celebrations😀😀🎉,True
@prakashdalvi9598,2022-01-05T12:35:01Z,1,Congratulations sir,True
@aakashpal0777,2022-01-05T12:34:38Z,1,Great Sir,True
