author,updated_at,like_count,text,public
@abu297,2023-01-15T18:35:33Z,0,Thanks,True
@thehungmai686,2021-09-10T13:56:28Z,0,"Hopefully, you will do about animated function in matplotlib. I thank you very much !",True
@danielniels22,2021-04-14T03:51:16Z,0,"hello, thanks for the series. But i haven't started yet. I'd like to do marathon of these tutorials. But i'd like to know if this tutorial are still relevant? Because it's almost 6 years ago",True
@alikasim935,2020-11-03T14:00:52Z,0,thanku sirji . u r really helpful.,True
@pranavarora2511,2020-10-19T08:46:22Z,0,Thanks for the videos. Really helped a lot!!! Thanks!!😊,True
@mohammadrezapourtorkan8595,2020-06-27T21:50:02Z,0,Thanks a lot for this series. I'm really happy I could find your channel. Keep it up :),True
@tarikcanli3647,2020-05-28T18:01:04Z,0,"Otherwise, as always  Thanks For This Tutorial Series :D Now if you let me i am going to start this https://www.youtube.com/watch?v=nLw1RNvfElg",True
@theduffrichie2050,2020-05-21T17:51:08Z,0,you made it  like a cake walk ........... thanks  <3 <3,True
@patricialouise9140,2020-04-16T08:33:48Z,0,"thank you for the tutorials! along with the follow along method, your clear explanation helped in grasping the concepts.",True
@marco.nascimento,2019-09-28T05:44:24Z,0,"Awesome series, really helpful <3",True
@rajo9209,2019-09-24T05:21:45Z,0,"Great Videos. Would u please create a video on ""how to export matplotlib plots to Excel sheet along with data""",True
@balipavankalyan5008,2019-05-15T08:45:07Z,0,if any one want to learn maplotlib pleae fallow this tutorial :-),True
@balipavankalyan5008,2019-05-15T08:43:42Z,0,"Thanks for all the tutorial, iwas really enjoyed ur tutorial and learned a lot tqqqqqqqqqq",True
@francescodallevedove5018,2019-03-09T15:29:55Z,0,+sentdex thank you for this cool series! I have a question for you: I know it's possible to set plots so that you right click on them and copy data and then paste these data in an excel file. Is there any easy method to do this or it requires some complex scripting. I know it's possible because once I had to use an .exe written in Python which allowed to do so. I looked a lot in google but found nothing. Thank you in advance.,True
@nimazsheik5152,2018-12-24T18:20:48Z,0,"Thanks a lot  for this tutorial @sentdex . It was really helpful, next stop 'Pandas Data Analysis' by none other than sentdex :D",True
@kamilziemian995,2018-05-03T21:54:44Z,2,"Thank you for all you tutorials. This is the first that I end.  Python and it ecosystem developer quit fast, so I will watch for new material.",True
@kamilziemian995,2018-05-03T19:18:57Z,1,"I think that title of video should be ""Matplotlib Tutorial 32 - Conclusion"". But these is minor detail.",True
@charlotte151996,2018-04-10T08:15:46Z,3,Thank you very much for this delight series about Matplotlib. They were very usefull,True
@vhoramuiz,2018-01-26T06:55:22Z,1,Thank you. Your tutorials are a wonderful source of self-learning.,True
@ClaudePlouffe,2017-11-15T01:53:51Z,2,I am impressed by you teaching skill.  Thanks a lot.,True
@emileogier,2017-10-25T14:10:50Z,1,Thanks for the education and your efforts!,True
@dakkumar,2017-09-14T23:39:09Z,1,Excellent tutorials +sentdex. Loved them!,True
@MrDnzrsln,2017-07-12T12:11:01Z,3,"Thanks for all the tutorials, that was great fun to practice with them",True
@avatarkovuk,2016-11-15T05:33:43Z,22,"I am trying to get a masters degree in aerospace engineering and will use matplotlib to plot some of the data I have, and if I do actually graduate, would you like to be mentioned in my thesis as sentdex or something else? so easy to follow and so easy to understand, thanks a lot dude, you teach better than education degree people",True
@MrBigmit37,2016-10-03T22:37:13Z,4,Thanks for the hard work.,True
@RealMcDudu,2016-06-25T12:01:08Z,0,"Nice series.  I would a few videos to cover stuff like contour, which is helpful in visualizing optimizations (something that can help understand stuff in Machine Learning like SVM's and NN's).",True
@owsmyr,2015-10-21T02:38:57Z,2,Awesome videos! Could you make one about regressions ?,True
@MsLemons12,2015-09-22T16:35:33Z,0,"Hey, sorry to bother you again  Your tutorials and advice have been excellent, but I've got one unanswered question remaining!  How would I set a date axis to only display 24 hours of live data at a time?  I have a chart that I am plotting  and I would like the x axis to remain a 24 hour or 1 day time frame and shift the data to the left out of frame.",True
@ElAnill0,2015-09-19T12:02:51Z,0,"Hi, sorry to ask something not so relates to the topic. In my high school we are trying to visualize langstons ant, and my friends use c to visualize the iterative process. Is there any way i can use python and maplot to do it as well?",True
@AldiGjoka,2015-08-10T19:06:30Z,0,"Hi sentdex , Is it possible to add a button to the navigation toolbar and this button would mimic pan/zoom except limit it to the X-Axis only? and then is it possible to add a scrollbar so one can scroll through the graph in the x axis direction?",True
@colingnohz2403,2015-07-27T16:58:48Z,1,the marvelous tutorial! Thanks!,True
@iceslim01,2015-07-16T13:11:42Z,0,"Hey man I watched some of your videos but I haven't watched all of the matplotlib ones. Was wondering if you knew a way to easily poll for the current day's OHLCV data, at any time during the actual open trading session. What I've been doing is downloading the yahoo 1d, putting each line into the array, adding all the volumes together, then writing the OHLC data plus the combined volume to the last line of a file, but it's INSANE slow, like 30+ minutes for 5000 tickers. I'm using the pandas get_data_yahoo and matplotlib and yahoo_historical in some other ways but they also only seem to get data from yesterday and backwards. Any ideas?",True
@2raddude,2015-07-12T02:49:42Z,0,Did you mean to publish 32 videos at once?,True
