author,updated_at,like_count,text,public
@almaisakinudungsalsabila9590,2024-05-07T05:25:30Z,0,Data Analyst vs Business Analyst | Which Is Right For You?,True
@diceymaan,2024-04-07T21:36:44Z,0,"For you who are googling for this and get hinged on the salary, it's good to remember that these are mostly US salary levels. For example, in Switzerland, a Business Analyst & Data Analyst make the same salary from junior through to mid, but in senior the Business Analyst is actually earning more. So, check out stuff like that depending on where you live, because this has a lot to do with demand and supply. Some countries have more business analysts and some more data analysts, though at the end of the day, these are in demand in most countries and you'll probably make a really good earning.",True
@banksofnoon7867,2024-04-04T19:27:38Z,0,"Regarding the technical skill, it depends on the school you go to. If you look at the curriculum offered by schools like NYU or WashU, you need to learn both R and Python as well as business courses (Accounting, Operation and/or Finance) for their Business Analytic major.",True
@smfuad19,2023-10-12T05:37:59Z,0,Thank you Alex for your nice information. Many many good wishes to you.,True
@im4485,2023-09-01T21:01:32Z,0,"It almost feels like a data analyst can do whatever the business analyst is doing, no?",True
@duy_kale,2023-08-22T19:49:23Z,0,"You're awesome, thanks for your valued sharing",True
@Dikebuka,2023-08-18T14:00:40Z,0,Is a chartered accountant suitable for a business analytics course?,True
@shermanngjazz,2023-08-07T00:44:28Z,0,"I'm conflicted on whether I should get a masters degree on data science or business analytics, since I graduated last year in data science for my undergrad but worked with business analytics in some sports teams right after graduation.",True
@jonbonhoagie5202,2023-07-26T02:35:10Z,0,"Salary range for BA seems low. 100K plus isn’t uncommon in certain domains, such as pharma.",True
@bhagyapiyumi8298,2023-06-29T03:18:23Z,0,Is there possible to become a business analyst after doing a degree in management and information technology??,True
@denisal5324,2023-06-28T10:43:54Z,0,"Well, you don't always have to have a degree to get into analytics. Talking from my experience :)",True
@BsmLy,2023-06-25T01:13:51Z,0,"then, what is the predictive businuse anyalyist ?! is it a data scientist ?",True
@dragoneer121,2023-06-20T01:30:13Z,0,This is so totally different to waht my university taught as business analyst work. They focused entirely on the soft skill side,True
@acousticalien,2023-05-31T03:31:24Z,0,I want to be a business analyst but I can only find a data analyst internship. Would hiring managers care that it’s data only? Or if you applied for BA roles would you qualify as a data analyst?,True
