author,updated_at,like_count,text,public
@anilkumarreddy7195,2022-10-17T06:45:01Z,0,Can we get a Sample resume of the above,True
@farhadkhan3893,2022-07-31T04:51:18Z,0,Thanks for sharing resume,True
@AkshayKumar-vd5wn,2022-03-16T12:08:23Z,0,Any possibility you can do a video on Data Analyst fresher CV?,True
@priyankagupta1842,2021-09-28T15:44:21Z,0,how to get my resume rechecked by you for career transition in data science role. kindly guide,True
@lakshit6429,2021-09-20T06:17:57Z,0,Could you please show your video recoding setup? I really inspired by you.,True
@chaitanyawagh8216,2021-09-18T10:26:38Z,0,Sir Please review my resume i shared it via form. Name - Chaitanya Wagh,True
@subratasarkar3011,2021-09-18T09:30:12Z,0,Please note 2021 batch means COVID batch with writing exam .,True
@pjos2981,2021-09-18T04:39:19Z,0,"Sir can I be self learnt data scientist , I see lot of free videos in ineuron from you and also lot of your projects in youtube .",True
@docEvil786,2021-09-17T06:03:10Z,0,pls dont add spark foundation as experience ..... its so lame all the task assigned have github repo ppl completing this so called internsship only copy paste code and they get zero knowledge  of what real internship is,True
@msasikumarjayam9673,2021-09-17T03:44:15Z,0,"Hi Sir, One of the Recruiter asked question related to Binning. He didn't ask directly that what is Binning. He given problem statement and that should be solved by Binning. I have not answered for that question since I am not aware about. Please put video related to that.",True
@NomadOpsRahul,2021-09-16T14:59:58Z,0,She and Me has exact same internship and exact same resume template just project is different,True
@bp2807,2021-09-16T13:18:03Z,0,Sir please make videos on django end to end,True
@thedataanalyst8249,2021-09-16T08:16:49Z,1,Thanks Krish for your suggestion. I literally need this kind of review and guidance.  Thanks a lot krish.,True
@vamsikrishnagannamaneni912,2021-09-15T16:13:08Z,1,2:20 Are people doing these types of projects these days? omg,True
@sanjanam6758,2021-09-15T14:22:15Z,0,Sir how to split unstructured data,True
@aniruddhadhumal8449,2021-09-15T14:19:02Z,0,Which is better data science or AIML,True
@insurance5225,2021-09-15T06:21:42Z,0,I am planning to buy your courses I want to know wheather it's lifetime access or just for 6 months,True
@ItsOkaySandy,2021-09-15T02:35:47Z,0,"Hello sir, as a fresher i dont have nothing much to mention in my experience section. So should i just fill my resume with projects??",True
@TheMISBlog,2021-09-15T02:24:30Z,0,"Very informative video,Thanks Krish",True
@sajidsheikh4224,2021-09-15T02:20:44Z,3,"This video helps me alot bcz,that first resume you reviewed, my resume is same as her with little bit change so I can make my resume better 🤗🤗",True
@digitalmarketing3541,2021-09-14T18:02:15Z,0,"Sir je, Business analyst or Data analyst ka v kr do plzz",True
@nikhilwagle8466,2021-09-14T16:59:39Z,0,"Hi sir, I have heard that our resume should not exceed 1 page. Ever recruiting person hai  10seconds time to read cv. can you please tell how many pages max is required?",True
@abhrantapanigrahi3475,2021-09-14T16:43:35Z,1,How to send CV for review ?,True
@aniruddhamulay2932,2021-09-14T16:15:59Z,0,"Hi Krish Sir, I want to get my Resume reviewed from you. How should I send it to you?",True
@satyamtripathi1732,2021-09-14T15:36:40Z,1,"thanks, sir and sir please review my resume so i can know what i have to change in my resume i am a fresher sir my name is satyam thanku again",True
@deepikatanty1961,2021-09-14T15:30:02Z,0,Sir please review a resume from non technical background.,True
@AH-xq1on,2021-09-14T15:26:52Z,0,Thank You,True
@mayursraut476,2021-09-14T15:16:25Z,0,Thank you Sir ❤️ Your videos motivated me and from every video I learn something new.,True
@content4553,2021-09-14T15:10:26Z,0,1 comment 😜😜,True
