author,updated_at,like_count,text,public
@vijaykumbhar1657,2022-08-15T19:00:04Z,0,sir i need ur help plz help me for this recently i join course from simplilearn course name Data scientist Job guartee programe but now i am confused tht this course is real or fruad i will get 100%job or not plz sir i want suggestion from you,True
@chaitanyabasotra8830,2022-07-22T11:26:49Z,0,"After a career gap of 8 years...no working experience.....now want to move in private sector....pls suggest me which course is beneficial for me , i m confuse between DATA ANALYST  or full stack web development or any other courses according to ur suggestion which will b beneficial for me to get job with good package bcz u r well experienced in this field ...so I need your advice sir...pls reply",True
@itsMohak,2022-07-18T15:46:59Z,0,You are great,True
@HeadsxWillxRoll,2022-07-18T12:17:14Z,0,Hi krish can u please tell which is best among full stack developer vs machine learning for high package???,True
@jacksmith7160,2022-07-17T16:56:25Z,0,Hii Krish Why there is no python in ineuron 's job guaranteed big data program 's curriculum ? Because python is necessary for data engineering How we will be able to learn pyspark without learning python ??,True
@zaafirc369,2022-07-17T16:48:25Z,0,ah miss the live! was in sudhanshu class! Rewatching after class,True
@meetpatel9690,2022-07-17T16:47:10Z,1,Hii Krish Your ineuron job guaranteed Big data course is for also bcom background student ? And any prerequisites for learning this big data course ?,True
@harshagrawal4958,2022-07-17T16:29:06Z,0,which degree is better after 12th for data scientist bca or bsc stats,True
@saptarshisanyal6738,2022-07-17T15:55:58Z,1,"Hi Krish, I am from FSDS May 2022 batch, are you coming to take classes in our batch?",True
@manjunaththammannavar6932,2022-07-17T15:35:34Z,1,"Hello sir, how to deal with bimodal and multimodal distribution.?",True
@rajvashisthsharma5102,2022-07-17T15:25:25Z,0,"Databricks Associate Data Engineer certification exam, please response",True
@akashrai7102,2022-07-17T15:24:56Z,3,@Krish Naik Sir is it possible that in my second year I can land an internship if I have enough projects??Or would I have to wait till my graduation,True
@rajvashisthsharma5102,2022-07-17T15:24:46Z,0,Could you please help me for Databricks Certification,True
@rajvashisthsharma5102,2022-07-17T15:24:26Z,0,Hi,True
