author,updated_at,like_count,text,public
@stoneguardian9292,2024-04-03T20:57:53Z,0,"best line in whole video ""if you know, let me know, because Id like to know""",True
@antoinedeloffre3480,2023-09-04T04:35:31Z,0,"This playlist is amazing thanks a lot. I'm using PyCharm and when you do the plt.show(), its just displaying a png in the SciView. In order to have the interactive plot, you need to add this line on the script : plt.switch_backend('TkAgg').  Thanks again, I'm learning a lot.",True
@handendaer,2023-01-02T11:11:46Z,0,If u wanted to tell what keys/shortcuts ur using when doing it that would be so greatful.,True
@chinmayakumarbehera4754,2022-01-25T19:21:33Z,0,"I am a little confused as to where are you getting your financial data from, as you havent imported any financial api.",True
@unpatel1,2021-10-06T02:27:01Z,0,"Thank you for this great video! Everything worked fine for me except ""df['Adj Close'].plot() plt.show()."" Nothing happens when I executed one or both lines of code. ""df.plot() plt.show()"" works perfectly. This is strange!",True
@vijaynyaya6603,2021-09-11T05:17:00Z,0,"5:50 I am trying this in jupyter notebooks on VS Code. My graphs are not interactive as yours. The legends do not move. It displays an svg. So, I can't zoom in to see the price line as you did.",True
@Boersenlehrlingde,2021-06-23T22:24:56Z,3,Im so happy that I found your tutorial. This is gold. Absolutely efficient without repeating every step 100 times to push the length. Thank you so much!,True
@desiquant,2021-05-07T09:50:52Z,0,"For those using Jupyter notebook or JupyterLab, use the following command for the interactive plot: %matplotlib qt",True
@VoyivodaFTW1,2021-04-01T07:16:19Z,0,This tutorial is amazing.,True
@neuron8186,2021-03-11T07:00:43Z,0,why you use light mode ?,True
@imranahamed1862,2021-02-24T19:04:48Z,0,"df.to_csv('TSLA.csv')  it's not working on VSC, could anybody please explain, why?",True
@thatguyadarsh,2021-01-30T14:07:21Z,0,I like your vibe.. cool videos. Thanks!,True
@klaidaspetrevicius3265,2020-12-27T11:41:28Z,0,Hello!! I'm working on Spyder IDE and when I use df.plot() instead of an interactive graph I get an image with which I can't interact. Anyone know a solution?,True
