author,updated_at,like_count,text,public
@muhammadusmanbutt3341,2021-08-01T09:16:08Z,0,Apko job mil gye?,True
@hritiksth764,2020-12-27T20:35:06Z,0,PLease suggest nlp projects to crack interviews,True
@nehagupta5256,2020-12-25T01:08:51Z,0,All videos are so resourceful sir👍,True
@worldchallenges2757,2020-12-24T13:49:56Z,0,sir i wann to do Msc data science but i have no money to do a course in pravite college there is any govt or free ofline  learning college for Msc data science  in india plz help me sir,True
@hitaishigaur1030,2020-12-20T15:30:57Z,1,Please explain machine learning project  for freshers for placement,True
@modernmogli5155,2020-12-20T12:44:07Z,2,1.Problem 3.Idea 3.POC....  Repeat,True
@AniketBangar22,2020-12-20T09:22:30Z,0,What if someone wants to switch to different domain like BFSI having say 4-5 yrs exp in 2-3 domains,True
@wassoftasanka8519,2020-12-20T09:22:22Z,2,Happily married life sir may ur all dreams come in true,True
@sukanyaiyer2671,2020-12-20T09:11:08Z,2,"Krish Sir,  I am working in insurance domain, so what kind of Data Science project should I implement.. Any DS project related to insurance",True
@SuperLittle35,2020-12-20T08:45:36Z,4,Proof of Concept,True
@vivekgautham6249,2020-12-20T08:22:09Z,2,Thanks for your inputs through this video!,True
@raviyadav2552,2020-12-20T07:52:29Z,1,Krish can get the discord invite because for a long time I  m looking for that but couldn't find the link.,True
@harshsingh3282,2020-12-20T07:38:57Z,1,What is the full form and meaning of POC ?,True
@laxmanteja,2020-12-20T07:23:37Z,2,"Sir , I am B.com general , may I eligible for data science ,tell me sir I want to join data science course 5months in my area",True
@switches_slips_turnouts,2020-12-20T06:52:17Z,1,"Hellp Krish Sir, I am upGrad student Msc data science. Can you please teach us imbalanced dataset- Smote technique",True
@jaidmulani3218,2020-12-20T06:40:01Z,1,👍❤️,True
@rajansharma5503,2020-12-20T06:34:39Z,2,Can I be a data scientist if I am not from tech background I opt arts plz let me know,True
@kumarparth444,2020-12-20T06:25:39Z,2,Please explain CNN more clearly,True
@shreyasb.s3819,2020-12-20T05:19:11Z,2,Thanks,True
@mohammaddanish9713,2020-12-20T04:48:11Z,19,Krish we miss u in in our INeuron classes. And wish you a happy married life.,True
@kapilsharma2253,2020-12-20T04:40:21Z,4,"Sir, Is Boltzmann machine is important for interviews ????",True
@kapilsharma2253,2020-12-20T04:39:27Z,4,Good morning ☀️,True
@avinashkaur2744,2020-12-20T04:32:59Z,0,What amazing or major peojects to do for ai and data science,True
@erhemantgangwar,2020-12-20T04:32:42Z,1,hii sir,True
@sheikzaidh9321,2020-12-20T02:44:57Z,6,"What happen about that transformer, BERT continuation put that one soon",True
