author,updated_at,like_count,text,public
@JtotheAKOB,2021-03-16T17:01:13Z,1,"Hey sentdex, i reeeeeally appreciate your tutorials! You have a great  way of explaining clearly but also entertaining and keeping up the focus  and interest!  I just have one request. I cant wrap (hehe) my mind around decorator  methods, in your example ""at""app.callback(). I dont get how the  dcc.input is explicitly connected to input-data. I learned a lot through  your tutorial on pythonprogramming.net and another one but  unfortunately nothing about decorator methods like the one here. Maybe  in a side-line about decorator as classes, which i then obviously didnt  get^^ Would you pleeeeeeeease help me? At least with some link :P",True
@twessels1234,2020-12-19T19:21:39Z,0,Does anyone have an example of how to use data already stored in a local CSV?,True
@tarakpandya5156,2020-08-27T00:38:50Z,0,"Hey sentdex, can you show example of dash connection with sql server? And if dash has ability to run Sql procedure on daily?",True
@amin-gp2qo,2020-08-13T19:32:09Z,0,weldone mate! amazing good teacher,True
@ajayantony4144,2020-07-16T07:21:43Z,0,"Hey sentdex, can we import a project done in jupyter with altire and implement in dash?",True
@alicemystery5520,2019-12-12T18:19:33Z,0,you make it fun to learn about python.,True
@PallatiCharan,2019-11-14T17:13:01Z,0,Can anyone help me how do we create a login page for dash application.,True
@abhijitbanerjee5458,2019-06-20T12:45:02Z,0,"I'm getting this error called ""Callback error updating output.children"", Can someone tell me why?",True
@artaa8233,2018-07-17T16:44:48Z,0,Hi is it possible to use dash in another flask web? I need to integrate data science codes with powerful plotting tool on a web application or page is it possible to use dash or should I use plotly or something else?,True
@YashRaj-ix1dp,2018-05-21T03:53:49Z,7,"hey sentdex in the code we have not even called                                                    update_value(input_data) how is it working???, can you please explain the flow of code.",True
@AbhijeetWaghmare9,2018-05-02T06:11:12Z,0,can you please tell me how can i fetch data from DB server so that data should reflect on Dash,True
@sameeruddinmohammed5115,2018-04-09T18:08:33Z,8,Why are we not calling the update_value() function that we defined??,True
@daveperras4638,2018-03-24T03:09:28Z,1,I am quickly becoming your #1 fan.  Thanks for all your great tutorials.  I started my career as a software engineer in the late 80's but haven't coded much in the last 15 years.  Just getting into Python and data science and you have made it like  'riding a bike' as they say.  Thanks!!  Dave from Granbury Texas,True
@spacecapitalism7152,2018-03-22T04:25:18Z,6,"Wow, sentdex. You must read python documentation for breakfast, lunch, and dinner! I am so glad you married Python and got stopped cheating on it with Golang.",True
@SoumokDutta,2018-03-15T07:16:29Z,0,Can you make a video on Facebook data visualization in python  and please change the video and code for bitcoin api in your video,True
@PhotoSlash,2018-03-08T10:50:53Z,0,Is it normal to get this kind of smoothed_sentiment with this kind of weird results?(I used 'Oscars' as filter instead of 'olympic') https://pastebin.com/9qnLSccW,True
@devon5694,2018-02-16T02:17:30Z,0,"definitely interesting.  I'll have to read the docs on using this as a flask extension...seems like it would be very difficult to write a complicated UI in a .py file, but perhaps that's personal preference from using PHP.  Also, I might change the value attribute to a placeholder to get rid of the instruction text",True
@iacaldrod,2018-02-14T13:39:27Z,0,"Hi Harrison, good tutorial as always. I also tried Dash a few months ago, but I got stuck when trying to query a mysql database with the input generated from a dropdown list, in order to get data por plots. If you could please elaborate on that topic it would be so much appreciated.",True
@arjunkirpal9776,2018-02-14T03:35:53Z,0,"Would LOVE if you could integrate Asyncio with Dash! Raymond Hettinger said Asyncio is the future of Python. I understand with Asyncio Python can take Node.js head on. Particularly when using Asyncio with UVLOOP. Thank you for all your awesome tutorials! You are doing so much more for the world than the bureaucrats at UN, UNESCO etc !!",True
@evandrogoncalves7664,2018-02-14T01:44:26Z,0,I love python because of your videos,True
@markjudeestrera,2018-02-14T01:31:37Z,0,"sweet, thanks a lot man:)",True
@Im_Ezic,2018-02-13T20:08:51Z,0,I have a really important question. I'm having a WinPython on USB stick because it's only one that works. Is there an option to install libraries such as tensor flow directly on usb stick and use them on any computer?,True
@abhaypandey6200,2018-02-13T17:44:19Z,0,Professor Harrison!! :D,True
@AmDsus2Fmaj7Am,2018-02-13T16:49:19Z,0,"Harrison, have you heard of the bokeh library? I found it yesterday, trying to use the financial part of matplotlib that has been deprecated. It's a lot like dash because the output images can be html, it can make some beautiful charts, and it doesn't require plotly. It integrates nicely with Jupyter notebooks as well. Cheers",True
@Kevin-sv1qi,2018-02-13T16:46:36Z,0,thanks,True
@HandFedMole,2018-02-13T16:33:02Z,0,"I think it would be useful to show the app.callback signature, unless I'm missing something.  Super psyched for this as an alternative to R Shiny. I do all my analysis in python and then create interactive data dashboards in R Shiny, which doesn't scale well at all with neither users nor data...",True
@wolfisraging,2018-02-13T16:15:12Z,1,Ur freaky amazing cool programmer,True
@sinecurve9999,2018-02-13T15:30:58Z,0,Neat! B),True
@339blaster,2018-02-13T15:23:12Z,0,thanks for part 2,True
@yousefgamil69,2018-02-13T14:59:59Z,0,Love ur channel and watch every day,True
@yousefgamil69,2018-02-13T14:59:41Z,0,Was. Waiting for it.,True
@maivayne5692,2018-02-13T14:46:53Z,0,great,True
@tarkvitark108,2018-02-13T14:45:42Z,0,great work again bro.. can you create a video on NLTK. broo please. i need it,True
@yoeriyoeri4264,2018-02-13T14:45:39Z,0,❤you,True
@SM-ht7qf,2018-02-13T14:33:25Z,4,"6:30 am, I am ready to code",True
@akashkandpal1832,2018-02-13T14:29:17Z,0,nice work again,True
