author,updated_at,like_count,text,public
@statquest,2019-12-08T09:14:11Z,21,"NOTE: In statistics, machine learning and most programming languages, the default base for the log() function is 'e'. In other words, when I write, ""log()"", I mean ""natural log()"", or ""ln()"". Thus, the log to the base 'e' of 2.717 = 1. ALSO NOTE: This video is about Saturated Models and Deviance as applied to Logistic Regression (and not ordinary linear regression).  Support StatQuest by buying my book The StatQuest Illustrated Guide to Machine Learning or a Study Guide or Merch!!! https://statquest.org/statquest-store/",True
@PunmasterSTP,2024-04-17T14:23:40Z,0,10:17 12:23 Peak number-plugging-in sound effect! 👌,True
@aojing,2024-02-02T17:13:20Z,0,"@9:37 Hi Josh, can you explain why the Residual Deviance is defined as this form and what is the connection to chi-square test, or  provide a reference link? Thanks.",True
@inamahdi7959,2023-11-19T17:17:05Z,1,I have been listening to your lectures as a review on my commute and I am mesmerized. I never made the connection between LRT and these methods.bThey are one in the same!  just re-written differently. or where the negative or the product of 2 come from.,True
@TheSambita20,2023-04-29T02:44:34Z,0,Is there any pre-requisite video before watching this? FInding it little complicated to understand.,True
@shaadakhtar5986,2023-03-08T14:03:22Z,0,Why is the LL at 4:00  3.3  for each curve?,True
@duynguyennhu5677,2023-02-18T14:45:46Z,0,can somebody explain to me how the likelihood of data is calculated,True
@bfod,2022-12-23T02:12:28Z,0,"Hi Josh, amazing videos. You are a godsend for visual learners and showing the concepts behind the math. I am a little confused about why we calculate the p-value for the R^2 the way we do.   We have:     Null Deviance ~ ChiSq(df = num params sat - null)    Residual Deviance ~ ChiSq(df = num params sat - prop) and we use these distributions to calculate the p-values for the null and residual deviance.  We also have:    LL R^2 = (LL_null - LL_prop) / (LL_null - LL_sat) but we calculate the p-value via:    null deviance - residual deviance ~ ChiSq(df = num param prop - null model)  Can it be shown that    (LL_null - LL_prop) / (LL_null - LL_sat) = null deviance - residual deviance and therefore     R^2 ~ ChiSq(df = num param prop - null model) or am I missing something?",True
@kartikeyasharma4017,2022-07-31T18:31:51Z,0,"At 14:31, we have the p-value =0.002 which means that the proposed and the null model are statistically different but can't we infer that the result is by chance (connecting it with the root definition of p-value)",True
@TheFacial83,2022-07-30T04:59:45Z,1,Do you have video that about multinomial logistic regression . your video is the best in stat  thanks a lot,True
@navneetpatwari1305,2022-07-05T02:54:28Z,0,How likelihood for the saturated model brings value-3.3 at time- 4:03,True
@dr.kingschultz,2022-05-08T13:13:06Z,0,your explanation 6:20 is very confusing,True
