author,updated_at,like_count,text,public
@THEMATT222,2021-12-26T14:29:53Z,0,Thanks 👍,True
@jairajsahgal5062,2021-09-21T11:06:20Z,0,Thank you,True
@luojihencha,2021-09-03T14:14:41Z,0,Before blablab shouldn't you introduce the definition first?,True
@stanlukash33,2021-03-12T11:27:46Z,2,This video made me even more confused.,True
@darshanshah9623,2021-02-19T01:08:18Z,0,If visualisation of the same would be great.,True
@abbasnosrat8898,2020-10-30T12:00:34Z,1,For image classification you could use pca modes with lower energy that contain more detail and separate better,True
@bejgaonnischit9718,2020-09-12T17:41:10Z,2,@11:30 & @12:24 it is not dot product don't get confused. @12:30 it is dot product,True
@shauryavardhan7225,2020-05-16T21:16:29Z,11,2 Million watched the first video of this series. Congrats! you are among the top 80k survivors.,True
@sukritgupta8998,2020-05-11T10:27:44Z,5,when the reality of the world hits you... damn straight,True
@user-hk2jx5mj6z,2019-06-09T10:54:27Z,0,Well done Sir!,True
@Maisonier,2019-05-24T16:04:32Z,3,Is It Possible to build a kernel with AI ?,True
@MrPrincemohanty,2019-04-29T05:27:04Z,0,Can you please make a video on SVM with Multiple Kernel in Python,True
@focker0000,2019-03-28T21:48:48Z,0,I am surprised by the fact that the nb of views of this video is so low. Kernels is such an important thing in svm,True
@shashikantkharwar9601,2018-07-10T05:37:18Z,0,Good content. Keep going. We'll support you.,True
@chandeepadissanayake6975,2018-04-22T07:44:15Z,0,Multiplication between Alpha sub i and Y sub i is not a dot product mate... Oh the Commentary over the Math!,True
@nikolahuang1919,2017-12-09T20:24:36Z,3,I clicked thumb right after I listened to the sound of Bucky Robert. It turns out that Bucky just won't disappoint us.,True
@yashumahajan7,2017-09-02T19:36:12Z,1,please add some tutorials on Tenforflow from basics to advance. just like SVM,True
@algar1959,2017-07-13T14:05:05Z,5,"Your videos are great and helped me so much understand svm and learn how to use it, with detailed explanations. You are the best. One thing that I am still struggling to do is to use SVM/Kernels for regression (not just classification) on strings (such as peptides). I have not found anything close to that in your videos, and everything  else out there is too obscure for me to learn to actually use. Could you direct me to any source you have found that explains  it simply enough or even better do it yourself ! Thanks again so much. Alain",True
@Half_Man_Half_Bearpig,2017-06-29T21:29:23Z,0,It only finally clicked for me what it means to have more than three dimensions.,True
@user-bt7ms4oj4b,2017-04-18T13:15:30Z,0,I love you so much.You explain things so well.I know lots of details of your video.╮(╯▽╰)╭,True
@ammmy4u54,2017-03-15T14:09:55Z,0,"Hi sentdex, I am working on a project to detect cancer in lung ct scan images, I dont know how to extract features from the image using python, so that i can feed that to my classifier. I have already done preprocessing steps of image conversion to binary and used ostu's method. Can you help me",True
@classicrockman90,2017-01-29T01:17:38Z,47,"The use of dot products in this video is a bit overused. Your alphas and y's are NOT vectors, therefore you can't dot them with anything. Your x's and w's are the vectors. In your Lagrange equation only the x's at the end are dotted. Those are the N features in N dimensions for both the positive and negative classes. The alpha's are just a weighting and the y's are just a binary classification.  The reason SVM's are powerful is due to only relying on a dot product in the Lagrangian and therefore you can transform the x's to higher dimensions where classification is easier but still yield a scalar value from the dot product for optimization.   Watching the MIT video on SVM's clarified this more for me.",True
@MrKirakh,2016-12-16T19:08:23Z,0,"Hi Sentdex, the whole series is very helpful and easy to follow. Thanks a lot. I was wondering if you have such a video on Kernel ridge regression? Are you planning to any soon?",True
@gokan69,2016-11-21T22:13:52Z,2,"Divinely detailed explanation!! Keep posting, enjoyed much! Thanks @sentdex! ;)",True
@user-nm4kq5kw4f,2016-06-05T11:22:36Z,0,Honestly loving the IBM Watson Ads I see on your channel,True
@patrykties,2016-05-30T12:41:36Z,9,I cant wait for neural nets ! that's too easy  :D,True
@badnam3189,2016-05-29T13:44:25Z,1,can you do a speech recognition tutorial?,True
