author,updated_at,like_count,text,public
@AnkushPaul-em5tz,2024-05-22T09:11:50Z,1,Template link ?,True
@ayushsoni3254,2024-04-29T20:31:08Z,0,"HE CHANGES EVERY COMPANY IN A GAP OF 6-7 MONTH, SHOWS MANY THINGS",True
@gudurukrishnasumasree616,2024-04-29T06:22:46Z,0,Bro pls send video how to build data analyst resume as a fresher,True
@akilaravi5805,2024-04-13T07:20:12Z,0,"Can i get this template?! I am a certified Data scientist student, recently completed my internship phase .I am looking forward a job opportunity,this video is really helpful me .Kindly share this template for job seekers .",True
@DanialDSouza,2024-04-09T14:45:12Z,0,I am 2023 btech CSE passout batch but I have three backlog yet to be cleared I know it's very shameful anyone have Idea about it my degree would extend 5 to 6 year insted 4 I would be any obstacle to get good job in it sector?,True
@bollinagarajuyadav,2024-04-02T05:50:57Z,0,great work,True
@sonalisinghal988,2024-02-17T04:24:14Z,0,"Hello sir, sir your videos are amazing. Sir, it's a request can you please guide me on how to add projects in my resume as I am a career gaper and also I have worked as an SEO executive for more than 2 years, so I am unable to understand that how should I add the projects as I am a fresher in data analytics field and the only projects I have are from my online training in data analysis. So, can you please guide me on this?",True
@manikatakatla1005,2024-02-16T06:52:12Z,0,Is data science good for freshers...???,True
@sagaragalawe1536,2024-01-26T13:38:51Z,0,Sir can we mension our past sales experience in data science resume🙏,True
@Movies_all,2024-01-09T22:30:07Z,0,Is any one know which website?,True
@Movies_all,2024-01-09T22:29:45Z,0,Hii,True
@zhspartan9993,2023-12-10T04:53:57Z,1,This resume is nice,True
@mohmmadsohel1731,2023-10-17T18:01:14Z,15,Sir kindly drop this resume template,True
@royalchallengersbangalore535,2023-09-20T15:11:05Z,2,Sir template,True
@user-lw6ff4qp5r,2023-09-08T04:58:45Z,0,Great work,True
@godgdfhackergod3836,2023-08-05T13:44:22Z,0,send me the resume link please,True
@pranavverma5421,2023-06-29T12:51:43Z,3,"Sir, can you please tell which website he had used to make this resume??",True
@radhashukla7599,2023-05-28T07:25:16Z,0,Please help me jobs for freshers data science,True
@__Analyser__,2023-04-21T03:36:48Z,0,"I am currently working in MNC as software Engineer in support team, can I choose MBA (data science ) .is it right choice or not",True
@mariusdanielbenefolvan5587,2023-03-02T09:44:50Z,0,Very nice resume,True
@mathsforyou9148,2023-02-13T05:09:21Z,2,Sir could you please keep me the template link,True
@sandipansarkar9211,2023-01-11T21:00:03Z,0,finished watching,True
@MrBishnu999,2023-01-05T19:54:16Z,0,Sir data analyst resume,True
@ridoychandraray2413,2022-12-06T12:14:37Z,0,Bro plz talk about Remote job in DL /ML /AI,True
@padmajakumari5368,2022-11-20T05:37:00Z,0,Can you send the resume of Rohan,True
@shaloofsaleem8716,2022-11-18T13:34:35Z,0,hi sir which  platform to create resume for ml,True
@Prateikx,2022-11-18T12:36:00Z,1,can I get that template?,True
@sumitdebnath2385,2022-11-04T05:03:25Z,1,"Hey Krish Sir, i have puechased FSDS 2.0 and can you share this resume in editable format",True
@ravinift18,2022-10-12T06:21:34Z,1,plz share his resume,True
@dhananjaygurav6335,2022-10-11T14:14:28Z,0,Thank you very much for providing this kind of content 💕,True
@ceb-rj4qw,2022-10-11T06:20:25Z,3,"hello krish, I got an intern as data scientist at linecraft. Thank you so Much :) . Keep helping others",True
@devanshjain7447,2022-10-10T15:56:21Z,0,Hey krishh can you make tutorials on ml in banking domain,True
@dr.merlot1532,2022-10-10T09:24:21Z,0,Apply to a Sr Data Science job with no work experience or internships....,True
@vishalthakur4920,2022-10-10T08:21:40Z,0,Sir ai related course  lao,True
@ppriya4115,2022-10-09T21:05:02Z,0,Someone2018 pssdout is also can able to learn here and get plced??,True
@yuvraj2913,2022-10-09T10:53:44Z,0,Hey there pls reply to my comment if possible  I wanted to know whether I should practise python programming or sql for solving database queries,True
@pkvlog333,2022-10-09T10:32:23Z,0,Could you please guide something to me. I have 4+ years of experience as Cloud admin and wanting to transition into DS,True
@arpita15,2022-10-09T09:54:08Z,0,Wow !!! Amazing,True
@datascientist5155,2022-10-09T09:46:49Z,0,https://youtube.com/shorts/F_8Elv2sMy4?feature=share,True
@aidataverse,2022-10-09T09:42:23Z,10,Awesome . Excellent kid . Future of IT industry,True
@dipanjanjana7083,2022-10-09T07:56:26Z,0,"Being an experience from a different industry , we should use this fresher resume type?",True
@codeshclass,2022-10-09T07:31:30Z,1,👍🏻👍🏻,True
@hardikvegad3508,2022-10-09T05:44:23Z,1,"Hey krish I want to predict OYO room rent price with feature such as reviews, stars, number of bed, location... Now my question is how we can use NLP+NUMERICAL FEATURES to find the price... Pleaseeeeeeeee make a quick video on this topic... I find no optimum solution",True
@rajashekhar7211,2022-10-09T05:33:27Z,0,Sir Please make live sessions on NLP,True
@TechKnowledgeForYou780,2022-10-09T05:32:54Z,0,Much Needed Video. Thank you so much for Sharing.,True
@girishhavale2483,2022-10-09T05:17:46Z,1,"Congratulations @rohan, God bless you❤.",True
@amitpatel9670,2022-10-09T05:06:16Z,0,What is youtus channel,True
@aparnaallada1105,2022-10-09T04:51:16Z,0,Please also review and discuss about the data analyst profile sir,True
@basharatmir4025,2022-10-09T04:49:44Z,0,Thank u sir ❤️Krish,True
@aarpitdubey,2022-10-09T04:45:53Z,2,"He is studying in Jain University, I'm working in two websites project of that University. I'll try to contact him.",True
@myil16,2022-10-09T04:39:03Z,4,Rohan!!! That's awesome my dude! Keep it up!,True
@nishantbanjade920,2022-10-09T04:38:15Z,19,Great work Rohan Proud to say we are classmates 💥🎉,True
@rohanbilwal6974,2022-10-09T04:10:08Z,6,Please also review and discuss a resume for the data analyst profile! Thanks in advance.,True
@jatinnandwani6678,2022-10-09T04:03:44Z,0,Thanks so much,True
@hijkislive5338,2022-10-09T04:00:33Z,1,Sir I'm just working on my resume and your notification boost me in the transition.❤️,True
@sanjaymanyam,2022-10-09T03:59:03Z,1,First view and like sir 💕 good morning  sir,True
@zappist751,2022-10-09T03:58:58Z,0,first,True
