author,updated_at,like_count,text,public
@statquest,2020-05-04T11:32:20Z,34,"NOTE: This StatQuest was brought to you, in part, by a generous donation from TRIPLE BAM!!! members: M. Scola, N. Thomson, X. Liu, J. Lombana, A. Doss, A. Takeh, J. Butt. Thank you!!!!  Support StatQuest by buying my book The StatQuest Illustrated Guide to Machine Learning or a Study Guide or Merch!!! https://statquest.org/statquest-store/",True
@anapeleteirovigil3199,2024-05-25T18:07:04Z,1,So tempted to send this video to my former PhD director... 🙄  Thank you for your immensely valuable content!!! Learning more on your channel than in class 😅,True
@SchergeSatans,2024-03-30T20:07:09Z,0,"I don't see how the first example with the different drugs is problematic, given that the drugs actually are different and that we draw a new sample every time.",True
@hyperTorless,2024-03-27T12:41:38Z,1,"I really don't think the premise that p-hacking is cheating is correct.  We just tested 23 drugs, one of them ought to have a real tangible effect, how is this cheating? The effect is measurable and real. Now the sample size is ridiculous, but that's a sample size problem, which is kind of cheating indeed, but it's not a statistical problem. Of course that result may come from cherry-picking but this isn't something we can control. Is there something I'm not getting?",True
@katielui131,2024-03-17T21:42:57Z,0,"Hi I still don’t understand at 1:47 section, why is it p-hacking for rejecting the null hypothesis for drug Z? They aren’t like the latter example where they’re taking the samples from the same population? I presumed we call it a different population for each drug the samples are put on",True
@ilikegeorgiabutiveonlybeen6705,2024-03-12T14:38:03Z,0,"what if i repeat all of the experiments with other samples a number of times, e.g. i do 20 experiments for each drug total, and then i try to look if anything changed is that real bad (cause it isnt guaranteed that i dont just get 20 false positives out of nowhere) or might that be useful in some obscure scenario",True
@MrSreior,2024-02-28T16:24:03Z,1,I love you,True
@joaobacelo3154,2023-11-17T22:28:02Z,3,"Congratulations and thank you for the videos! I appreciate the clarity, simplicity, and humor in your content. While you probably don't need more compliments, I wanted to express how much I enjoy it and how I find it to be a brilliant way to convey key concepts in statistics. BAM!",True
@patrickchan2503,2023-11-15T20:42:27Z,1,no bam? wh wh. lol,True
@user-jj3we9jv9i,2023-11-08T15:50:15Z,1,😇,True
@konstantinlevin8651,2023-08-14T14:16:54Z,0,"Hey Josh, thanks for the videos. I follow the 66daysofdata playlist and am curious if we'll learn the statistical tests you mentioned in the video",True
