author,updated_at,like_count,text,public
@statquest,2022-05-09T00:09:36Z,12,"If you want to see why Lasso can set parameters to 0 and Ridge can not, check out: https://youtu.be/Xm2C_gTAl8c Support StatQuest by buying my book The StatQuest Illustrated Guide to Machine Learning or a Study Guide or Merch!!! https://statquest.org/statquest-store/",True
@mojtabakanani2335,2024-05-29T01:07:25Z,0,"overrated channel, with all respect",True
@abdulazizalhaidari7665,2024-05-14T11:12:35Z,1,"Great work,  Thank you Josh,   I'm trying to connect ideas from different perspectives/angles, Does the lambda here somehow related to Lagrange multiplier ?",True
@lizhihuang3312,2024-05-10T14:26:05Z,0,6:29 why these parameters shrink a lot but never reach zero? why it shrink on different propotion? is t hat because of the thing which multiply with them,True
@abrahamramirezgarcia6922,2024-05-02T21:44:21Z,0,Thank you very much for the explanation. I just have one doubt with LASSO in the maths.   How the parameter can tend to cero if the lamba growths . Something like 10000 *0.2 = 200 but why the parameter could be zero?,True
@akathevip,2024-04-13T00:57:23Z,0,"I Like Someone Who Looks Like You I Like To Be Told I Like To Take Care of You I Like To Take My Time I Like To Win I Like You As You Are I Like You, Miss Aberlin",True
@unknownwarrior22,2024-04-12T18:06:40Z,0,Interesting Josh,True
@user-vv9xv7mp9f,2024-03-11T03:31:48Z,1,I caught that Monty Python reference haha :) african or european??,True
@abelgeorge4953,2023-12-27T20:07:52Z,2,Thank you for clarifying that the Swallow can be African or European,True
@rezaroshanpour971,2023-12-11T18:27:52Z,1,Great....please continue to learn other models...thank you so much.,True
@lavasrani3887,2023-12-06T08:35:33Z,2,Really love your videos!!!! But your songs are more of like Pheobe's songs lol. They are fun to listen to,True
@walkerbutin5171,2023-11-08T09:22:28Z,1,But what if there are two swallows carrying it together?,True
@martinflo,2023-11-02T17:32:31Z,0,"Hi! I don't quite get why L1 can make the weights go to zero, while L2 can't? thanks",True
@tanishkhada6301,2023-10-16T13:14:47Z,0,Ht,True
@gdivadnosdivad6185,2023-10-10T18:35:29Z,1,You are the best!  I understand it now!,True
@user-lq1on3ls8b,2023-10-09T13:26:35Z,1,"at the end of the last video [regularization part 1: ridge (l2) regression], you mentioned to solve the problem that how to estimate 10000 parameters with 500 samples and will talk about it in the next one, and after finishing this video I was still wondering how to deal with it...🤣🤣 am i looking at these videos in the wrong order or what?",True
@dominicdill,2023-10-08T14:50:41Z,0,"@2:30 you state that the main idea is by starting with a slightly worse fit, ridge regression provided better long term predictions. But isn't this only true when the trained linear model starts off with a larger slope than it should? For instance, if the initial two data points for the linear model without ridge regression were the bottom two points, wouldn't ridge regression result in a worse model? How do you know when your slope is higher than it should be?",True
@gabrielowen7933,2023-09-20T15:14:55Z,1,I love you for this,True
@erdemerzurumlu,2023-09-20T06:14:49Z,0,How does Lasso know which variables are useless? or what makes some coefficients get closer to zero faster,True
@PythonArms,2023-09-10T19:54:28Z,0,Harvard should hire you. Your videos never fail me!  Thank you for such great content!,True
@KrizTahimic,2023-09-09T05:42:16Z,1,Amazing! Thank you so much for this!,True
@MrHardgabi,2023-07-31T10:33:39Z,0,Why can ridge only shrink the equation asymptotycally whlie Lasso can shrink the slope all the way to 0?,True
@jinalthakkar9246,2023-07-13T13:00:21Z,0,can you please explain why ridge wont make coefficients to absolute 0 while lasso would ?,True
@user-zi5zh5pg5w,2023-07-11T05:20:32Z,1,"Finally, I found 'The One'!",True
@rishatdilmurat8913,2023-07-07T13:06:47Z,1,"Vey nice explanations, it is better than UDEMY!",True
@WolongGao,2023-07-02T09:18:58Z,1,bam.,True
@theuser810,2023-05-14T22:27:59Z,1,6:06 lol was that a Monty Python reference?,True
@amnont8724,2023-05-12T17:16:43Z,0,"Hey Josh, how come that when we increase the lambda - ""penalty thing"", the useless variables in the complicated example you gave went to 0 in lasso regression, while they didn't in ridge regression? Because the difference between the 2 regressions seems to be only the absolute value vs square (of any of the variables in the complicated equation).",True
@add6911,2023-04-29T18:35:31Z,1,"Excelent video Josh!  Amazing way to explain Statistics Thank you so much! Regards from Querétaro, México",True
@joaocasas4,2023-03-28T19:19:12Z,1,"Me and my friend are studying. When the first BAM came, we fell for laught for about 5min. Then the DOUBLE BAM would cause a catrastofic laughter if we didn't stop it . I want you to be my professor please!",True
@user-hc4yu6ei3l,2023-02-27T11:55:41Z,0,"Could someone please help and clarify. With Lasso regression, I didn't follow how the ''useless'' terms get eliminated. How does it know which are useless and which are more useful?",True
@pypypy4228,2023-02-25T13:39:12Z,1,Man... you are genius...,True
@zebralemon,2023-01-13T16:44:35Z,1,I enjoy the content and your jam so much!  '~Stat Quest~~',True
@johnalvinm,2022-12-24T20:22:48Z,1,This was gold!,True
@emmanueluche3262,2022-12-11T12:47:41Z,1,Wow! so easy to understand this!  Thanks very much!,True
@bthapa94,2022-11-26T18:07:30Z,0,"Still not too clear why some variables go to zero. great videos as always.  For example lambda *(|5|+|2|) then if second variable has no reason..still would contribute to the model, no?",True
@pomegranate8593,2022-11-26T13:40:25Z,1,me: wathcing these videos in full panic video: plays calming music me:  :),True
@hosseineyvazi3122,2022-11-18T17:54:58Z,1,keep up ur work bro .,True
@nabeel123ful,2022-11-17T07:03:05Z,0,"I am not fully convinced that Lasso regression must give a helpless variable vanishing coefficient. It seems to me, Ridge regression makes use of squared coefficient, thus small coefficients can stay there shadowed by bigger coefficients due to being squared to get even smaller (square function has a much flat and round shape at the bottom). But Lasso regression actually does the same thing, with the difference that small coefficients entering the penalty in its linear form. But, very small coefficients can still be shadowed by bigger coefficients when they are summed over thus cannot be fully eliminated in principle. Can anybody help me further on my concerns? Specifically, is there a rigorous proof that this will happen for Lasso regression?",True
@sandeepmishra3275,2022-11-17T06:46:02Z,0,Hii Josh   Just wanted to know how the lasso regression takes shrinks the values to 0. Could you shed some more light on it.,True
@rakeshk6799,2022-11-09T17:38:00Z,1,"Is there a more detailed explanation as to how some feature weights become zero in the case of Lasso, and why that cannot happen in Ridge? Thanks.",True
@alexei.domorev,2022-11-07T12:32:47Z,2,Josh - as always your videos are brilliant in their simplicity! Please keep up your good work!,True
@mohitkushwaha8974,2022-11-04T10:40:03Z,0,"i have one question, why in lasso slope(coefficient) of features  becomes  zero and not in ridge????  why slope in ridge cannot be zero????",True
@mohitkushwaha8974,2022-11-04T10:39:03Z,1,awesome video,True
@sidharthsengupta3413,2022-11-02T01:13:47Z,1,BAM!!!!!!!,True
@gulmiraleman4487,2022-10-24T17:09:00Z,1,Teşekkürler.,True
@ZinzinsIA,2022-10-21T14:54:28Z,0,"So clear and interesting, many thanks ! But what is the mathematical reason for the L1 norm producing parameters = 0 on the dummy variables while L2 norm can only go to zero asymptotically ?",True
@dollcandy100,2022-10-13T10:40:30Z,0,"Hi Josh, been trying to wrap my head around ridge and lasso regression. I found your videos easy to digest, thank you! In terms of feature selection, what's the pros and cons of using lasso compared to partial least squares?",True
@imarobot4918,2022-10-11T17:22:24Z,0,"Everyone says LASSO regression makes the useless features 0, but nobody explains how :(",True
@Jenna-iu2lx,2022-10-09T12:39:37Z,2,"I am so happy to easily understand these methods after only a few minutes (after spending so many hours studying without really understanding what it was about). Thank you so much, your videos are increadibly helpful! 💯☺",True
@soumyabanerjee4205,2022-10-05T11:36:14Z,0,How Lasso Regression reduces the terms to absolute zero? I couldn't understand. Can someone explain me please?,True
@TM-do8ip,2022-09-08T14:17:10Z,1,6։05 Monty Python reference,True
@ulkeerenaktas9751,2022-08-28T16:41:41Z,0,thanks for the great explanation but however I didnt understand how lasso regression selects features (or reduces some weights to 0),True
@user-ur2en1zq4f,2022-08-24T06:38:09Z,1,Great people know subtle differences which is not visible to common eyes love you sir,True
