author,updated_at,like_count,text,public
@statquest,2022-05-08T19:16:56Z,6,Support StatQuest by buying my book The StatQuest Illustrated Guide to Machine Learning or a Study Guide or Merch!!! https://statquest.org/statquest-store/,True
@patryxsterv4523,2024-05-29T17:33:31Z,1,"Wow, I hate reading the theory for my project, but love your videos, make it better to understand these chinese math equations",True
@lauriesteveescoses590,2024-04-16T15:56:09Z,1,"holy shit, i didnt expect series expansion to come at the end. so cool",True
@unlucky_coder8983,2024-04-14T18:41:32Z,0,Sounds like K-nearest neighbours...,True
@KiranDhakal8848,2024-04-08T21:55:52Z,1,As I continue watching your video the satisfaction of understanding BAMSS EXPONENTIALLLY!!!,True
@richf.9211,2024-04-03T12:46:52Z,2,This man just answered questions I didn’t even know I had!😂 Excellent job thank you for the videos!,True
@user-dh4ud1dr8u,2024-03-25T06:11:04Z,1,you are my professor,True
@yashkumar9671,2024-03-24T13:40:04Z,1,The maths isnt that mathy tho....but still loved the video. Thanks!!!,True
@hawaiicashew3237,2024-03-23T09:47:51Z,8,Holly cow this one is flying high. The guy who figured out all the maths must have been on fire!,True
@r0cketRacoon,2024-03-16T08:27:55Z,1,"wtf, I love that part 9:25, u enlightened me",True
@foluobidare957,2024-03-10T23:45:08Z,0,But what about classification?,True
@caiochaves9550,2024-03-08T23:13:42Z,1,Amazing!,True
@mitsuinormal,2024-02-24T07:33:27Z,0,OMFG,True
@DeMatzen,2024-02-09T14:27:38Z,0,"I know I am late to the party, but as far as I understood, the projections of the data a should only depend on a and not b, but at 14:50, s would depend on a and b for both a and b. Wouldn’t it make more sense to split exp(-gamma(a^2+b^2)) into exp(-gamma*a^2)*exp(-gamma*b^2) and pull each part into the corresponding vector of polynomials?",True
@user-gq3uo8dl1l,2024-01-29T22:10:11Z,1,💌,True
@horanj.1022,2023-12-22T18:28:45Z,0,"Great series on SVM, good job!  one little comment: @ around 14:45, when you take `s` into the Taylor Series: s is a function of both `a` and `b` so it's not quite correct to place it on both vectors for the dot product.  it may be a better trick to first write `s` as exp{-a^2/2} + exp{-b^2/2} and then multiply each term by their corresponding counterpart in the dot product:  ... = (exp{-a^2/2}, a x exp{-a^2/2} + a^2/sqrt(2!) x exp{-a^2/2}, ...., )                                       dot prod.         (exp{-b^2/2}, b x exp{-b^2/2} + b^2/sqrt(2!) x exp{-b^2/2}, ...., )",True
@AI_Financier,2023-12-13T11:19:01Z,1,"Great video again, in parallel world everything is linear. Can you please make video on Kalman Filter too?",True
@KayYesYouTuber,2023-12-10T18:09:53Z,1,Super Super Super !!!,True
@mohammedessam581,2023-12-09T05:14:33Z,1,"from now onward i will quote you with this : ""okay time to take a deep breath  we've done alot but we still have a few more steps before we're done and get to eat snacks""",True
@vncoolestguy,2023-12-08T15:52:08Z,1,"+ 3 views, thanks for awesome tutorials Josh.",True
@HeavyBoredRabbit,2023-12-06T16:36:12Z,0,"Hi Josh, or anyone else who may know. Can you only use SVM for single variables? If you have multiple features, can you do SVM for each one? Then how do you combine the results?",True
@ritshpatidar,2023-11-27T13:35:18Z,0,SVM is the most beautiful ML Algorithm.,True
@ritshpatidar,2023-11-27T13:33:05Z,1,The guy who came up with RBF is genius.,True
@skelgamingyt,2023-11-21T20:02:57Z,4,Please take our professor's job. We need you.,True
@user-gk9ku4el1f,2023-11-21T10:10:01Z,1,beep beep boop boop beep beep boop,True
@kankog,2023-11-15T18:13:17Z,2,Hello starmer bro! Will india win cricket Word cup this year statistically?,True
@debasmitroy4513,2023-11-14T19:39:25Z,2,My reaction to this video : 😐,True
@anannyodey7782,2023-11-14T19:33:50Z,4,Dhur Bam,True
@shauryavatsa595,2023-10-29T16:39:07Z,1,I wish I could be taught by you physically. I know nothing about machine learning and I am going through some of the topics for my internship and I cannot tell you how easy you are making things for me. Quadruple BAMM!!,True
@ManojGupta-tb3ei,2023-10-09T18:08:46Z,1,Well explained Thank you....,True
@devindoinmonkmode,2023-10-03T01:13:56Z,1,"3hours lectures in 15 mins, and it's super funny. Super Bam for StatQuest",True
@phongapex3741,2023-09-28T14:00:12Z,0,"Hello, at the time of 14:34, you multiply both parts of dot product by the square root of the first term to make the radial kernel all in one dot product. Why do you do that? I cannot get it :(",True
@MOHSINALI-bk2qo,2023-09-28T08:25:55Z,0,in 14:05 min where does the square root come? can you plz explain,True
@sinkseeker,2023-09-17T06:35:17Z,1,The way you explain the math is astounding! I hope you'll continue making videos like this!,True
@hieuthepunk,2023-09-16T16:25:26Z,0,"Can i ask a question? In python, there are gamma and C that's important to the model. Can you explain how they're related to the equation in this video, please?",True
@yaorongge,2023-08-24T23:19:25Z,1,Thanks!,True
@tinacole1450,2023-08-22T00:32:24Z,1,"Did the robot a lot on this one.... Thanks , good times.",True
@leecharlie2513,2023-08-18T07:31:19Z,0,"Those medium bam , triple bam, bi bi boo boo boo is actually very annoying",True
@yourfutureself4327,2023-08-16T22:40:34Z,1,🩵🩵🩵,True
@konstantinlevin8651,2023-08-07T17:00:16Z,1,"wow, this actually rocks but I've lost after taylor series expansion of e to the x. nice try be back here later!",True
@tampopo_yukki,2023-07-15T07:24:13Z,2,"When I was struggling to understand what the use of kernel is intuitively, I found this video in StatQuest series. Now, this seems to have fixed my shaky comprehension about the kernel! Your video series are one of my favorite explanations for base of ML. I'm so glad if you'd keep making these kinds of interesting videos on your pace, BAM!",True
@willw4096,2023-07-14T05:44:11Z,0,15:11,True
@filipfolkesson3865,2023-07-04T11:29:08Z,1,"This was so funny and educational, thanks man",True
@prabhakarkaujalgi3549,2023-06-25T15:34:58Z,0,"Good explanation about RBF kernel, hats off. But please stop saying BAM, Double or Triple BAM. Also, stop saying terminology alert...",True
@fatihboyar9697,2023-06-09T07:26:00Z,1,calculation noises are so realistic and horizon widening experience,True
@peterng.,2023-05-18T03:50:38Z,1,worth to spend times on! thank you Josh!,True
@manishkumark3462,2023-03-31T09:17:54Z,0,Everything is fine. But you did not explain what to do with the value we got?,True
@kk___kk___kk,2023-03-20T19:44:43Z,5,"I find some beep boop sounds a bit cringe, but it's crazy how good you are at explaining and showing things step-by-step. Thank you so much !",True
