author,updated_at,like_count,text,public
,2021-04-08T16:50:36Z,0,"The parenthesis are a bit confusing, because I'm always associating those to tuples",True
@sunmakergg,2021-03-01T05:15:33Z,1,helpful guide. I'm going to google most of the stuff you type in because I need definitions of what they do otherwise they just fly waaay over my head.,True
@otsapin,2021-01-22T11:59:45Z,0,"Great video! Thanks, man!!!",True
@serdarkaraca9172,2020-12-19T22:50:15Z,0,Damn it you're cool bro.,True
@yashkarbhari721,2020-07-02T13:35:13Z,1,"WARNING: 4:26 Don't try this at home, this stunt is performed by professionals",True
@BrendanMetcalfe,2020-06-01T03:35:03Z,0,one of the better intro videos on generators,True
@rotrose7531,2019-06-16T02:07:54Z,0,"Thank you very much, this helps me a lot",True
@fabiogulmini4664,2019-02-20T06:15:15Z,0,What about a = list(range(10)) Is it a generator or a list?,True
@srijalshrestha7380,2018-06-04T00:27:59Z,0,"[[need suggestion]] Hello, i want to learn python for machine learning, is Intermediate Python Programming useful or i can directly learn that one?",True
@mohi7solanki,2018-03-17T07:43:20Z,0,range is not a generator. https://stackoverflow.com/questions/13092267/if-range-is-a-generator-in-python-3-3-why-can-i-not-call-next-on-a-range,True
@dustbinsavesyou8283,2017-12-12T09:06:24Z,1,Now i dont understand it when i watch intermidiate python and when i watch basic python i start to think why the hell am i watching a totourial on what strings are,True
@YAakash,2017-11-21T18:11:29Z,0,love u sentdex :),True
@turboromy,2017-09-04T06:18:57Z,4,"Good to see instructors also make mistakes.  That way, I get to think, I'll just practice more.  Thanks.",True
@alan6506305,2017-08-23T12:46:09Z,1,"such a well demonstrated tutorial, thank you.",True
@michaellake2190,2017-08-22T10:35:18Z,0,"This is a great video. I knew what generators were, and what list comprehensions were, but didn't realize how similar they were and the relative advantage of each.  If YouTube lets you highlight particular videos of your own, make this a 'Gold Star' or 'Blue Ribbon' one or whatever. It really is great.",True
@Throwingness,2017-08-05T17:41:51Z,11,Hit that keyboard harder.,True
@cupajoesir,2017-06-06T13:44:08Z,4,i love that you leave in the errors.  super helpful!,True
@francogomezgarcia8376,2017-04-27T18:34:14Z,1,"For a moment, I thought that the computer was going to explode after the minute 4:54. XD",True
@shalinisahnimankatalia5305,2017-04-16T07:46:31Z,0,pls define a generator,True
@RandomAlexus,2017-03-28T02:00:39Z,11,this channel just doesn't get old.,True
@jeremygillespie5482,2017-02-13T07:23:59Z,31,I ran:  i = range(999999999999999999) in python2 with 32GB of ram. My ram cried until python crashed.,True
@ianrees3932,2017-01-24T23:06:27Z,2,"Can't thank you enough for this intermediate series. Perfect for what I've learned since watching your beginner series. Love the new screen capture layout and everything. Also, I'm a composer so I'm curious about that speaker I see in the background. Do you have a full set up with a sub? Do you secretly blast EDM music at night?",True
@abdelkrimzaouidi3072,2017-01-13T22:17:39Z,0,why did you use print ('done') just to know that the upper code is done ??,True
@SogMosee,2016-12-16T17:38:21Z,1,Thanks for this one Harrison.,True
@playful_batman,2016-12-08T10:23:20Z,0,why not list(range(5))?,True
@neoXXquick,2016-11-23T13:48:01Z,0,Great video series.. thx for sharing..,True
@0xbitbybit,2016-11-18T22:51:12Z,5,yeah nah that wasn't 5 million or 5 billion btw haha,True
@vasyapupkin9773,2016-11-10T19:36:19Z,1,cool way of explanation.,True
@Brutaltronics,2016-11-08T20:13:17Z,0,"so how much memory is used to create a generator object? i can tell it's way less than a 5 billion elements in a list, but still.",True
@TheSldsnake,2016-11-04T22:19:59Z,0,Muchas gracias !!,True
@NotMarkKnopfler,2016-11-04T18:32:38Z,1,"Can't say I like that particularly. Horrid clunky syntax. ""i for i in..."" is horrible. It makes no syntactical sense at all. Gibberish! Can't say it's a feature that I'll be using. I'll stick to regular loops which are pretty much self-documenting. Thanks for the video. I'm enjoying your series.",True
@MrOnizukakira,2016-11-04T18:11:09Z,0,keep up !! thanks to sentdex i am getting better at python programming,True
@farficknuger3673,2016-11-04T17:26:35Z,0,I believe in Python 2.7 you can use xrange() in order to get around the memory issue,True
@DarthHazard,2016-11-04T15:57:20Z,0,"Hey Harrison, I sent you an email about flask. Would greatly appreciate if you could help out :)",True
@Tutoelectro1,2016-11-04T15:56:21Z,1,"Hi, I know this has nothing to do with python bu what keyboard do you use?",True
,2016-11-04T15:37:25Z,0,Hi what software do you use for video editing?,True
@rrampaer,2016-11-04T15:12:57Z,0,"Not python related but what do you record your screen/webcam with? And as always, great video -- this series is exactly what I needed (stuck between 0 and hero)",True
@kraay89,2016-11-04T14:37:51Z,5,Why don't you cover using the yield keyword in this video? I'd say that's a big part of generator functions. Or am i misinterpreting something? Otherwise great vid!,True
@Qornv,2016-11-04T13:45:32Z,3,"keep pumping these out, very useful, thanks.",True
@stitch0790,2016-11-04T13:39:32Z,1,Cool video by the way!,True
@stitch0790,2016-11-04T13:33:39Z,1,Hey Harrison!,True
