author,updated_at,like_count,text,public
@ayeshaakhter6953,2022-04-13T03:21:03Z,0,Your information is very helpful but it would be easier to understand if you made this video with visual data than just words.,True
@riazmkhan,2022-02-06T12:41:25Z,0,"Logical, simple, and brilliant.  Thank you, Krish!",True
@KJ-rk6dr,2021-12-17T15:23:28Z,0,Is math of machine learning covers in full stack data science program of ineuron?,True
@dfx8173,2021-11-17T20:58:59Z,0,Hello sir i am a computer science graduate and I'd like to go with machine learning And i would like to know how much maths is required to became a ML Data scientists,True
@pohortwiprasa1944,2021-11-13T10:41:21Z,0,Needs materials,True
@hometvfirestick,2021-09-05T04:53:10Z,0,thanks,True
@abhinav9561,2021-09-02T06:20:04Z,0,This was quite informative Krish!! Thank you.,True
@riddhidigital7604,2021-08-19T14:02:26Z,0,As you explained how to learn ml so according to that how to learn by this technique through your ml playlist,True
@deeprajvadhwane9208,2021-08-19T07:40:53Z,0,"This video help mi lot thanks sir, Your a Good teacher",True
@ankkush4898,2021-07-16T13:03:15Z,0,Very Well Explained . Have seen so many video's with respect to ML but no1 has ever broken it down so easily. Cheers to Krish,True
@velumaniramasamy1111,2021-06-18T09:38:24Z,0,Thank you sir,True
@sdz9081,2021-06-17T01:36:15Z,0,Which book or which course would suggest for learning?,True
@ultraeye3919,2021-05-26T17:05:17Z,0,Great,True
@vignesh7687,2021-05-12T07:46:22Z,0,Hi Krish..... Can you please post a video for handling imbalanced dataset for multi class classification,True
@shareknowledge7125,2021-05-02T04:39:46Z,0,Super sir,True
@rupeshsingh4012,2021-04-02T10:05:28Z,3,"6 months before I was totally new to machine learning background, but when I started seeing ur videos. I found myself under the shelter of one of the best ML tutor.... print(f""Thanks a lot sir ji for being my Tutor {accuracy}"").....",True
@rupeshsingh4012,2021-04-02T10:01:42Z,2,Thanks a lot sir ji,True
@SS-yw4pj,2021-03-20T05:58:12Z,1,Hi krish.I am a beginner. So what is the best way to learn machine learning basics. Any recommendations for books and courses. TIA,True
@jitendrakumarsah8683,2021-03-12T05:58:45Z,1,Great Sir👍,True
@VitthalGusinge,2021-01-05T13:20:06Z,1,Hi Would you be able to conduct any live session taking any one algorithm as example.,True
@shreyasb.s3819,2020-11-24T18:45:43Z,1,Thanks a lot,True
@dn208,2020-10-24T20:42:01Z,1,Hello there krish I'm From Pakistan and I really like and impressed your way of teaching DS and ML. Thanks.,True
@gaddamshanthsri125,2020-09-16T14:43:08Z,1,Very usefull video tqs sir,True
@GauravSharma-kb9np,2020-08-12T09:05:18Z,1,"Thank you, sir, for sharing, it's very helpful",True
@satyapalrajput07,2020-08-07T11:05:26Z,1,How to connect with us .. Personally. And discuss with you in DS And ML.,True
@praveeng1590,2020-07-10T10:20:25Z,1,"Hi sir I want to learn python that's maps for MACHINE LEARNING  please give me an advice, I know there are many web sites that provides knowledge on py but I want an expert advice to make the thing flexible for me. And I have some basic knowledge on py programming. Thank u in advance. Looking forward for your reply.",True
@taherkayamkhani8214,2020-06-03T02:56:27Z,15,You are truly changing the lives of 1000s of DS aspirants. Salute sir.,True
@AnubhavMadhav,2020-05-18T13:24:24Z,1,Thankyou so much......100th comment!!,True
@sauravban,2020-05-11T04:32:05Z,7,Now this is what you call a proper guidance..,True
@technicaltrainings6429,2020-05-07T18:36:23Z,1,SIR PLZZ CAN YOU MAKE ONE SHORT VIDEO WITH EXPLAINING ONE EXAMPLE,True
@hardikvaniya4787,2020-04-30T11:50:21Z,0,How to make data set in matlab?,True
@shan5612,2020-04-29T19:10:21Z,1,@krish how about understanding math behind algorithms on Coursera from Andrew Ng. Is it helpful.,True
@arvindsinghrawat538,2020-04-29T03:54:54Z,1,"Sir, I graduated in Electronics and communication engineering in 2015, and since then working in a BPO.., and now I desperately want to switch and make a better career. Is data science a possible field for me? I have been reading and researching about this course and I am not sure ,I would be able to cope with syllabus..  Is it a suitable course? Please Guide...",True
@thesoul2086,2020-04-27T15:36:16Z,0,Sir please do a video about how to refer and code from a IEEE papers.,True
@ranu__12,2020-04-26T10:55:52Z,0,i haven't got my id  and password for data science course. please look into this matter,True
