author,updated_at,like_count,text,public
@kolukuluriaditya2284,2019-09-23T07:21:45Z,0,Come live sir..these session is very useful,True
@kolukuluriaditya2284,2019-09-23T07:03:21Z,0,Sir please make a video on paetron..will they get extra content,True
@kolukuluriaditya2284,2019-09-23T07:02:02Z,0,Best Universities to study in abroad for Ms in data science,True
@sweetysangam6230,2019-09-09T14:11:46Z,0,"Hi, Please share some of the NLP based projects too.. sentiment analysis, document classification etc..",True
@sahanasaan2751,2019-09-08T05:52:15Z,1,Thanks for replying most of the queries,True
@zeealwaysshan,2019-09-07T19:58:43Z,2,Come 2 Hyderabad Bhai...,True
@ponaganti123,2019-09-07T17:50:27Z,5,Make a video on machine learning project from scratch to deployment,True
@ravitejagudla3711,2019-09-07T17:30:09Z,1,Create few videos on Tensorflow and Scikit learn framework basics,True
@papachoudhary5482,2019-09-07T16:57:09Z,6,"Respected Sir,  kindly give a notification before u r coming which time live. I missed ur session today!",True
@DonDOSS_,2019-09-07T16:55:37Z,2,"I have 10 years experience with mainframe and Unix application support.please let me know , if I can adapt to ai",True
@SrikanthReddy-mo1pr,2019-09-07T16:48:17Z,2,Make videos on ML code in Jupiter notebook,True
@insuperable6029,2019-09-07T16:45:45Z,1,Need ML in R programing,True
@insuperable6029,2019-09-07T16:44:27Z,1,Damn! Missed it 😞,True
@vipindube5439,2019-09-07T16:35:08Z,2,How to treat if dataset have 25% outliers?,True
@unrulyphxntom4397,2019-09-07T16:31:58Z,0,"Hey I doubt that anyone will even see this, but if one person reads this it will make my day☺😊but to the people reading this I hope you have a great life and future😎 I know that fame doesn't happen overnight but i am trying my hardest to become a successful YouTuber🎗🏆Wish me Luck!🎉🎊 [Trying To Get 100+]",True
@dsa_telugu,2019-09-07T16:29:45Z,2,sir make a video about  feature engineering,True
@umairansari87,2019-09-07T16:21:18Z,1,Links for feature Engineering and feature selection?,True
