author,updated_at,like_count,text,public
@AlexTheAnalyst,2020-02-28T14:46:01Z,76,"Timestamps: Select Statement - 0:26 Distinct - 1:31 Count - 2:06 AS - 2:41 Max, Min, Avg - 3:17 From Statement - 4:35",True
@juliomadri,2024-04-24T20:48:40Z,0,All looks easy when teached by you! Thank you!,True
@samsungmaverick,2024-04-24T13:13:10Z,0,"can't access SQL Tutorial if Master is selected - Msg 208, Level 16, State 1, Line 8 Invalid object name 'SQLTutorial.dbo.EmployeeSalary'.  Completion time: 2024-04-24T21:10:59.8696651+08:00",True
@weekendrestoration7440,2024-04-17T09:20:46Z,0,this is my day 1 see you guys on top 🎉,True
@tulgaa1114,2024-04-15T12:21:06Z,1,You are great! thank you.,True
@brutalbreed1196,2024-04-06T07:04:44Z,0,"I followed your steps for INSERT INTO EmployeeDemographics VALUES (1001, 'Jim', 'Halpert', 30, 'Male')  But I get error Msg 207, level 16, state 1, line 4 Invalid column name",True
@jerrykabongo1438,2024-04-02T13:04:16Z,0,@Axel  I’m new at Data Analytics   Can you help me how you got at Statements please   I’m struggling a little bit on that🤦🏾‍♂️,True
@divineokonkwo2709,2024-03-22T19:25:29Z,0,Where or how do I get to click on the select button,True
@user-ih7mw9wb5k,2024-03-21T19:50:27Z,0,was anyone else having a problem installing SSMS and the Server??,True
@Ladykayxo1,2024-03-21T14:59:56Z,0,Thank you for your videos Alex I plan to land a data analyst job very soon I have the transferrable skills already plus the help of you 🎉,True
@blackpearlviews....6975,2024-03-21T07:04:30Z,0,Sir how to get internship in data analytics,True
@fredericochandra,2024-03-20T08:25:16Z,0,I watching SQL,True
@Junecode,2024-03-18T08:51:34Z,0,"I am learning so much in the short videos, love it and thanks for taking the time.",True
@illimite1,2024-03-11T18:48:12Z,0,what about using limit by then desc or ask? will it give the same results as using top something?,True
@mrsmnamane258,2024-03-04T19:29:09Z,0,Thank you from South Africa,True
@WaqasK-Khan55,2024-02-29T17:23:10Z,0,"Why do I have to specify the full path of the table when trying to use these functions?  For example, I have to put in: SELECT DISTINCT Gender FROM [SQLTutorial].[dbo].[EmployeeDemographics]",True
@ItsFakebouy,2024-02-26T01:40:36Z,0,"SELECT COUNT(LastName) FROM   Insipte of having no value in the LastName, it is still returning the value",True
@jh1896,2024-02-22T22:03:04Z,0,"At 5:38 in the video, after typing FROM SQLTutorial.dbo.EmployeeSalary, I'm still getting the same error message 'Msg 208, Level 16, Line 1 Invalid object name 'SQLTutorial.dbo.EmployeeSalary'-  I've double checked my typing including any phantom spaces but cannot find why it isn't pulling from the SQLTutorial database.  Any ideas?",True
@Mrwayneps3225,2024-02-21T13:09:47Z,0,"Also, done with this - on day one",True
@madhuripediredla4193,2024-02-14T17:11:33Z,0,The As statement is  not working for me even though i am using the correct syntax as mentioned by you. can you help me with rectifying it?,True
@travm3978,2024-02-11T20:38:16Z,0,Really enjoying the process in learning this information,True
@SakuraWulf,2024-02-05T19:04:40Z,1,"I accidentally added a space between SQL and Tutorial in the database name and it threw an error when I tried to rename it, so I couldn't call data from .dbo.EmployeeSalary while using the master branch. GPT was super helpful. I just had to put SQL and Tutorial in square brackets like [SQL Tutorial].dbo.EmployeeSalary and it worked!",True
@tranquillity5437,2024-02-05T17:04:28Z,0,"You know what i love your way and i am not being bore because there is no hours of theory and after that practical so this way watching and going with your flow, coursera etc have good material but they wast time too much, you are amazing",True
@ShreyaGoyal-gs2ff,2024-02-04T16:45:12Z,0,IS Sql a case sensitive language?,True
@TemitayoSholuade,2024-02-04T02:43:59Z,0,"Hi Alex, I noticed viewing the database in the Master using SQL Tutorial.dbo.EmployeeSalary isn't working in newer version anymore. Any thoughts?",True
