author,updated_at,like_count,text,public
@adi663,2020-03-28T13:36:12Z,0,Is there job crisis after April.....and it's difficult to get data analyst job?,True
@asmichandra9674,2020-03-25T18:41:31Z,0,Could you please provide your email ID so that I can ask questions about my project ? Or suggest the way how I can connect to you .,True
@santakdas7457,2020-03-25T16:23:14Z,0,"U told about data structures lectures,when u will complete the playlist sir?",True
@deathtrick,2020-03-25T10:53:05Z,1,Sir aap super cool ho🙌🙌,True
@surajkumarpradhan667,2020-03-25T10:08:40Z,2,"Hi, need a little bit of advice, can any one having 4 year of experience in .Net full stack can switch to Data Science with hardwork and dedication?",True
@geekydanish5990,2020-03-25T09:56:19Z,1,Sir slack group is not active at all come there as well.,True
@vipinkumargupta6809,2020-03-25T09:25:50Z,2,Sir can u make video on how to handle lattitude and longitude features in datasets.,True
@rameshkokati,2020-03-25T08:56:53Z,1,"Hi sir, You are also the speaker in ineuron while conducting classes please do let us know....",True
@saurabhbarasiya4721,2020-03-25T08:34:49Z,1,Please session Hindi me lena,True
@tusharmishra1405,2020-03-25T08:26:01Z,1,Sir upload a video of analyzing use case which has multiple train data sets,True
@sumitsingh01021995,2020-03-25T08:21:19Z,1,Thank you for the power bi and tableau playlist krish,True
@mlbasics6267,2020-03-25T08:11:40Z,1,@krishnaik - Could you please let us know how to study Linear algebra\calculus that is required to learn indepth about models? like till what depth? could you please privide any sources to study them?  probably a separate playlist would be great :d,True
@c.nbhaskar4718,2020-03-25T07:45:33Z,1,Take care brother,True
@davs2002,2020-03-25T07:38:46Z,1,"@Krish : is NLP a skill worth learning ? What are you views on it?  Lastly, when learning SQL/ MongoDB should we learn it from a developer's point of view using python /mongodb APIs n drivers programmatically or it will be a better idea to open up SQL console/GUI and work from there",True
@HarshKumar-zc4ox,2020-03-25T07:07:42Z,1,"Hey Krish, since there is a 21 days lock down, will the course of Ineuron(Machine learning course) that was starting from 28th March will go as per schedule or there may be any changes. Please reply",True
@faizm4765,2020-03-25T07:03:33Z,1,When will you be continuing with your competitive programming videos?,True
@RamCharan-bn5cb,2020-03-25T06:56:58Z,1,Awaiting for tabluea...,True
@kirandeepmarala5541,2020-03-25T06:53:06Z,1,"Sir, What about data structures and algorithms",True
@ashwinraj8918,2020-03-25T06:44:42Z,1,Sir sir sir sir...........pleassssssssssssseeee upload facial recognition video part 2 please sirr,True
@manassharma869,2020-03-25T06:39:42Z,1,sir new live projects please,True
@joshuasamuel4865,2020-03-25T06:36:01Z,1,"Can you please do a video on projects for python with data science? And is the statistics for machine learning Playlist more than enough to learn from for data science?  Or is there any other videos I should refer, please guide us",True
@ankitsarkar157,2020-03-25T06:28:23Z,1,Average salary for data scientist?,True
@amitkhandelwal8030,2020-03-25T06:24:25Z,1,Thanks sir we should utilize these days,True
@kenny87ification,2020-03-25T06:24:03Z,1,Hii Krish would it be okay to get into Deep Learning before mastering Machine Learning... I am still at a learning stage when it comes to Machine Learning,True
@alankarshukla4385,2020-03-25T06:23:59Z,2,"Sir i have a question, what is the importance of Bayesian Statistics in Data Science?",True
@adnanjamil2753,2020-03-25T06:22:29Z,12,"These 21 days can be a blessing in disguise for us. We can work on our skills, and whenever things are neutral and interviews and hiring starts, we will b ready to face it",True
@shashankshanu5465,2020-03-25T06:21:48Z,2,"Hello Krish sir, I want to work on a project of prediction ground water using ANN, MLP, and LSTM. So I want to know how to deal with .nc file??",True
@sachinkapoor2424,2020-03-25T06:21:19Z,1,You are my role model sir @krishnaik sir,True
@ranjan4495,2020-03-25T06:20:14Z,2,"Ok sir, thankyou for your support.",True
@pankajkar2008,2020-03-25T06:20:13Z,6,Start a new data science class every day .....daily 3-4 hrs ...if possible,True
@ayeshkantmishra6624,2020-03-25T06:19:52Z,2,I want to take up your course. Give me some links and description,True
