author,updated_at,like_count,text,public
@ammy6834,2024-03-22T10:41:47Z,0,Hy alex is that true that AI Will replace data analysts too ? Please 🥺 explain,True
@gunjisisters,2024-03-04T07:35:13Z,0,Suggest me internship brother?,True
@zahrahrafiq8913,2024-03-04T04:23:45Z,0,Is it necessary to have SQL downloaded for this,True
@asmitaupadhyay4656,2024-03-03T15:28:50Z,1,thank you for you kind and hard work😊. Lots of love and respect for you❤️❤️,True
@gamingportableone1961,2024-03-02T03:59:42Z,1,Price must be told in a promotion😅,True
@_uthman._,2024-03-01T21:38:26Z,0,Nice!! Thank you❤,True
@menalion4253,2024-03-01T16:36:56Z,0,Can you do a schooler ship like data camp for this 😢,True
@omarnnegh6319,2024-03-01T16:28:58Z,0,Is c# worth in data analytics ?,True
@ClearFuture,2024-03-01T15:39:03Z,1,How much is this,True
@devgupta8657,2024-03-01T14:35:37Z,2,Hope you doing well alex. Love from india ♥,True
