author,updated_at,like_count,text,public
@statquest,2022-04-19T00:13:32Z,25,"The code demonstrated this video can be downloaded here: https://lightning.ai/lightning-ai/studios/statquest-introduction-to-coding-neural-networks-with-pytorch?view=public&section=all  To learn more about Lightning: https://lightning.ai/  This StatQuest assumes that you are already familiar with... Neural Networks: https://youtu.be/CqOfi41LfDw Backpropagation: https://youtu.be/IN2XmBhILt4 The ReLU Activation Function: https://youtu.be/68BZ5f7P94E Tensors: https://youtu.be/L35fFDpwIM4  To install PyTorch see: https://pytorch.org/get-started/locally/ To install matplotlib, see: https://matplotlib.org/stable/users/getting_started/ To install seaborn, see: https://seaborn.pydata.org/installing.html  Support StatQuest by buying my book The StatQuest Illustrated Guide to Machine Learning or a Study Guide or Merch!!! https://statquest.org/statquest-store/",True
@carlitosvh91,2024-05-06T00:39:52Z,1,Great explanation. Thank you very much,True
@shamshersingh9680,2024-04-22T01:36:59Z,0,"Hi Josh, thanks again for allowing me to break the ice between me and Pytorch. Everytime I see your videos, I wonder if my instructor could have taught us like this probably our lives must have been much simpler and happier. I have a small doubt here. In the example you have shown gradient training of only final bias. But in reality, all the weights will have to be trained during backpropagation. So when I try to initialise the all weights with random values and then train the model, I do not get the final weights as shown in the video. The code is as follows :-   class BasicNN(nn.Module):      def __init__(self):         super().__init__()          self.w00 = nn.Parameter(torch.randn(1), requires_grad = True)         self.b00 = nn.Parameter(torch.randn(1), requires_grad = True)         self.w01 = nn.Parameter(torch.randn(1), requires_grad = True)                  self.w10 = nn.Parameter(torch.randn(1), requires_grad = True)         self.b10 = nn.Parameter(torch.randn(1), requires_grad = True)         self.w11 = nn.Parameter(torch.randn(1), requires_grad = True)                  self.b_final = nn.Parameter(torch.randn(1), requires_grad = True)      def forward(self, input):                  input_top_relu = input * self.w00 + self.b00         input_bottom_relu = input * self.w10 + self.b10         output_top_relu = F.relu(input_top_relu) * self.w01         output_bottom_relu = F.relu(input_bottom_relu) * self.w11         input_final_relu = output_top_relu + output_bottom_relu + self.b_final         output = F.relu(input_final_relu)          return output  # Create an instance of the neural network model = BasicNN()  # Print parameters print('Parameters before training') for name, param in model.named_parameters():     print(name, param.data)      # Define inputs and corresponding labels inputs = torch.tensor([0., 0.5, 0.1]) labels = torch.tensor([0., 1.0, 0.])  # Define a loss function  criterion = nn.MSELoss()  # Define an optimizer  optimizer = optim.SGD(model.parameters(), lr=0.01)  # Number of epochs for training epochs = 1000  # Training loop for epoch in range(epochs):      total_loss = 0          # Forward pass     output = model(inputs)      # Compute the loss     loss = criterion(output, labels)     total_loss += loss      # Backward pass     loss.backward()        # Compute gradients     optimizer.step()       # Update weights     optimizer.zero_grad()  # Clear previous gradients      # Print loss every 100 epochs     if (epoch + 1) % 100 == 0:         print(f""Epoch [{epoch+1}/{epochs}], Loss: {loss.item()}"")      if (total_loss < 0.00001):         print(f'Epoch = {epoch}')         break  # Print final parameters print('Parameters after training') for name, param in model.named_parameters():     print(name, param.data)  # check the model performance input_doses = torch.linspace(start = 0, end = 1, steps = 11) output = model(input_doses)  sns.set(style = 'whitegrid') sns.lineplot(x = input_doses, y = output.detach(), color = 'green', linewidth = 2) plt.xlabel(""Input Doses"") plt.ylabel(""Effectiveness"") plt.show()  Request if you can help me with the code above.",True
@random-hj1gv,2024-03-13T18:42:44Z,0,"Hello! I've got a bit confused: at 15:08 you mention that at each epoch we'll be running all 3 data points through the model, but wasn't the point of SDG in that we would only need a single data point per epoch, or am I misunderstanding something? Btw, despite my confusion, this is by far the best ML guide series I've seen, thank you for your work!",True
@Luxcium,2024-03-09T13:13:05Z,1,So I paused at 18:04 because _it blew my mind_ that we were calling backwards() on the loss variable because I thought it was defined on the line above… 😅😅😅😅 but yeah I didn’t find anything so one hour later I was just watching the rest of the video and _to be honest_ in about 33 seconds it came out that it was normal for _my mind to be blown_ 😂😂😂😂 at 18:37,True
@Luxcium,2024-03-09T12:47:09Z,1,"I am someone who loves *SQ,* and *JS* style of teaching in byte 😅 pieces but I also hate _snakes…_ I love *JavaScript* and *TypeScript* but I’ve been learning *JavaScript* with the _strictest linting rules_ one would imagine… and given how *JavaScript* could be used without any sort of strict rules (and is very similar to *Python* in this context) it is frustrating that it makes *Python* very hard to understand despite being easier since it has not the same stricter rules I have imposed myself learning *JavaScript…* but I am also genuinely grateful that *JS* is the best instructor for this kind of topics because *JS* has a _Ukulele,_ *StatSquatch* and *Normalsaurus* which are all there to help *JS* make *SQ* awesome 🎉🎉🎉🎉 Thanks 😅😅😅❤",True
@joshstat8114,2024-03-02T09:13:22Z,1,Nice video for the introduction of LSTM using PyTorch. There is also `torch` R package that doesn't need to install python and torch. It's so nice that R also has deep learning framework aside from `tensorflow` and I recommend you to maybe try it.,True
@theblueplanet3576,2024-02-22T12:05:23Z,1,"Enjoying this series on machine learning. By the way there is no shame in self promotion, you deserve it 😁",True
@insushin6139,2024-02-20T11:12:21Z,4,"StatQuest is the GOAT in statistics, machine learning, and deep learning! You're videos are really helping me understanding the concepts and outline of these fields! Love from Korea!",True
@arijitchaki1884,2024-02-03T17:24:36Z,0,"Hi Josh, sorry to be a spoil sport, but I used exact same code and my prediction is showing 0.5 for dosage of 0.5 and it is running for all 100 epoch and final b value comes out to be -16.51 😔. But yes the concept is clear!! Great work! I always ask people whoever are interested in learning about data science or machine learning to refer you channel. Seeing your channel grow from 10-20K to a Mn is pleasure to my eyes!! You are the ""El Professor""!!",True
