author,updated_at,like_count,text,public
@Rex_793,2023-08-10T17:06:37Z,0,accurate,True
@eric_welch,2023-07-09T14:58:48Z,0,so what you are saying is freelance right away??,True
@sitrakaforler8696,2023-02-20T21:51:34Z,3,Yep. It's even worse when you are a consultant hahaha,True
@GregHogg,2021-12-23T03:02:36Z,1,"Yeah, pretty much. 😂",True
@prodig1389,2021-12-16T14:42:57Z,1,How is great learning data science pg course for a guy from non technical background please guide sir 🙏,True
@startFromNull,2021-11-14T09:36:47Z,1,Relatable 😂😂❤️,True
@0megal2,2021-11-08T12:02:45Z,2,That's why my company encourages async communication 🤣,True
@art-sauce,2021-11-04T15:49:47Z,1,Very relatable 🤣,True
@planetnicky11,2021-11-03T17:43:51Z,1,hahaah great this is going on my memes playlist,True
@lucmon98,2021-08-07T11:52:37Z,2,happend to me so many times :D,True
@grumpyae86,2021-08-07T10:42:18Z,4,Reality and not funny when you’re under the pump and you have to present the next day zzzz lol,True
@piyushzope10,2021-08-07T10:14:34Z,26,"Ken and Luke, This is hilarious 😂😂😂 I can 100 % relate to the access issues...",True
@alcax4367,2021-08-07T05:37:45Z,27,"*gets a text message from the manager at 11:00pm* ""can you please check your email real quick?"" Classic one lol",True
@shrutijain1628,2021-08-07T04:53:02Z,6,Why does this feel like deja vu 🤣🤭,True
@LukeBarousse,2021-08-07T04:46:09Z,8,I may have accidentally deleted that email Mr. Jee sent me. 😳,True
@NicholasRenotte,2021-08-07T01:21:24Z,21,"Wait, what? No random CSV sent without column headers and no context?!",True
@mikekelly6774,2021-08-06T23:33:55Z,20,"Plus ""I didn't catch that, you're talking on mute.""",True
