author,updated_at,like_count,text,public
@Datasciencedojo,2023-08-30T23:23:29Z,0,"For more captivating community talks featuring renowned speakers, check out this playlist: https://youtube.com/playlist?list=PL8eNk_zTBST-EBv2LDSW9Wx_V4Gy5OPFT",True
@seanpitcher8957,2023-02-26T19:08:56Z,0,Oh. My. God. THIS... THIS!!!!! This literally changes everything.,True
@QuickFlicksx,2022-12-29T09:59:22Z,1,Great!,True
@hannukoistinen5329,2022-11-30T00:51:15Z,1,"What is your actual test? What do you want to explain? Model fit: where is it? Coding is 'impressive', but you must get some real results too.",True
@shaunoconnell9506,2022-10-30T08:51:41Z,0,"very nice, i just used this package for an assignment. this got me enthusiastic to learn more",True
@tamafun4745,2022-07-29T07:58:26Z,0,Thank you very much Dave & team. Really enjoy the whole presentation and learn a lot!,True
@djangoworldwide7925,2022-07-04T16:33:00Z,1,You are a nice American chap,True
@pipertripp,2022-07-03T17:38:25Z,1,this was excellent I've leant quite a lot and have a few new books for the reading list. Many thanks!,True
@acada,2022-04-14T02:15:41Z,0,"Excellent presentation, you are a great teacher. Thank you",True
@a.useronly2266,2022-03-10T15:10:50Z,1,Great 👍🏻,True
@LuthieriadeBanheiro,2021-09-25T22:49:21Z,1,Excellent class!,True
@henrique6748,2021-03-31T17:01:50Z,0,Thank you so much for sharing this!,True
@wereskiryan,2021-03-04T16:01:42Z,0,Amazing video!,True
@farhanadham7237,2021-01-06T10:40:04Z,0,"Waw its amazing for turning parameter on xgboost, because we know xgboost always taking too much time for training",True
@arindambpcsrkm,2021-01-02T07:10:56Z,0,"@dave, i understood how you imputed the age. however if we have like 200 missing data for embark data, will the same method for imputing age work, ? i mean is not it possible that for some cases both Q and S might have values close to 1 for same row? what to do in that case",True
@alisterdcruz1667,2020-12-06T09:26:46Z,0,I noticed that the  other columns with large number of na's were removed and  while imputing Age variable all the other factors were having no na's . What  should I do if the variables that are critical for imputation of age variable also has na's ?  I'm a noob. So please correct me if there is lack of logic in my doubt.,True
@6toolbaseball,2020-09-12T21:27:52Z,0,"Great video! Only one question. When you say that set.seed(54321) is not random, what do you mean? I thought whatever we put in set.seed could be anything, e.g., set.seed (321). What is the meaning behind your 54321? You sorta glanced over that part and I'd love to dive a little deeper into that.",True
@joseramon4301,2020-08-16T05:49:45Z,0,Thank you so much!,True
@coolhead8686,2020-07-25T21:50:59Z,0,"Are you hiring? I am the same as you. I spend over 20 years doing system development, programmer analyst, data analyst and data scientist.",True
@fredasefamilia,2020-07-20T19:42:31Z,0,"Thank you for this. However I tried Implementing the code as written in IntroToMachineLearning.R and I get an error at line 159. I have tried it several times and the error message i get is  Loading required package: plyr Error in train.default(x, y, weights = w, ...) :    The tuning parameter grid should have columns nrounds, max_depth, eta, gamma, colsample_bytree, min_child_weight  this is all confusing being that all the columns specified are included in the code. Could this be a result of a bug? Please I'll appreciate an prompt answer to this. Thanks",True
@collinsouru3629,2020-05-15T14:28:05Z,0,"am reproducing your example but am stack at  training the model, it returning an error like Error: The tuning parameter grid should have columns nrounds, max_depth, eta, gamma, colsample_bytree, min_child_weight, subsample what could i be doing wrong?                                                                                                                                here is the part which is returning error caret.cv <- train(train.train$survived~.,                  data=train.train,                   method=""xgbTree"",                 trControl=trainControl,                 tuneGrid=tune.grid)",True
@24brophy,2020-05-01T00:17:32Z,1,This is the single best ML video on the internet. Dave for President 2020.,True
@bljangir7450,2020-03-27T14:19:21Z,0,"Simply excellent ,   I could not hold my self to comment  even if  few miniues are still left   . You are genious  to make things so interesting .",True
@atlantaguitar9689,2020-02-25T04:14:47Z,0,"Great video...Do you feel it is necessary to use dummyvars before doing the imputation ? Isn't it sufficient to do the imputation within the call to the train function as part of the preProcess argument ? That is, is the conversion to one hot encoding outside of the call to train, strictly necessary ?",True
@JerryWho49,2020-02-23T11:45:05Z,0,Isn‘t there some sort of data leakage? You‘re imputing the missing ages using the entire data set. So the  training set „knows“ something about the test set. That‘s not good. I think you should split first and then use two pipelines for training and testing. Is there support for pipelines in caret?,True
@drnabinpaudel6984,2020-01-05T21:57:23Z,0,"So, how do we implement this model to a new dataset ?",True
