author,updated_at,like_count,text,public
@chrisholladay,2021-05-19T01:39:58Z,0,"Just picked it up, super excited to read it, can't wait to dive in!",True
@davidstephens5741,2021-05-18T20:03:14Z,0,"Love your work, and very glad you and your family are ok :)",True
@jalaishahn1689,2021-01-21T03:52:41Z,0,i like the penguin cup,True
@honestcheetah,2021-01-15T17:33:19Z,0,Get your book on amazon.,True
@joseph3036,2020-11-22T14:47:48Z,0,0:38 What's up with the lawsuit thing? I cannot any video about it.,True
@filipesemanas4050,2020-10-24T16:36:18Z,0,Sentdex has been removed from Quantopian? O.O,True
@elias1812,2020-10-12T01:49:08Z,0,Nice mug bro,True
@ahmedthegreat3973,2020-09-24T16:37:06Z,0,NNFS Is Expensive,True
@my_j.a.r.v.i.s.,2020-09-24T05:50:23Z,0,"Hey, Man can you do a video on : Implementing face mask detection with raspberry Pi.  Please Please Please.",True
@georgebassemfouad,2020-09-23T14:37:08Z,0,Can you make a video on how to visualise a neural network in python?? Btw I am in process of buying the book of neural network I love your series in of neural networks from scratch... and I hope that you can answer my question soon,True
@joshuablick2693,2020-09-23T11:49:02Z,0,great job man keep it up!,True
@gestucvolonor5069,2020-09-20T12:37:37Z,0,Just thought I'd check back see if I missed some updates since this video was posted. Hope everything is going well!,True
@seyeeet8063,2020-09-20T05:55:26Z,0,can you make a tutorial series about Docker from scratch?,True
@emilschneider1133,2020-09-17T07:18:48Z,0,"After you are done with your book and all that and have time again, it would be extremely interesting to see a series on how to code a crypto trading bot using DQN and pytorch. I know you have made a series about DQN with tensorflow,  but not one about trading and using pytorch. It would be extremely interesting to see that once you have time ofcause.",True
@magokill5208,2020-09-14T18:04:16Z,0,"Can someone help me ?  Make a program that reads whole numbers from standard input, until a smaller number or equal to zero is entered, not being considered for the computation of the output (s). If first number read is less than or equal to zero, write the message “No number greater that zero was read !!! ”. Otherwise write:  (1) What is the largest number read;  (2) If any even numbers have been read, how many were and what is the average of the even numbers. Accurately written to two decimal places;  (3) If any odd numbers have been read, how many were and what the average of the numbers was odd. Accurately written to two decimal places;  (4) If any prime numbers have been read, how many have been and what is the average of the numbers cousins. Accurately written to two decimal places. Definition: An integer is prime if and only if it is greater than 1 and is only divisible by 1 and by himself.  Example Entrance exit 123 4 9 1890 5 -10 Number of Pairs: 2 with average: 947.00 Odd Quantity: 3 with average: 45.67 Quantity of Cousins: 1 with average: 5.00",True
@adjbutler,2020-09-14T11:18:53Z,0,No NNFS NO PEACE!,True
@how2pick4name,2020-09-14T10:44:57Z,0,When is Charles going live again? :o,True
@analisamelojete1966,2020-09-13T01:34:03Z,0,Is the shipping for the U.S. only? I'm from South America and I'd love to get your book (hardcover).,True
@ishudshutup,2020-09-10T05:00:41Z,0,"Thanks for the update, only improvement I would suggest is getting a hot shotgun mic for directional capture, the new NTG5 has a strong signal. In some of your videos, I can barely hear you on the subway with earphones on :(",True
@Aperekahaziq,2020-09-09T13:38:40Z,0,Hey! Almost 1M subs! Congratz! 👏🏻👏🏻👏🏻,True
@ronitaryan5402,2020-09-09T08:22:15Z,0,"sentdex, I am waiting for part 6 eagerly. But I understand you. Bro, take your time,  we'd rather have a good product late than a bad product early.",True
@SM-ht7qf,2020-09-06T06:46:27Z,0,I found a white guy who looks exactly like you  https://youtu.be/QL4ZdpdGuuU,True
@JoabEliotG,2020-09-05T10:23:37Z,1,what is the release date of machine learning part 6 I'm waiting for that surreal experience of seeing it work,True
@ashishsarkar3998,2020-09-03T11:26:31Z,0,"he sir, I am getting an error while while importing tflearn the error is no module name tensorflow.contrib my python version in 3.6.6 64 bit and tensorflow 2.0 with cuda set up properly how can I solve the error",True
@zhw1447,2020-09-02T16:34:01Z,0,"Can u Update the ""Sciki-Learn Tutorial"" ? Because that it's alots new in Sciki-Learn now (2020)  I really like ur video, thanks !",True
@dcanbazlar,2020-09-02T08:46:08Z,0,"In Python, how do I split a string and keep the separators like:  a.split(""abc"")     [123 456 abc]  not removing abc   2.question how to join after a word like dot=""."" a=123 456 abc dot.join(""abc) I want like this ↓↓↓ 123 456 abc.",True
@nq2c,2020-08-31T10:59:10Z,0,long time no video !!!,True
@skilz8098,2020-08-29T00:42:14Z,1,I know you've been busy with everyday life and that the current situation with this COVID thing has made it even harder... but it has been about a month since you released this video giving us an update as to what is going on... I'm just waiting patiently for the next video for your neural networks - machine learning series and curious to see when it will be released!,True
@vincentparker6103,2020-08-26T20:49:12Z,0,2020...#didn't see that comin',True
@samet107,2020-08-25T22:16:44Z,0,Admit it. Youre Stuck and dont know how to continue the series.,True
@adeeb1787,2020-08-25T07:37:00Z,0,Congrats for 1M in advance.,True
@ArjunSingh-sz8ul,2020-08-23T04:45:20Z,0,Thank u for helping us and really you are real hero,True
@yudhisthirsingh8401,2020-08-23T03:43:40Z,0,Love from India,True
@rappf5833,2020-08-22T01:32:28Z,0,"@sentdex wouldn't it be better the QR codes link to a domain you have access to and that domain redirects to youtube? in case YT goes down one day, not sure you do that already",True
@zanidd,2020-08-21T20:11:41Z,0,Snowden o.O?!,True
@bennguyen1313,2020-08-21T13:51:23Z,0,"When did you change the channel name from pythonprogramming to sentdex?  Is neural networks what you used for the self-driving Grand-Theft-Auto demos?    Would love to run it myself, any beginner walk-thru you'd recommend on getting started (tools needed, sources/instructions to build, version of game, etc)?    Is discord the place to go?",True
@harsh7809,2020-08-21T02:50:37Z,0,How the hack you clean that cup? with that hole in between the bottom and top.,True
@Mohamm-ed,2020-08-20T18:51:39Z,0,Do you plant to do more videos about Brain Computer Interfaces BCI?,True
@THE-MNG,2020-08-19T17:57:15Z,0,Can you recommend a tool for encrypting python code?,True
@gokuladethyat1466,2020-08-18T09:04:43Z,0,Waiting for you to reach 1 Million subs.Good Luck!!,True
@vaibhavsingh1049,2020-08-17T14:59:57Z,0,My man,True
@deckplate1,2020-08-16T17:46:49Z,0,I have to ask. I have access to the draft as I preordered the book. Is it worth waiting for the book to come out or can I start learning off the draft? Will there be some things I potentially miss learning off the draft?,True
@palashchanda9308,2020-08-16T13:36:55Z,0,Still waiting for P.6 eagerly..,True
@user-cs5rg1ny8l,2020-08-16T05:44:32Z,0,"import time  nxt_video_time = input(""Sentdex input nxt video's time: "") time.sleep(nxt_video_time)  TypeError: got type NoneType   System crashed on waiting. Waiting for another video to reboot",True
@mithilparikh9100,2020-08-15T22:11:13Z,0,Bro can you put up a video on how to use deep learning using RNN or CNN or any type of neural network to Predict the RUL of machines like input should be vibration data and our model has to segregate the noise and give the time remaining for maintenance,True
@yijunx7552,2020-08-14T23:18:55Z,0,Awesome! Great to see you are doing well! I am looking forward to the rest of the videos. I have already preordered it and cannot wait to read the final version.,True
@muhannadalhazmi8341,2020-08-14T17:00:06Z,0,do a tensorflow 2 with colab (object Detection) tutorial,True
@chanpatil5262,2020-08-14T09:23:58Z,0,"I am eagerly waiting for this book to be out!!! Always loved your work and content. Thanks, Mahn.",True
@brentdreyer1454,2020-08-14T07:20:30Z,6,"Hey sentdex, seeing you brings back an odd feeling that I forgot about. A mixture of stress, excitement and a new world of coding opening up to me. You used to be the voice I came to for advise while I was trying to get my LDA model to work in Python while I was doing my honours is statistics.  It has been about 4 years and I kinda miss those days now. All the best and I am glad to see you are doing well.  - Brent from South Africa    Oh and nice mug.",True
@user-vn9dm6xf1c,2020-08-13T17:12:59Z,0,Update,True
@colinthain4731,2020-08-13T17:07:56Z,0,Thanks for sharing:),True
@yad8187,2020-08-13T10:50:50Z,0,I want to build a search engine do sentdex have any videos related I only trust sentdex........so plz help,True
@Hahalol663,2020-08-12T12:40:03Z,0,"Awesome mug, but how do you get it clean?",True
@youngyulkim3072,2020-08-12T09:09:04Z,0,"Yo sentdex you are really the leader of the youtube ML community. I believe in you, cheers!",True
@thehappycoder3760,2020-08-12T07:22:04Z,0,Thank you for the update. Looking forward to seeing the finished product. Focussing on the quality rather than just getting it done. Reading the draft versions has been a great help in understanding the process. Take care from the UK 🇬🇧. Most likely use your book/video tutorials to encourage others to get into this brilliantly fascinating subject.,True
@VISWESWARAN1998,2020-08-12T05:53:13Z,0,Sentdex can I have a heart too <3,True
@jackarrr,2020-08-10T21:17:07Z,0,Looking forward to more GTA fun,True
