author,updated_at,like_count,text,public
@statquest,2021-09-11T13:53:45Z,13,"The full Neural Networks playlist, from the basics to deep learning, is here: https://www.youtube.com/watch?v=CqOfi41LfDw&list=PLblh5JKOoLUIxGDQs4LFFD--41Vzf-ME1  Support StatQuest by buying my book The StatQuest Illustrated Guide to Machine Learning or a Study Guide or Merch!!! https://statquest.org/statquest-store/",True
@user-qe2xo6hu2i,2024-05-30T04:08:49Z,0,"Is it important for my small nural network's forward, loss, back propogation and weight-bias Initialising function to work for all sort of model, containing different number of hidden layers and number of nurons in it. In other words is it important to make a nural network general.",True
@wcottee,2024-05-11T13:04:16Z,0,"OK, i missed something...in part 1 we optimized w3, w4 and b3. Now we start over by assigning random values to them. What was the purpose of optimizing w3, w4 and b3 in part one if we just start over? Why is this called Back propagation if we don't used the part 1 optimized w3, w4 and b3? Thanks in advance!!!",True
@sreerajnr689,2024-05-04T10:33:55Z,1,This is such a fun to learn!! 😀😀,True
@avinashbabudebbati1095,2024-04-27T14:17:30Z,1,"""THE CHAAAAIN RULEEEEEEE"" gets me every time 😂",True
@suateymenduran6780,2024-04-26T21:51:26Z,0,"Your videos have helped me a lot! I wrote some code myself and it has been working very good so far, however I stumbled on a problem. I can't understand how to calculate the gradients when there are more than one input and desired output pairs, for example lets say I want the network to output [0, 2, 4] when i input [1, 2],  but [0, 1, 2] at the input [4, 5]. How do we calculate the gradients at such scenario? Edit: To clarify, my calculations work at one data point, but they don't when there are multiple data points. I am calculating the loss for each data point and then calculating the gradients based on the loss and input, and then I do this for every data point and add up the gradients, then apply them.",True
@nandakumar8936,2024-04-23T21:18:01Z,2,every time you mention the soft plus activation function you show the toilet paper pic. Every time. That's commitment right there.,True
@tangh146,2024-03-11T17:46:58Z,3,the preschool vibe really does make everything much less intimidating. love u josh 🥺,True
@Luxcium,2024-03-10T16:27:09Z,1,This was pretty cool to watch 😅but the more I watch the less remains 😢 which is so sad given how JS is so busy with the rest of his life and stuff 😮 I don’t know if he will ever have enough time to make videos awesome again MVAA,True
@bhavikdhandhalya1853,2024-03-09T12:45:01Z,1,Thank you for wonderful videos.,True
@lizzy9874,2024-02-28T14:24:05Z,1,"Hi Josh, it's a great video to help me understand NN. I have some questions regarding the parameter optimization. Is it possible that different parameters would need different numbers of steps to reach the optimal value? If so, how to determine the maximum # of steps or learning rate that works the best for all the parameter optimization?",True
@SuperYkf,2024-02-13T05:13:38Z,1,OMG This is amazing! 😭,True
@sarvinasalohidinova4881,2024-02-07T01:31:43Z,1,Soft Plus :))))),True
@juliank7408,2024-01-27T18:53:41Z,1,Thank you very much! Appreciated!,True
@jiayiwu4101,2024-01-01T19:56:22Z,1,I like this beginning song a lot!,True
@1243576891,2023-12-27T21:49:17Z,1,Thanks for the video. This is awesome!,True
@BooleanDisorder,2023-12-16T15:07:09Z,0,"What I got from this video... is a headache. 🤔  Kidding, but damn lots happen in neural networks... 😂",True
@namanjha4964,2023-12-11T09:41:13Z,1,Thanks! Loved it!!!!!!!,True
